,A. Tài sản lưu động và đầu tư ngắn hạn,I. Tiền và các khoản tương đương tiền,II. Các khoản đầu tư tài chính ngắn hạn,III. Các khoản phải thu ngắn hạn,IV. Tổng hàng tồn kho,V. Tài sản ngắn hạn khác,B. Tài sản cố định và đầu tư dài hạn,I. Các khoản phải thu dài hạn,II. Tài sản cố định,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,V. Các khoản đầu tư tài chính dài hạn,VI. Tổng tài sản dài hạn khác,VII. Lợi thế thương mại,TỔNG CỘNG TÀI SẢN,A. Nợ phải trả,I. Nợ ngắn hạn,II. Nợ dài hạn,B. Nguồn vốn chủ sở hữu,I. Vốn chủ sở hữu,II. Nguồn kinh phí và quỹ khác,TỔNG CỘNG NGUỒN VỐN
2004,139013565387,6137695373,0,49085714309,80046279833,3743875872,103516118405,0,77927336516,0,0,0,25588781889,0,242529683792,109184987308,85006941021,24178046287,133344696484,133344696484,0,242529683792
2005,185119675335,16362551778,0,63375360634,103311257405,2070505518,84343874572,0,63393207323,0,0,30000000,20920667249,0,269463549907,90005386211,78003783211,12001603000,179458163696,179458163696,0,269463549907
2006,341192090145,102254312130,0,102722377098,123308264787,12907136130,77042876309,0,44736339629,0,42040000,15030000000,17234496680,0,418234966454,49260776575,49260776575,0,368974189879,368974189879,0,418234966454
2007,348997963204,8065539347,22150000000,156000205144,138253844745,24528373968,148739171059,0,97029149416,0,51680021643,30000000,0,0,497737134263,83726736338,83203027756,523708582,414010397925,414010397925,0,497737134263
2008,341932626652,18123438970,13431818180,90364767351,188776434609,31236167542,224078143434,0,217531145621,0,25470000,6465000000,56527813,0,566010770086,85780442886,85025216468,755226418,480230327200,480230327200,0,566010770086
2009,550256649595,94337022992,17400000000,134653360094,269550928865,34315337644,273993154757,0,265555342749,0,25470000,8155000000,257342008,0,824249804352,152344787536,151306364225,1038423311,671905016816,671905016816,0,824249804352
2010,708383063586,66990563221,15840909091,300720716687,305165925783,19664948804,273770378931,0,259628239744,0,5820683272,8125000000,196455915,0,982153442517,129662570843,128257535392,1405035451,852490871674,852490871674,0,982153442517
2011,788219594081,88672102251,0,352313877324,317384904501,29848710005,378267123336,0,284188886531,0,322015454,21373181818,72383039533,0,1166486717417,117156277159,115351448457,1804828702,1049330440258,1049330440258,0,1166486717417
2012,1052348769293,345293101809,0,351158699160,336502455628,19394512696,370319638712,0,274167443437,0,6421927890,26712775960,63017491425,0,1422668408005,148568997691,148568997691,0,1274099410314,1274099410314,0,1422668408005
2013,1224403192258,438728212089,0,366476115793,367792833881,51406030495,456878651241,0,217165202762,0,7922955687,13362723232,218427769560,0,1681281843499,192208752624,192208752624,0,1489073090875,1489073090875,0,1681281843499
2014,1485967982151,243691456593,460000000000,393973342137,373501801097,14801382324,442550251069,0,201749251948,0,9417513006,13055678362,218327807753,0,1928518233220,210257819802,210257819802,0,1718260413418,1718260413418,0,1928518233220
2015,1886339698958,370744808359,670000000000,504946400210,332550008993,8098481396,551995032118,0,281173114173,0,9491701757,13551680747,247778535441,0,2438334731076,423055647042,422719284642,336362400,2015279084034,2015279084034,0,2438334731076
2016,2185930163599,404984303020,490000000000,810289964598,471566033404,9089862577,705145134378,0,593845512224,0,34015745834,66565759231,10718117089,0,2891075297977,593701687314,593533958214,167729100,2297373610663,2297373610663,0,2891075297977
2017,1815270863053,445325555042,450000000000,509512656705,384705882686,25726768620,1056977318066,0,934706927841,0,10285864322,67018922495,44965603408,0,2872248181119,423168399861,423168399861,0,2449079781258,2449079781258,0,2872248181119
2018,1806688352687,412303012109,200000000000,599424414290,567338833213,27622093075,1005510236574,0,857157562988,0,13366617816,67831379352,67154676418,0,2812198589261,358546067527,358546067527,0,2453652521734,2453652521734,0,2812198589261
2019,1501804754804,313509353245,376000000000,357163197528,453880133640,1252070391,1348102393552,0,640140613074,0,27925505552,368743742917,311292532009,0,2849907148356,380623569705,357538491866,23085077839,2469283578651,2469283578651,0,2849907148356
2020,2128869195093,195737830491,1210000000000,322587526693,396479953684,4063884225,893876360089,0,497828944252,0,14553656580,70026350993,311467408264,0,3022745555182,551220912521,527728036413,23492876108,2471524642661,2471524642661,0,3022745555182
2021,2008034358172,172938679946,815000000000,369689155082,618888600745,31517922399,829986645605,0,381994407065,0,20422985140,111681452347,315887801053,0,2838021003777,544546223660,522694582284,21851641376,2293474780117,2293474780117,0,2838021003777
2022,2215147283810,358572233870,965000000000,278727408937,576848239590,35999401413,829644709983,20000000000,367746104997,0,25071276356,66415601903,350411726727,0,3044791993793,423473389660,403473029077,20000360583,2621318604133,2621318604133,0,3044791993793
2023,2593900147858,821414457106,1190000000000,174027942449,364225974474,44231773829,661100780253,20000000000,285789885917,0,12421681336,64284850993,278604362007,0,3255000928111,565271946212,546150418753,19121527459,2689728981899,2689728981899,0,3255000928111
