,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,- Khấu hao TSCĐ,- Các khoản dự phòng,- Lợi nhuận thuần từ đầu tư vào công ty liên kết,- Xóa sổ tài sản cố định (thuần),- Lãi lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,- Lãi lỗ từ thanh lý TSCĐ,- Lãi lỗ từ hoạt động đầu tư,- Lãi tiền gửi,- Thu nhập lãi,- Chi phí lãi vay,- Các khoản chi trực tiếp từ lợi nhuận,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,- Tăng giảm các khoản phải thu,- Tăng giảm hàng tồn kho,- Tăng giảm các khoản phải trả (Không kể lãi vay phải trả thuế thu nhập doanh nghiệp phải nộp),- Tăng giảm chi phí trả trước,- Tăng giảm tài sản ngắn hạn khác,- Tiền lãi vay phải trả,- Thuế thu nhập doanh nghiệp đã nộp,- Tiền thu khác từ hoạt động kinh doanh,- Tiền chi khác từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Tiền chi để mua sắm xây dựng TSCĐ và các tài sản dài hạn khác,2. Tiền thu từ thanh lý nhượng bán TSCĐ và các tài sản dài hạn khác,3. Tiền chi cho vay mua các công cụ nợ của đơn vị khác,4. Tiền thu hồi cho vay bán lại các công cụ nợ của các đơn vị khác,5. Đầu tư góp vốn vào công ty liên doanh liên kết,6. Chi đầu tư ngắn hạn,7. Tiền chi đầu tư góp vốn vào đơn vị khác,8. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,9. Lãi tiền gửi đã thu,10. Tiền thu lãi cho vay cổ tức và lợi nhuận được chia,11. Tiền chi mua lại phần vốn góp của các cổ đông thiểu số,Lưu chuyển tiền thuần từ hoạt động đầu tư,1. Tiền thu từ phát hành cổ phiếu nhận vốn góp của chủ sở hữu,2. Tiền chi trả vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,3. Tiền vay ngắn hạn dài hạn nhận được,4. Tiền chi trả nợ gốc vay,5. Tiền chi trả nợ thuê tài chính,6. Tiền chi khác từ hoạt động tài chính,7. Tiền chi trả từ cổ phần hóa,8. Cổ tức lợi nhuận đã trả cho chủ sở hữu,9. Vốn góp của các cổ đông thiểu số vào các công ty con,10. Chi tiêu quỹ phúc lợi xã hội,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
2004,33154337001,33048990999,30070568347,132642720,0,0,-124983300,0,-117406007,0,0,3088169239,0,66203328000,7324594939,-49010794859,-11604426466,-10300874714,0,-3088169239,-4885623932,7327663537,-6795467942,-4829770676,-31242786957,210563310,0,0,0,0,0,0,0,0,0,-31032223647,0,0,157936958354,-122103717344,0,0,0,-1523080000,0,0,34310161010,-1551833313,7689528686,0,6137695373
2005,66922142460,27358961235,23552008585,-20000000,0,0,0,0,-44018000,0,0,3870970650,0,94281103695,-12465229258,-23264977572,40583178533,4668114640,0,-3870970650,0,5040950607,-7956308898,97015861097,-9093021392,203160000,-30000000,0,0,0,0,0,0,0,0,-8919861392,0,0,93108644025,-157737417325,0,0,0,-13242370000,0,0,-77871143300,10224856405,6137695373,0,16362551778
2006,98777001376,22098834745,21246877965,0,0,0,0,0,0,0,0,851956780,0,120875836121,-50183647076,-19997007382,-38513979658,3686170569,0,-851956780,-4910030471,5231476220,-4898331967,10438529576,-2110531761,32463537,0,0,0,0,-15000000000,0,0,0,0,-17078068224,128352280000,0,5850000000,-19479603000,0,0,0,-22191378000,0,0,92531299000,85891760352,16362551778,0,102254312130
2007,111271793002,21087929421,23286437097,193387579,0,0,-2268048751,0,-421995956,0,0,298149452,0,132359722423,-72333668340,-14945579958,39557309335,0,0,-298149452,-20285564371,24386577,-8128872000,55949584214,-101905121696,449363636,0,0,0,0,-7050000000,0,0,0,0,-108505758060,0,0,27577765000,-27327765000,0,0,0,-41907380000,0,0,-41657380000,-94213553846,102254312130,24781063,8065539347
2008,114132941063,56264245720,35899727311,10717423470,0,0,0,0,-588488020,0,0,10235582959,0,170397186783,52405446389,-50522589864,-39078168375,-780324833,0,-9776615909,-22078125322,33869244653,-39223829267,95212224255,-104747171873,24359091,0,150000000,0,0,-8125000000,0,0,564128929,0,-112133683853,0,-10000,214490875199,-170555630978,0,0,0,-16955875000,0,0,26979359221,10057899623,8065539347,0,18123438970
2009,285164217500,38793086830,44928770996,-4324046731,0,0,91410138,0,-4132325450,0,0,2229277877,0,323957304330,-36286667965,-80774494256,102314753648,-229690967,0,-2189037844,-31219615692,17262902633,-51758929562,241076524325,-92977968124,0,-1000000000,0,0,0,0,0,0,4132325450,0,-89845642674,4808182700,0,53366370074,-90641392903,0,0,0,-42550457500,0,0,-75017297629,76213584022,18123438970,0,94337022992
2010,313731349432,44988025812,53707370042,442142754,0,0,269442356,0,-10560994240,0,0,1130064900,0,358719375244,-163304150278,-35614996918,-38548336961,-301452200,0,-768651594,-33312778925,155609165340,-159011581449,83466592259,-53625223933,327984091,0,1000000000,0,0,0,30000000,0,10282753773,0,-41984486069,0,0,12175600832,-11167822224,0,0,0,-69752744000,0,0,-68744965392,-27262859202,94337022992,-83600569,66990563221
2011,384282810124,58061702548,69367942428,2507351078,0,0,-2143584005,0,-12517982697,0,0,847975744,0,442344512672,-51893342564,-12218978718,-28455889466,-71724924966,0,-1317392107,-73857257629,177486497464,-208676234456,171686990230,-88429921397,245000000,0,0,0,0,0,0,0,12272982697,0,-75911938700,0,0,24062686826,-28360806826,0,0,0,-69945264000,0,0,-74243384000,21531667530,66990563221,149871500,88672102251
2012,479469199228,55645839553,73494817550,-462350164,0,0,-202313260,0,-17955070113,0,0,770755540,0,535115038781,1934170817,-19117551127,28715971410,8989297409,0,-1068732000,-116674982082,9493587222,-27008482553,420378317877,-69579114572,2727273,0,0,0,0,0,0,0,14432748698,0,-55143638601,0,0,4005670000,-7669880000,0,0,0,-104958176000,0,0,-108622386000,256612293276,88672102251,8706282,345293101809
2013,499474619287,47867727557,68126726247,6157301079,0,0,-155183342,0,-27166861527,0,0,905745100,0,547342346844,-26552365015,-31290378253,-23481351945,-155653202831,0,-128043686,-128386117727,250226026,-37156903792,144944209621,-12738944399,70000000,0,0,0,0,0,14540449757,0,30362461370,0,32233966728,0,0,45270187000,-13625670000,0,0,0,-115444611700,0,0,-83800094700,93378081649,345293101809,57028631,438728212089
