,1. Tổng doanh thu hoạt động kinh doanh,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần (1)-(2),4. Giá vốn hàng bán,5. Lợi nhuận gộp (3)-(4),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính,-Trong đó: Chi phí lãi vay,8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác (12)-(13),15. Tổng lợi nhuận kế toán trước thuế (11)+(14),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Chi phí thuế TNDN (16)+(17),19. Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),20. Lợi nhuận sau thuế của cổ đông không kiểm soát,21. Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20)
2004,338639969248,292655916,338347313332,279711464599,58635848733,569130308,3231075866,3088169239,0,3737319289,19285057919,32951525967,296774962,93963928,202811034,33154337001,0,0,0,33154337001,0,33154337001
2005,423166371611,388879256,422777492355,326397354679,96380137676,574908267,4360835016,3870970650,0,7213256313,18600841446,66780113168,142769850,740558,142029292,66922142460,0,0,0,66922142460,0,66922142460
2006,503620755901,195559814,503425196087,374679015308,128746180779,1471644847,858419449,852306535,0,11567495572,19479434477,98312476128,465621908,1096659,464525249,98777001377,10140794358,0,10140794358,88636207019,0,88636207019
2007,680230929501,231090545,679999838956,538023162526,141976676430,8121286625,509924145,298149452,0,19644517936,19527530542,110415990432,893438535,37635965,855802570,111271793002,15261941906,0,15261941906,96009851096,0,96009851096
2008,831577610647,10613629141,820963981506,633926705992,187037275514,1632773116,23773627973,10235582959,0,25476130958,27525733449,111894556250,2238651336,266523,2238384813,114132941063,18266484649,-56527813,18209956836,95922984227,0,95922984227
2009,1156149641356,12995957619,1143153683737,806603438469,336550245268,4173819971,3348265069,2229277877,0,25271305819,28447926885,283656567466,1528309440,20659406,1507650034,285164217500,35445777279,-200814195,35244963084,249919254416,0,249919254416
2010,1441655094939,24794752221,1416860342718,1035350522823,381509819895,10401583569,7239080616,1130064900,0,39347852704,33045935102,312278535042,1503218514,50404124,1452814390,313731349432,38372731116,60886093,38433617209,275297732223,0,275297732223
2011,1852671588329,26248303945,1826423284384,1355892001307,470531283077,14594625371,8786511141,847975744,0,52308931572,41308119814,382722345921,1564016358,3552155,1560464203,384282810124,-527232052,90280462576,89753230524,294529579600,0,294529579600
2012,1924194001778,33447779545,1890746222233,1301574886710,589171335523,14679647151,6821537919,770755540,4419594142,64095605933,59866213393,477487219571,1989028398,7048741,1981979657,479469199228,119131882231,-189032101,118942850130,360526349098,0,360526349098
2013,2131858459998,43713641153,2088144818845,1466114810947,622030007898,30521562828,17504446599,905745100,-475821310,68631181008,67049442056,498890679753,1569810395,985870861,583939534,499474619287,129692307275,-148349742,129543957533,369930661754,0,369930661754
2014,2500608876409,85056252776,2415552623633,1746457773865,669094849768,27159803118,20316634466,1860540307,797583330,123639695429,73249521841,479846384480,1284248867,34020459,1250228408,481096612888,104185046541,99961807,104285008348,376811604540,0,376811604540
2015,2970287044650,178672959542,2791614085108,1901883604157,889730480951,28435306503,29603449284,4097860403,496002385,125938131868,95995478314,667124730373,2428042076,4430515012,-2002472936,665122257437,168986287149,-22764551611,146221735538,518900521899,0,518900521899
2016,3678351052989,369607442561,3308743610428,2248176459769,1060567150659,48978172732,41507236190,3396589902,494078484,166921964902,115282371963,786327828820,384684264,2727582521,-2342898257,783984930563,133538242711,23042204737,156580447448,627404483115,0,627404483115
2017,4056607554239,231948886761,3824658667478,2901883582006,922775085472,24481735279,97838321698,1262423915,453163264,135639589779,124418207374,589813865164,565797993,7422962507,-6857164514,582956700650,144928431175,-26666716120,118261715055,464694985595,0,464694985595
2018,4129972734326,210335296270,3919637438056,3047590783016,872046655040,25106601101,105484986226,292427536,1071407257,165853774242,97832603890,529053299040,1132541226,265181817,867359409,529920658449,89704487848,12605983039,102310470887,427610187562,0,427610187562
2019,4342954953524,5615542906,4337339410618,3349334639351,988004771267,37121319638,110971229562,125174350,1497363565,270352326675,116704322723,528595575510,973387096,291490058,681897038,529277472548,109648608036,-3137432405,106511175631,422766296917,0,422766296917
2020,4700439808827,14799482422,4685640326405,3438658560035,1246981766370,78259660907,123875152159,50844435,1672608076,485053580341,63737864888,654247437965,2407627504,115030214,2292597290,656540035255,127770009264,6184454061,133954463325,522585571930,0,522585571930
2021,4564938031907,12181427790,4552756604117,3848837736824,703918867293,59568491727,124995428345,39575792,2305101354,281415832067,87569890551,271811309411,2490248377,6100661043,-3610412666,268200896745,48143337797,5680740982,53824078779,214376817966,0,214376817966
2022,5824833255625,16488880365,5808344375260,4200684049568,1607660325692,55197905430,157564928385,27578302,-4940850444,503332468504,128936965691,868083018098,4010454930,750994034,3259460896,871342478994,176954786089,118926589,177073712678,694268766316,0,694268766316
2023,5199922785685,42938415469,5156984370216,3040564400058,2116419970158,118503493327,145561663111,38676662,-2130750910,676251353235,106918740381,1304060955848,6018282506,2896356928,3121925578,1307182881426,271767025183,-5590477039,266176548144,1041006333282,0,1041006333282
