,A. Tài sản lưu động và đầu tư ngắn hạn,I. Tiền và các khoản tương đương tiền,II. Các khoản đầu tư tài chính ngắn hạn,III. Các khoản phải thu ngắn hạn,IV. Tổng hàng tồn kho,V. Tài sản ngắn hạn khác,B. Tài sản cố định và đầu tư dài hạn,I. Các khoản phải thu dài hạn,II. Tài sản cố định,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,V. Các khoản đầu tư tài chính dài hạn,VI. Tổng tài sản dài hạn khác,VII. Lợi thế thương mại,TỔNG CỘNG TÀI SẢN,A. Nợ phải trả,I. Nợ ngắn hạn,II. Nợ dài hạn,B. Nguồn vốn chủ sở hữu,I. Vốn chủ sở hữu,II. Nguồn kinh phí và quỹ khác,TỔNG CỘNG NGUỒN VỐN
2014,954329538825,104938005269,916074763,547882282188,161593946793,138999229812,800714652913,160000000,532515004321,0,117693618917,16954128907,127200979260,6190921508,1755044191738,1032540874492,706796544388,325744330104,722503317246,722503317246,0,1755044191738
2015,1233824543035,168926991161,238968986432,589761881626,196475477507,39691206309,884641098172,3874264790,561637663143,0,166800250213,22932330050,124999930496,4396659480,2118465641207,1032651465216,881118433617,151533031599,1085814175991,1085814175991,0,2118465641207
2016,1490075223596,159841777560,241923237505,805029377634,192696271518,90584559379,992145158882,20637905006,585921490100,0,213140889185,28997191339,139664649978,3783033274,2482220382478,1332763127858,1201999634734,130763493124,1149457254620,1149457254620,0,2482220382478
2017,1905337387002,356219770300,167775000000,1008542206930,237914518961,134885890811,1215639787976,7310630044,767294750210,0,270167816343,37704338070,129992846241,3169407068,3120977174978,1851567144688,1647550189720,204016954968,1269410030290,1269410030290,0,3120977174978
2018,2178587086989,192927334215,224034612595,1343999630251,266750416804,150875093124,1414922740259,6953400073,1067022801897,0,180093124579,49661004910,108636627938,2555780862,3593509827248,2223016298653,1877812130189,345204168464,1370493528595,1370493528595,0,3593509827248
2019,3042821100224,269991826358,1089276173261,1253131646493,293853542855,136567911257,1681509558631,25052861575,1111957300834,0,232634348837,94917603272,215005289457,1942154656,4724330658855,2461109004436,1686627583094,774481421342,2263221654419,2263221654419,0,4724330658855
2020,3055208851345,361121297294,1068908783002,1263668562716,202116158012,159394050321,2046154135399,24528009954,1183330090024,0,463813481915,123190648547,249963376509,1328528450,5101362986744,2756197285455,2008379586466,747817698989,2345165701289,2345165701289,0,5101362986744
2021,3739979780649,390114138218,1223069629232,1578247772364,448018870459,100529370376,2256202346797,27090280108,1151399623410,0,706035540828,64052177258,306909822947,714902246,5996182127446,3405803737103,2522801733137,883002003966,2590378390343,2590378390343,0,5996182127446
2022,3803281876108,371654425350,1285908680326,1770145689379,254595314790,120977766263,3119474387309,50523405491,2312331193939,0,264457426552,73948285339,417455851705,758224283,6922756263417,3847108147561,2881132767659,965975379902,3075648115856,3075648115856,0,6922756263417
2023,3677882981289,608583417327,1043370543491,1682247741024,236738380088,106942899359,3601151448211,35216974434,2254252318584,0,838836694088,86015008690,386520912412,309540003,7279034429500,4005504851395,3095309641099,910195210296,3273529578105,3273529578105,0,7279034429500
