,A. Tài sản lưu động và đầu tư ngắn hạn,I. Tiền và các khoản tương đương tiền,II. Các khoản đầu tư tài chính ngắn hạn,III. Các khoản phải thu ngắn hạn,IV. Tổng hàng tồn kho,V. Tài sản ngắn hạn khác,B. Tài sản cố định và đầu tư dài hạn,I. Các khoản phải thu dài hạn,II. Tài sản cố định,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,V. Các khoản đầu tư tài chính dài hạn,VI. Tổng tài sản dài hạn khác,VII. Lợi thế thương mại,TỔNG CỘNG TÀI SẢN,A. Nợ phải trả,I. Nợ ngắn hạn,II. Nợ dài hạn,B. Nguồn vốn chủ sở hữu,I. Vốn chủ sở hữu,II. Nguồn kinh phí và quỹ khác,TỔNG CỘNG NGUỒN VỐN
2005,113066744043,26843164660,3166404480,21517648934,55689192499,5850333470,26960621468,0,11082956376,0,0,10050237000,5827428092,0,140027365511,100943724593,100943724593,0,39083640918,39083640918,0,140027365511
2006,184177319200,10690641443,0,119029020902,47001817465,7455839390,39675277664,1505165215,22797370807,0,0,11782000800,3590740842,0,223852596864,130232992075,130232992075,0,93619604789,93619604789,0,223852596864
2007,716513489665,352430457732,80000000000,173190337599,100475980812,10416713522,252121814974,0,30883188650,64662555400,0,155277600000,1298470924,0,968635304639,180297726905,180297726905,0,788337577734,788337577734,0,968635304639
2008,758853274358,361909341321,77637652101,154408369504,149511515404,15386396028,397225441828,0,58973183421,64662555400,6148802587,254020747899,13420152521,0,1156078716186,274676430787,274629641123,46789664,881402285399,881402285399,0,1156078716186
2009,1159727087062,369037642295,170309000000,307943749557,267786174908,44650520302,612212413745,0,111731521658,64662555400,45277604345,325460561308,65080171034,0,1771939500807,670780073359,667823919778,2956153581,1101159427448,1101159427448,0,1771939500807
2010,1284325185538,289879887675,5988441300,513483349070,440709544463,34263963030,733093598536,0,256278115588,103164365665,1361523470,186091061308,186198532505,0,2017418784074,748832253551,648468524876,100363728675,1268586530523,1268586530523,0,2017418784074
2011,1786937269122,251978411295,4900450000,1146444341290,365171565093,18442501444,672700102914,0,256240872979,99725553481,1771390058,116334313409,198627972987,0,2459637372036,1022086984716,1014828864815,7258119901,1437550387320,1437550387320,0,2459637372036
2012,3047895090991,681485846811,515339420000,1457889671264,383854553819,9325599097,565177836852,0,226813982317,96286741297,139971819,111812313409,130124828010,0,3613072927843,1535073008814,1520648739204,14424269610,2077999919029,2077999919029,0,3613072927843
2013,3995926433261,618518444081,1055500000000,2010311772164,248339897206,63256319810,556333955189,0,249423018042,92307223295,942276612,104524316290,109137120950,0,4552260388450,2083766496899,2002895871972,80870624927,2468493891551,2468493891551,0,4552260388450
2014,3635696412928,469023469430,629080000000,2129477879588,269593810165,138521253745,1227365452521,0,248987841039,104795419660,5690512097,781240497580,86651182145,0,4863061865449,2153669745752,2120650523684,33019222068,2709392119697,2709392119697,0,4863061865449
2015,6485874716823,1461621853393,928100000000,2608589628142,1051277324227,436285911061,1329221251200,248976000,439783731702,91813818041,47801513529,492937092625,256636119303,0,7815095968023,4572560185669,4559132890228,13427295441,3242535782354,3242535782354,0,7815095968023
2016,9943464944899,1996627577169,2675000000000,3483690579494,1240877076159,547269712077,1797406246208,253976000,585367558531,78054175594,18354164656,714783616306,400592755121,0,11740871191107,5507243351828,5495199216604,12044135224,6233627839279,6233627839279,0,11740871191107
2017,14323046481379,3311114590570,2478527000000,6343651794988,1873811750026,315941345795,1554271582049,0,767485125209,50050508279,72100000,377204788931,359459059630,0,15877318063428,8570630214809,8559717905972,10912308837,7306687848619,7306687848619,0,15877318063428
2018,15323459276998,552833230980,3907058000000,9053952559022,1443523976605,366091510391,1499602669344,0,743708162486,52358883694,1005828500,350744031635,351785763029,0,16823061946342,8860568747448,8851372781946,9195965502,7962493198894,7962493198894,0,16823061946342
2019,14727405324722,800791418362,3241650000000,8797679575624,1626319466015,260964864721,1471429330005,0,704482424910,49603357264,161115839300,394287974564,161939733967,0,16198834654727,7729313976168,7710283750131,19030226037,8469520678559,8469520678559,0,16198834654727
2020,12867742344915,1396764826755,1980960000000,7648321521326,1492037630688,349658366146,1289671333968,0,603825141002,46847830834,161507554550,365159081871,112331725711,0,14157413678883,5758744202842,5753169242078,5574960764,8398669476041,8398669476041,0,14157413678883
2021,12751059518674,884710498842,2400688059709,7424568991302,1692285468779,348806500042,1173552857857,0,531147896594,40740812856,185212476743,334844039939,81607631725,0,13924612376531,5677051643717,5674507872916,2543770801,8247560732814,8247560732814,0,13924612376531
2022,17465000719039,1064440156074,1778375679012,11235427047962,2837856762717,548901073274,1502071227628,403407794753,560040400541,37580763475,24927045808,311021236765,165093986286,0,18967071946667,10753109689422,10226584924427,526524764995,8213962257245,8213962257245,0,18967071946667
2023,19889440906559,2842181486342,1768453243121,11845187162549,2602818535216,830800479331,1762452451166,602893498641,474509997337,68133087404,119737015784,306076047583,191102804417,0,21651893357725,13244460933549,12745683334882,498777598667,8407432424176,8407432424176,0,21651893357725
