,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,- Khấu hao TSCĐ,- Các khoản dự phòng,- Lợi nhuận thuần từ đầu tư vào công ty liên kết,- Xóa sổ tài sản cố định (thuần),- Lãi lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,- Lãi lỗ từ thanh lý TSCĐ,- Lãi lỗ từ hoạt động đầu tư,- Lãi tiền gửi,- Thu nhập lãi,- Chi phí lãi vay,- Các khoản chi trực tiếp từ lợi nhuận,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,- Tăng giảm các khoản phải thu,- Tăng giảm hàng tồn kho,- Tăng giảm các khoản phải trả (Không kể lãi vay phải trả thuế thu nhập doanh nghiệp phải nộp),- Tăng giảm chi phí trả trước,- Tăng giảm tài sản ngắn hạn khác,- Tiền lãi vay phải trả,- Thuế thu nhập doanh nghiệp đã nộp,- Tiền thu khác từ hoạt động kinh doanh,- Tiền chi khác từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Tiền chi để mua sắm xây dựng TSCĐ và các tài sản dài hạn khác,2. Tiền thu từ thanh lý nhượng bán TSCĐ và các tài sản dài hạn khác,3. Tiền chi cho vay mua các công cụ nợ của đơn vị khác,4. Tiền thu hồi cho vay bán lại các công cụ nợ của các đơn vị khác,5. Đầu tư góp vốn vào công ty liên doanh liên kết,6. Chi đầu tư ngắn hạn,7. Tiền chi đầu tư góp vốn vào đơn vị khác,8. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,9. Lãi tiền gửi đã thu,10. Tiền thu lãi cho vay cổ tức và lợi nhuận được chia,11. Tiền chi mua lại phần vốn góp của các cổ đông thiểu số,Lưu chuyển tiền thuần từ hoạt động đầu tư,1. Tiền thu từ phát hành cổ phiếu nhận vốn góp của chủ sở hữu,2. Tiền chi trả vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,3. Tiền vay ngắn hạn dài hạn nhận được,4. Tiền chi trả nợ gốc vay,5. Tiền chi trả nợ thuê tài chính,6. Tiền chi khác từ hoạt động tài chính,7. Tiền chi trả từ cổ phần hóa,8. Cổ tức lợi nhuận đã trả cho chủ sở hữu,9. Vốn góp của các cổ đông thiểu số vào các công ty con,10. Chi tiêu quỹ phúc lợi xã hội,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
2009,265240524387,-13633867641,15009918032,19847586591,0,0,0,0,-48491372264,0,0,0,0,251606656746,-168748070437,-118274659504,371485557695,-46910585428,0,0,-17679188178,0,-18152545107,253327165787,-106487860273,0,-99406747899,0,0,0,-66738040000,0,0,35433783359,0,-237198864813,9000000000,0,0,0,0,0,0,-18000000000,0,0,-9000000000,7128300974,361909341321,0,369037642295
2010,312841395687,-56689131758,29444485644,-729441300,0,0,0,0,-85404176102,0,0,0,0,256152263929,-192723082723,-172923369555,86889514416,-124021446441,0,0,-89206840999,0,-11159152000,-246992113373,-168897424907,318181818,0,-2050000000,0,0,-17382500000,367530000000,0,37450096542,0,216968353453,-1560000,0,0,0,0,0,0,-49132434700,0,0,-49133994700,-79157754620,369037642295,0,289879887675
2011,283242316306,14091954393,39810882864,33845042053,0,0,0,0,-59563970524,0,0,0,0,297334270699,-662548710132,75537979370,248574256843,-13233293343,0,0,-64861551763,63372504889,-59423107791,-115247651228,-36662331023,0,0,66406747899,0,0,0,14400000000,0,45289468598,0,89433885474,20400000000,-1739900000,0,0,0,0,0,-30749844000,0,0,-12089744000,-37903509754,289879887675,2033374,251978411295
2012,299707120610,3243017236,38468222418,56247951728,0,0,184748196,0,-92101922673,0,0,444017567,0,302950137846,-311331125208,-43532988726,517839550022,71547396928,0,-444017567,-75191107318,37361639803,-57306252982,441893232798,-3981876969,0,-510000000000,0,0,0,-478000000,0,0,69734866264,0,-444725010705,516540000000,0,300000000000,-300000000000,0,0,0,-84201015000,0,0,432338985000,429507207093,251978411295,228423,681485846811
2013,393151115840,50596186117,37172297421,140822450015,0,0,-279561788,0,-127118999531,0,0,0,0,443747301957,-503049587787,185333901336,339329573488,37765792481,0,0,-118358659072,4670034155,-21304373523,368133983035,-8509069758,2105958501,-545500000000,5000000000,0,0,81178250155,10168260338,0,113035782806,0,-342520817958,0,0,0,0,0,0,0,-84248389800,-4388400000,0,-88636789800,-63023624723,681485846811,56221993,618518444081
2014,464287418714,-35489439922,34952395297,40117854312,0,0,-1089361412,0,-109470328119,0,0,0,0,428797978792,-220259363116,-18339912959,116192713110,19895842046,0,-99077091719,0,980168000,-97631055422,130559278732,-31828283506,5079772726,-253580000000,0,-9144158241,0,-45887779374,23226256020,0,103279458265,0,-208854734110,0,0,0,0,0,0,0,-63365870300,-8776800000,0,-72142670300,-150438125678,618518444081,943151027,469023469430
2015,926668522246,-7325933973,45201994948,89928869020,0,0,-146078821,0,-142310719120,0,0,0,0,919342588273,-969292851723,-706683514062,2345105757590,-187083189824,0,0,-164187105229,0,-8669374227,1228532310798,-242227710286,1504193579,0,12980000000,0,0,-8085000000,38238062386,0,83106235283,0,-114484219038,45815000000,0,0,0,0,0,0,-167264407250,0,0,-121449407250,992598684510,469023469430,-300547,1461621853393
2016,1762921903118,-187687739986,53782443059,-36138040739,0,0,-344190103,0,-205141007759,0,0,153055556,0,1575234163132,-914835439171,-189599751932,823723127088,-100137187236,0,-153055556,-289098318843,0,-4071927469,901061610013,-189440496481,6459592060,-1898900000000,0,0,0,-42000000000,0,0,139754616316,0,-1984126288105,1875250945385,0,50000000000,-50000000000,0,0,0,-257186590275,0,0,1618064355110,534999677018,1461621853393,6046758,1996627577169
2017,2060742539013,-290651075337,79233734544,-4994293145,0,0,-50834803,0,-364839681933,0,0,0,0,1770091463676,-2444779391189,-632934673867,2951347688516,34183171877,0,0,-416776391764,0,-109083623001,1152048244248,-214558893875,8600070476,0,566473000000,0,0,0,0,0,205750711464,0,566264888065,0,-21091000000,0,0,0,0,0,-382734658400,0,0,-403825658400,1314487473913,1996627577169,-460512,3311114590570
2018,1872974285564,-328932759551,93961932263,-2334235286,0,0,177561364,0,-420738017892,0,0,0,0,1544041526013,-2797703359814,430287773421,331806119643,55321720026,0,0,-386537444561,0,-111107156003,-933890821275,-134239595441,17589916354,-4352058000000,5163527000000,-40590000000,0,0,0,0,366917856522,0,1021147177435,73236000000,-437817478999,0,0,0,0,0,-390953176000,0,0,-755534654999,-668278298839,1221114590570,-3060751,552833230980
