,1. Tổng doanh thu hoạt động kinh doanh,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần (1)-(2),4. Giá vốn hàng bán,5. Lợi nhuận gộp (3)-(4),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính,-Trong đó: Chi phí lãi vay,8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác (12)-(13),15. Tổng lợi nhuận kế toán trước thuế (11)+(14),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Chi phí thuế TNDN (16)+(17),19. Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),20. Lợi nhuận sau thuế của cổ đông không kiểm soát,21. Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20)
2005,494018686993,15299551,494003387442,459518032634,34485354808,1573213503,2680959610,0,0,0,6484264289,26893344412,544653520,209238218,335415302,27228759714,0,0,0,27228759714,0,27228759714
2006,823960483390,0,823960483390,761892947877,62067535513,5873537139,885139365,852109500,0,0,13810966111,53244967176,8525722210,6195180233,2330541977,55575509153,0,0,0,55575509153,0,55575509153
2007,1344700717670,145454545,1344555263125,1215600907557,128954355568,35519807090,111400870,88563367,0,0,22878237668,141484524120,1754643804,36706333,1717937471,143202461591,17818047988,0,17818047988,125384413603,0,125384413603
2008,1823189206312,0,1823189206312,1656423673775,166765532537,35618880438,4117925994,80722262,0,0,33889962467,164376524514,3124554703,98390849,3026163854,167402688368,23215093846,0,23215093846,144187594522,0,144187594522
2009,1962328197802,0,1962328197802,1691643004702,270685193100,48537745746,20771969253,0,0,0,37146394811,261304574782,4217562126,281612521,3935949605,265240524387,42219444738,-5078833085,37140611653,228099912734,0,228099912734
2010,3303784360148,0,3303784360148,3021569424561,282214935587,85097329977,-705072285,0,0,0,77030162379,290987175470,22280207524,425987307,21854220217,312841395687,70388039073,2126235624,72514274697,240327120990,0,240327120990
2011,4509632778509,0,4509632778509,4163015671336,346617107173,59573964435,8388289273,0,0,0,117721937758,280080844577,15504380040,12342908311,3161471729,283242316306,71468385352,709828603,72178213955,211064102351,0,211064102351
2012,4477276306689,0,4477276306689,4154661217829,322615088860,92101922673,215342362,444017567,0,0,122250135432,292251533739,7455586871,0,7455586871,299707120610,83451331013,-2271668118,81179662895,218527457715,0,218527457715
2013,6189651406151,0,6189651406151,5725278429936,464372976215,118290538249,-956344811,0,9524664331,0,216761609146,376382914460,24943462117,8175260737,16768201380,393151115840,112172080951,1101372511,113273453462,279877662378,22739975488,257137686890
2014,7633621860050,0,7633621860050,7077701608676,555920251374,118764053874,372976263,0,-9266878273,0,214752054120,450292396592,29754881825,15759859703,13995022122,464287418714,104550010660,2271700563,106821711223,357465707491,30112412296,327353295195
2015,13668916257891,0,13668916257891,12557080138880,1111836119011,126103176681,1590712601,0,13861863201,0,362816863648,887393582644,41100416921,1825477319,39274939602,926668522246,194398661290,-532792461,193865868829,732802653417,66722024428,666080628989
2016,20782721033541,0,20782721033541,18983319033277,1799402000264,170167561778,281190168,153055556,32592114614,1887854700,297253276693,1702739355095,62697300620,2514752597,60182548023,1762921903118,341764814329,-986829751,340777984578,1422143918540,0,1422143918540
2017,27153453093560,0,27153453093560,25137240993127,2016212100433,325276488942,45704258,0,31676978729,0,394573473301,1978546390545,85996368686,3800220218,82196148468,2060742539013,407180459042,882850631,408063309673,1652679229340,0,1652679229340
2018,28560857297395,0,28560857297395,26727845024426,1833012272969,321096425107,256508001,0,97618204914,0,505217213266,1746253181723,141186784790,14465680949,126721103841,1872974285564,362105809452,460926838,362566736290,1510407549274,0,1510407549274
2019,23733028252165,0,23733028252165,22684921110980,1048107141185,263864493550,9346944,0,4069273547,0,458979143450,857052417888,41825059246,8146550269,33678508977,890730926865,164453039966,15361288234,179814328200,710916598665,25880895,710890717770
2020,14589198781083,31112346115,14558086434968,13701679421556,856407013412,228216305252,462594755,0,-27004720298,0,655860103467,401295900144,39342162410,12681817591,26660344819,427956244963,168392038487,-74990071547,93401966940,334554278023,179662405,334374615618
2021,9077915407373,0,9077915407373,8802717841835,275197565538,277061261737,12928113078,1110696092,-30315041932,0,516298035944,-7282363679,57633325799,12197014453,45436311346,38153947667,43392441773,-29349322314,14043119459,24110828208,103448649,24007379559
2022,14538688107336,1739604226,14536948503110,14050214386118,486734116992,380957178884,162645814471,79172332132,-23822803174,0,734758141359,-53535463128,93606362978,5245345971,88361017007,34825553879,37877223323,-23843502855,14033720468,20791833411,79633132,20712200279
2023,16529943401912,1728598544,16528214803368,16102236570309,425978233059,347790417568,130346321748,96138110828,-6945189182,40602692,398184674406,238251862599,10007686262,3990978065,6016708197,244268570796,83097952515,-26751698650,56346253865,187922316931,-16823063,187939139994
