,A. Tài sản lưu động và đầu tư ngắn hạn,I. Tiền và các khoản tương đương tiền,II. Các khoản đầu tư tài chính ngắn hạn,III. Các khoản phải thu ngắn hạn,IV. Tổng hàng tồn kho,V. Tài sản ngắn hạn khác,B. Tài sản cố định và đầu tư dài hạn,I. Các khoản phải thu dài hạn,II. Tài sản cố định,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,V. Các khoản đầu tư tài chính dài hạn,VI. Tổng tài sản dài hạn khác,VII. Lợi thế thương mại,TỔNG CỘNG TÀI SẢN,A. Nợ phải trả,I. Nợ ngắn hạn,II. Nợ dài hạn,B. Nguồn vốn chủ sở hữu,I. Vốn chủ sở hữu,II. Nguồn kinh phí và quỹ khác,TỔNG CỘNG NGUỒN VỐN
2012,771548153768,20766254699,4900000000,219884737937,462939590540,63057570592,84449235282,0,77324813216,0,0,5100000000,2024422066,0,855997389050,559507875626,519734918415,39772957211,296489513424,296489513424,0,855997389050
2013,889595562246,151491929805,4900000000,280019800370,385815546461,67368285610,86948560093,0,80096571736,0,0,5100000000,1751988357,0,976544122339,726493905171,692099973292,34393931879,250050217168,250050217168,0,976544122339
2014,1207162476422,68267019973,4900000000,307993814798,731942945461,94058696190,85559069207,0,83374408181,0,0,0,2184661026,0,1292721545629,957962429143,928031999264,29930429879,334759116486,334759116486,0,1292721545629
2015,1171265320514,31668848074,4900000000,348987791367,669576016876,116132664197,84243052475,2324220000,81294875482,0,0,0,623956993,0,1255508372989,646964119066,619269346188,27694772878,608544253923,608544253923,0,1255508372989
2016,1218475787544,32823139329,4900000000,360885617856,714275506872,105591523487,87736112678,2323780000,84785964920,0,0,0,626367758,0,1306211900222,676633327069,672579897190,4053429879,629578573153,629578573153,0,1306211900222
2017,1501889333246,34097098070,0,482229443107,883035305390,102527486679,92059588112,2339780000,83693439035,0,0,0,561209348,5465159729,1593948921358,904514008399,901913565437,2600442962,689434912959,689434912959,0,1593948921358
2018,2118332560076,71264154681,0,600825766492,1314175256832,132067382071,105003553530,4404531706,84394526210,0,0,4142882991,7171732866,4889879757,2223336113606,1456856633785,1451893272858,4963360927,766479479821,766479479821,0,2223336113606
2019,2287553965106,131057291125,0,584637877626,1453645856457,118212939898,117501236961,4243538000,81415131195,0,0,6125855203,21402112778,4314599785,2405055202067,1480206789049,1475740328122,4466460927,924848413018,924848413018,0,2405055202067
2020,2862004487463,878056239562,0,1131244267296,827371174363,25332806242,206742641967,8828160500,88270746955,0,0,59904055269,46000359430,3739319813,3068747129430,1910160835664,1905552206237,4608629427,1158586293766,1158586293766,0,3068747129430
2021,6255496358009,1494332170846,0,1785999305051,2888111274480,87053607632,289326210007,17641047356,94483668976,0,318293082,65269613977,108449546775,3164039841,6544822568016,4763537900634,4753295358270,10242542364,1781284667382,1781284667382,0,6544822568016
2022,5782350104857,827783770177,0,1578780707157,3254338593622,121447033901,573071018691,22404577034,95633913128,0,0,70627336629,107349844688,277055347212,6355421123548,3932139390271,3882267103764,49872286507,2423281733277,2423281733277,0,6355421123548
2023,6802459424682,1450368646470,0,2167314636574,3016488601516,168287540122,656573542430,14863131582,131009469030,0,14909126190,18832995883,124397803903,352561015842,7459032967112,4832182530822,4816000244315,16182286507,2626850436290,2626850436290,0,7459032967112
