,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,- Khấu hao TSCĐ,- Các khoản dự phòng,- Lợi nhuận thuần từ đầu tư vào công ty liên kết,- Xóa sổ tài sản cố định (thuần),- Lãi lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,- Lãi lỗ từ thanh lý TSCĐ,- Lãi lỗ từ hoạt động đầu tư,- Lãi tiền gửi,- Thu nhập lãi,- Chi phí lãi vay,- Các khoản chi trực tiếp từ lợi nhuận,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,- Tăng giảm các khoản phải thu,- Tăng giảm hàng tồn kho,- Tăng giảm các khoản phải trả (Không kể lãi vay phải trả thuế thu nhập doanh nghiệp phải nộp),- Tăng giảm chi phí trả trước,- Tăng giảm tài sản ngắn hạn khác,- Tiền lãi vay phải trả,- Thuế thu nhập doanh nghiệp đã nộp,- Tiền thu khác từ hoạt động kinh doanh,- Tiền chi khác từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Tiền chi để mua sắm xây dựng TSCĐ và các tài sản dài hạn khác,2. Tiền thu từ thanh lý nhượng bán TSCĐ và các tài sản dài hạn khác,3. Tiền chi cho vay mua các công cụ nợ của đơn vị khác,4. Tiền thu hồi cho vay bán lại các công cụ nợ của các đơn vị khác,5. Đầu tư góp vốn vào công ty liên doanh liên kết,6. Chi đầu tư ngắn hạn,7. Tiền chi đầu tư góp vốn vào đơn vị khác,8. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,9. Lãi tiền gửi đã thu,10. Tiền thu lãi cho vay cổ tức và lợi nhuận được chia,11. Tiền chi mua lại phần vốn góp của các cổ đông thiểu số,Lưu chuyển tiền thuần từ hoạt động đầu tư,1. Tiền thu từ phát hành cổ phiếu nhận vốn góp của chủ sở hữu,2. Tiền chi trả vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,3. Tiền vay ngắn hạn dài hạn nhận được,4. Tiền chi trả nợ gốc vay,5. Tiền chi trả nợ thuê tài chính,6. Tiền chi khác từ hoạt động tài chính,7. Tiền chi trả từ cổ phần hóa,8. Cổ tức lợi nhuận đã trả cho chủ sở hữu,9. Vốn góp của các cổ đông thiểu số vào các công ty con,10. Chi tiêu quỹ phúc lợi xã hội,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
2012,85092576922,25129364853,3021237807,579836608,0,0,-724895283,0,-4970919930,0,0,27224105651,0,110221941775,26552091544,-56038354334,-91253319158,921851930,0,-22989083525,-20373247956,790193011,-219399734,-52387326447,-845701250,600000000,0,1150000000,0,0,0,0,1397265958,0,0,2301564708,0,0,1761374644878,-1724781462784,0,0,0,0,0,0,36593182094,-13492579645,34266212080,-7377736,20766254699
2013,69034455378,33599938683,3416862244,-384782059,0,0,-204322050,0,-3429982317,0,0,34202162865,0,102634394061,-65817058085,77124044079,-46041749473,-876447438,0,-27708342000,-18761507196,176663840,2682341000,23412338788,-6188620764,0,0,0,0,0,0,0,3127182317,0,0,-3061438447,0,-85000000000,2578514538573,-2370306656080,0,0,0,-12842613374,0,0,110365269119,130716169460,20766254699,9505646,151491929805
2014,167932996464,23930290130,2954082262,1047358704,0,0,-334685327,0,-4853554971,0,0,25117089462,0,191863286594,-61136189611,-346127399000,87304003501,1141265075,0,-23446795544,-40452411909,4294072264,-574029740,-187134198370,-6231918707,0,-10000891870,11721190000,0,0,0,5100000000,2160524868,0,0,2748904291,519000000,3803641645601,0,-3659320403951,0,0,0,-43750000000,0,0,101090241650,-83295052429,151491929805,70142597,68267019973
2015,133355202309,28805942435,3251675859,2630441487,0,0,-209967963,0,0,0,0,23133793052,0,162161144744,-51556164151,62366928585,-127023101157,-14905737879,0,-23689981675,-36205763301,0,0,-28852674834,-1172143160,0,0,0,0,0,0,0,0,0,0,-1172143160,193646400000,0,3142464939859,-3328262461727,0,0,0,-14632200000,0,0,-6783321868,-36808139862,68267019973,209967963,31668848074
2016,84283188019,28317974383,4003934985,1696894352,0,0,395913831,0,-574266666,0,0,22795497881,0,112601162402,-13778194126,-46264213756,142122354587,12334889163,0,-23193483167,-18018613431,0,0,165803901672,-7495024423,375000000,0,0,0,0,0,0,199266666,0,0,-6920757757,0,0,2691476932074,-2794714882911,0,0,0,-54492790000,0,0,-157730740837,1152403078,31668848074,1888177,32823139329
2017,99565673300,40062688746,4800459214,13220721931,0,0,-42890431,0,-527318304,0,0,22611716336,0,139628362046,-110925552126,-154899070695,-66417508563,907689717,0,-20983421809,-19664402217,0,0,-232353903647,-531360000,0,0,4900000000,0,0,0,-18872246970,0,527318304,0,-13976288666,10000000000,0,2832736574321,-2567436031596,0,0,0,-27720194600,0,0,247580348125,1250155812,32823139329,23802929,34097098070
2018,139635983564,45780718897,5461650521,9932606043,0,0,-1622119087,0,-126308665,0,0,32134890085,0,185416702461,-154675100425,-434742327791,341272186849,-5887791125,0,-29625077891,-27349065297,0,0,-125590473219,-5587457724,0,-284750000,0,0,0,-5007983122,10000000,0,126308665,0,-10743882181,0,0,3392927618245,-3186987930491,0,0,0,-32480222400,0,0,173459465354,37125109954,34097098070,41946657,71264154681
2019,210353564831,77436490849,6218032465,25057422411,0,0,-731562266,0,-689751425,0,0,47582349664,0,287790055680,-14476535707,-145691252117,247530440826,247858995,0,-44927188990,-43781076400,0,0,286692302287,-1700190178,0,-350000000,0,0,0,0,211537687,0,82251425,0,-1756401066,12000000000,0,3891177798097,-4107810207861,0,0,0,-20900139000,0,0,-225532548764,59403352457,71264154681,389783987,131057291125
2020,333757885756,23004318674,6286898083,1766291644,0,0,-796133544,0,-11270780925,0,0,27018043416,0,356762204430,-452454756014,625470869632,420722950826,-9318011941,0,-27018043416,-87779021182,0,0,826386192335,-12606476296,2271060607,0,634750000,0,0,-53314598727,0,0,4595930719,0,-58419333697,12000000000,0,3834070229646,-3824720880444,0,0,0,-43000278000,0,0,-21650928798,746315929840,131057291125,683018597,878056239562
2021,819839259805,3338115021,6289637096,5880365665,0,0,-5916649545,0,-34801760900,0,0,31886522705,0,823177374826,-762021889812,-2066411669529,2365449755467,-4970024002,0,-30207571034,-175747869026,0,0,149268106890,-12425692715,300000000,-6400000000,0,0,0,-9879000000,0,0,40645803365,0,12241110650,12000000000,0,4902497432817,-4414870569153,0,0,0,-44200278000,0,0,455426585664,616935803204,878056239562,-659871920,1494332170846
