,1. Tổng doanh thu hoạt động kinh doanh,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần (1)-(2),4. Giá vốn hàng bán,5. Lợi nhuận gộp (3)-(4),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính,-Trong đó: Chi phí lãi vay,8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác (12)-(13),15. Tổng lợi nhuận kế toán trước thuế (11)+(14),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Chi phí thuế TNDN (16)+(17),19. Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),20. Lợi nhuận sau thuế của cổ đông không kiểm soát,21. Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20)
2012,2250131782583,110456481206,2139675301377,1988236751599,151438549778,14498934640,32656914246,27224105651,0,28140662194,35976747055,69163160923,17035290794,1105874795,15929415999,85092576922,21399666882,0,21399666882,63692910040,0,63692910040
2013,3151278618199,94010352862,3057268265337,2900602605924,156665659413,5981855551,36242918382,34202162865,0,31511807180,32029911069,62862878333,7386158005,1214580960,6171577045,69034455378,17631138260,0,17631138260,51403317118,0,51403317118
2014,4956069869743,79505130468,4876564739275,4589220627225,287344112050,10737904224,42672207786,25117089462,0,67229317088,38939839997,149240651403,19820408517,1128063456,18692345061,167932996464,39993097146,0,39993097146,127939899318,0,127939899318
2015,4246389580916,43033836352,4203355744564,3938889355570,264466388994,14114044450,40204938068,23133793052,0,64316707240,45438871817,128619916319,6038138573,1302852583,4735285990,133355202309,29784264872,0,29784264872,103570937437,0,103570937437
2016,3843909468369,43836052485,3800073415884,3559311758622,240761657262,19265855640,27891556617,22795497881,0,98266813253,53825894204,80043248828,5939822667,1699883476,4239939191,84283188019,17556078789,0,17556078789,66727109230,0,66727109230
2017,3865384888183,44441133297,3820943754886,3546193418488,274750336398,24486747082,23869055498,22611716336,-275467140,125926800294,55721814246,93443946302,9442738094,3321011096,6121726998,99565673300,21178119405,-56800000,21121319405,78444353895,-739919916,79184273811
2018,5998266652845,60896006044,5937370646801,5568464365609,368906281192,32404635505,38818358718,32134890085,589632991,134531147963,91237772756,137313270251,4272101687,1949388374,2322713313,139635983564,31502510487,-1391316185,30111194302,109524789262,-1405805895,110930595157
2019,8603202748708,115134138593,8488068610115,7939942178839,548126431276,60625155829,51400224746,47582349664,1375472212,248282992922,100526980788,209916860861,4819211033,4382507063,436703970,210353564831,60339651533,-13165554931,47174096602,163179468229,-1277570260,164457038489
2020,12709255795237,173617957807,12535637837430,11732855520719,802782316711,82757303963,33181287473,27018043416,4176727614,434359274700,90216582365,331959203750,3265352454,1466670448,1798682006,333757885756,85719653100,-19298926092,66420727008,267337158748,165387319,267171771429
2021,21302662313033,379848844254,20922813468779,19414819300276,1507994168503,180130142609,42367478869,31886522705,-2377600080,708282903403,113703929084,821392399676,1251414527,2804554398,-1553139871,819839259805,220854928421,-55914320232,164940608189,654898651616,525847650,654372803966
2022,22107364604910,79229675376,22028134929534,20365038536063,1663096393471,209046617972,144032907196,94462125254,-1826431065,722407497398,135818669800,868057505984,2080047652,7769877426,-5689829774,862367676210,175167174169,3598155250,178765329419,683602346791,-180940291,683783287082
2023,18867240821638,49765473917,18817475347721,17257979824162,1559495523559,194553722080,139371754796,122212057838,-3063888134,943855496764,198420426467,469337679478,11079388836,9847644196,1231744640,470569424118,91481029554,16497260293,107978289847,362591134271,8198656205,354392478066
