,1. Tổng doanh thu hoạt động kinh doanh,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần (1)-(2),4. Giá vốn hàng bán,5. Lợi nhuận gộp (3)-(4),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính,-Trong đó: Chi phí lãi vay,8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác (12)-(13),15. Tổng lợi nhuận kế toán trước thuế (11)+(14),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Chi phí thuế TNDN (16)+(17),19. Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),20. Lợi nhuận sau thuế của cổ đông không kiểm soát,21. Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20)
2006,229719037187,0,229719037187,172875324355,56843712832,202723805,2028344748,0,0,9007503212,20243277183,25767311494,83376214,16242523,67133691,25834445185,0,0,0,25834445185,0,25834445185
2007,271291589379,27311500,271264277879,207609208100,63655069779,472326850,3846088517,3555990430,1889365545,19266873485,16341079671,26562720501,35429248,1693358,33735890,26596456391,3723393674,0,3723393674,22873062717,-761075,22873823792
2008,322150753932,25839000,322124914932,225667062991,96457851941,4327368566,23351583955,2981428559,1774380955,17215393782,23410103707,38582520018,964851385,823649781,141201604,38723721622,1777790228,0,1777790228,36945931394,-903485,36946834879
2009,706894775791,14200000,706880575791,521343877758,185536698033,5357544990,31854518758,3619254338,4371196879,30930734096,36423905529,96056281519,1518823269,2462048307,-943225038,95113056481,5275185590,-335235133,4939950457,90173106024,2432853,90170673171
2010,752972159991,0,752972159991,477578387351,275393772640,11643785070,33623562912,5698990590,2527360001,12969706591,57969050767,185002597441,566483516,880050132,-313566616,184689030825,20750912479,-6306474657,14444437822,170244593003,481480,170244111523
2011,482586262906,0,482586262906,274803007263,207783255643,39236688180,51244870144,4379319996,-276362441,15431497724,57944724924,122122488590,1801985791,976463856,825521935,122948010525,3240836708,5129369688,8370206396,114577804129,-10918515,114588722644
2012,479914808824,0,479914808824,299849130860,180065677964,37501966944,1356808748,575953523,-374720909,7718549935,88414361921,119703203395,2074570180,1783316050,291254130,119994457525,3643688462,146792343,3790480805,116203976720,-11772063,116215748783
2013,418889757262,0,418889757262,331472449303,87417307959,39419572798,11022649035,3365538460,315260651,7102788259,66507320168,42519383946,1403304513,1804960744,-401656231,42117727715,6713185020,-471225289,6241959731,35875767984,-8715135,35884483119
2014,330621604296,0,330621604296,204708309379,125913294917,17012475184,14652061043,6164084873,1605931258,14060374448,48280095658,67539170210,10220204271,13384793116,-3164588845,64374581365,3938960504,-1393431266,2545529238,61829052127,-2270257826,64099309953
2015,723315713867,47527000,723268186867,496605482666,226662704201,9223973731,30946203216,4270329416,-614508950,25431452402,84409381479,94485131885,15831239133,22965360056,-7134120923,87351010962,13513288570,690018607,14203307177,73147703785,-40266914,73187970699
2016,1301579187148,0,1301579187148,1023490251526,278088935622,17260738239,14456415781,10748143428,0,36769772678,134373436893,109750048509,4262402953,2446035899,1816367054,111566415563,17526272784,-97751647,17428521137,94137894426,-601252555,94739146981
2017,561394684029,0,561394684029,420482253701,140912430328,12063225283,1041538950,1815083267,-407769871,2365492590,96894557800,52266296400,5267031718,699972208,4567059510,56833355910,11172512695,576414470,11748927165,45084428745,251804573,44832624172
2018,412289720236,0,412289720236,318521883189,93767837047,10203591593,2896428348,2015393325,-10386379,38320081268,51069573759,11674958886,1003597698,206902020,796695678,12471654564,3418020633,70921414,3488942047,8982712517,-353948491,9336661008
2019,874779551788,19912160,874759639628,755009338629,119750300999,6457738870,3094213099,2360730075,612875944,36188376074,53155263111,34383063529,4949456351,249457764,4699998587,39083062116,7884977740,486602441,8371580181,30711481935,850807720,29860674215
2020,802240521980,7081818,802233440162,666857279950,135376160212,12713639816,7038160993,4552577118,-40737120,30884294947,70810400304,39316206664,1285621089,344453012,941168077,40257374741,8896727612,161304648,9058032260,31199342481,-603313775,31802656256
2021,659260549082,128383270,659132165812,530050105850,129082059962,10847323144,4923757053,3676728124,20355519365,40036046250,54565236220,60759862948,1213702195,3179248652,-1965546457,58794316491,8430044214,55317273,8485361487,50308955004,2196725947,48112229057
2022,863331702038,48264438,863283437600,722791207416,140492230184,48086805403,38592073824,38307770019,75661559,44995293772,57631718055,47435611495,943499208,1856029419,-912530211,46523081284,9095111084,55317273,9150428357,37372652927,6065549410,31307103517
2023,980089882652,240000,980089642652,786357957034,193731685618,53193595824,8845254355,3715807784,-1785833428,46289273562,92865234126,97139685971,980262758,1226623095,-246360337,96893325634,9434781937,3137707645,12572489582,84320836052,6668891299,77651944753
