,A. Tài sản lưu động và đầu tư ngắn hạn,I. Tiền và các khoản tương đương tiền,II. Các khoản đầu tư tài chính ngắn hạn,III. Các khoản phải thu ngắn hạn,IV. Tổng hàng tồn kho,V. Tài sản ngắn hạn khác,B. Tài sản cố định và đầu tư dài hạn,I. Các khoản phải thu dài hạn,II. Tài sản cố định,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,V. Các khoản đầu tư tài chính dài hạn,VI. Tổng tài sản dài hạn khác,VII. Lợi thế thương mại,TỔNG CỘNG TÀI SẢN,A. Nợ phải trả,I. Nợ ngắn hạn,II. Nợ dài hạn,B. Nguồn vốn chủ sở hữu,I. Vốn chủ sở hữu,II. Nguồn kinh phí và quỹ khác,TỔNG CỘNG NGUỒN VỐN
2011,2624294976208,614522983992,31132416000,761679088469,1176671187977,40289299770,1241722969677,0,480747800980,0,79883967879,558628921453,122462279365,0,3866017945885,1619904498725,1505251195295,114653303430,2246113447160,2245341901364,771545796,3866017945885
2012,3121888803502,700702879219,283933012300,955639420107,1134362602847,47250889029,1425489203812,0,606136612113,0,239109558130,478924907416,101318126153,0,4547378007314,2282714760961,2149421061414,133293699547,2264663246353,2257552779129,7110467224,4547378007314
2013,3204004185828,494352346689,277546592442,1089838390170,1291572470666,50694385861,1532792407103,0,740353148582,0,193710617297,467069085101,131659556123,0,4736796592931,2202869076920,2073644434519,129224642401,2533927516011,2531084564955,2842951056,4736796592931
2014,3466217585478,770927664834,288210857173,937600947599,1378861337210,90616778662,1682298233075,0,750065201022,0,337570727947,459197945594,135464358512,0,5148515818553,2407699506770,2235818313682,171881193088,2740816311783,2729812916008,11003395775,5148515818553
2015,3098121929560,518493494834,448433560889,1006793864550,1089029229696,35371779591,1819382361671,395000000,981971979497,0,44873799497,646827240129,145314342548,0,4917504291231,1924215058500,1800610784387,123604274113,2993289232731,2981559990574,11729242157,4917504291231
2016,6328645878889,2912224131908,353394502790,1489502751011,1540458703992,33065789188,2456499987197,441000000,1023040244851,0,233426742295,1003976347979,195615652072,0,8785145866086,5508403128098,3386760296729,2121642831369,3276742737988,3272769249866,3973488122,8785145866086
2017,7447578048018,1097517266477,1546228259969,2906643629169,1854862342903,42326549500,6462097204415,79226298470,3043665083104,218930439828,265956309343,1672377287976,441030675210,740911110484,13909675252433,7603987514057,4764444793235,2839542720822,6305687738376,6295473043703,10214694673,13909675252433
2018,8104003384888,923667098002,1863955085242,3084065645499,2111126553972,121189002173,9142484787442,21248160790,4475031456984,232999531823,1040166644660,1738906286546,478297964818,1155834741821,17246488172330,9281533631570,6826523433296,2455010198274,7964954540760,7956324379625,8630161135,17246488172330
2019,8382111242069,920972296193,1196264408377,3464510748372,2678936559794,121427229333,12879804385981,2857639695,6175219173652,218828013484,526037090461,4369772576391,561805078005,1025284814293,21261915628050,12584877445715,7655136785119,4929740660596,8677038182335,8669474321196,7563861139,21261915628050
2020,13071023654906,1559239675695,1751266439506,6261469977933,3236252994646,262794567126,14081069004802,30465035284,5876619871302,216246054300,1131587595528,5809360934692,438592522269,578196991427,27152092659708,18936906032823,10831294477533,8105611555290,8215186626885,8208689065742,6497561143,27152092659708
2021,29803333350042,4906107815875,7373702346881,5067886998302,11533262402556,922373786428,31386013641604,304375286415,17270356761877,2527944095419,6546364907347,1783048405915,1272650518315,1681273666316,61189346991646,40691545386910,22974454819014,17717090567896,20497801604736,20447606644553,50194960183,61189346991646
2022,19800289125653,3156250619707,2520704273989,4184462443098,9110749017578,828122771281,32584545398482,335175420670,16954106471212,2626694521493,8071979767925,1818203005731,1304879388719,1473506822732,52384834524135,31341456664406,17276008893499,14065447770907,21043377859729,20996098954198,47278905531,52384834524135
2023,20299049443139,3312661845659,4123368893945,3464393904174,8323628312640,1074996486721,34777826201312,799021803106,18799448182048,2584963507600,7325894924491,2658132470084,1344625334835,1265739979148,55076875644451,33853117241346,18590964345781,15262152895565,21223758403105,21179200093934,44558309171,55076875644451
