,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,- Khấu hao TSCĐ,- Các khoản dự phòng,- Lợi nhuận thuần từ đầu tư vào công ty liên kết,- Xóa sổ tài sản cố định (thuần),- Lãi lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,- Lãi lỗ từ thanh lý TSCĐ,- Lãi lỗ từ hoạt động đầu tư,- Lãi tiền gửi,- Thu nhập lãi,- Chi phí lãi vay,- Các khoản chi trực tiếp từ lợi nhuận,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,- Tăng giảm các khoản phải thu,- Tăng giảm hàng tồn kho,- Tăng giảm các khoản phải trả (Không kể lãi vay phải trả thuế thu nhập doanh nghiệp phải nộp),- Tăng giảm chi phí trả trước,- Tăng giảm tài sản ngắn hạn khác,- Tiền lãi vay phải trả,- Thuế thu nhập doanh nghiệp đã nộp,- Tiền thu khác từ hoạt động kinh doanh,- Tiền chi khác từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Tiền chi để mua sắm xây dựng TSCĐ và các tài sản dài hạn khác,2. Tiền thu từ thanh lý nhượng bán TSCĐ và các tài sản dài hạn khác,3. Tiền chi cho vay mua các công cụ nợ của đơn vị khác,4. Tiền thu hồi cho vay bán lại các công cụ nợ của các đơn vị khác,5. Đầu tư góp vốn vào công ty liên doanh liên kết,6. Chi đầu tư ngắn hạn,7. Tiền chi đầu tư góp vốn vào đơn vị khác,8. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,9. Lãi tiền gửi đã thu,10. Tiền thu lãi cho vay cổ tức và lợi nhuận được chia,11. Tiền chi mua lại phần vốn góp của các cổ đông thiểu số,Lưu chuyển tiền thuần từ hoạt động đầu tư,1. Tiền thu từ phát hành cổ phiếu nhận vốn góp của chủ sở hữu,2. Tiền chi trả vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,3. Tiền vay ngắn hạn dài hạn nhận được,4. Tiền chi trả nợ gốc vay,5. Tiền chi trả nợ thuê tài chính,6. Tiền chi khác từ hoạt động tài chính,7. Tiền chi trả từ cổ phần hóa,8. Cổ tức lợi nhuận đã trả cho chủ sở hữu,9. Vốn góp của các cổ đông thiểu số vào các công ty con,10. Chi tiêu quỹ phúc lợi xã hội,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
2011,489742549863,154487960760,85168307725,22158720172,0,0,0,0,-67588672097,0,0,114749604960,0,644230510623,-840973152588,-1181943654701,636057660907,-102348093311,0,-111180136357,-102432639742,1755408276006,-126764571612,570054199225,-146322268022,2154744388,-98914762576,73740039626,0,0,-18996057240,13926632950,0,46699063772,0,-127712607102,0,-30000000,1957995568496,-1785566437169,-108360000,0,0,0,0,0,172290771327,614632363450,0,-109379458,614522983992
2015,574402630292,52681187638,97653503258,74716618222,0,0,-2145269575,0,-172372046107,0,0,54828381840,0,627083817930,-215694534103,-128528629928,194224395547,-28788629089,0,-55392795264,-131795278086,40217626226,-295788764748,5537208485,-201507426652,702080000,-459193246676,282085422960,0,0,-95653040249,0,0,120822728550,0,-352743482067,224306340000,0,1473067321335,-1377507233285,0,0,0,-225079517819,0,0,94786910231,-252419363351,770927664834,-14806649,518493494834
2016,699642049999,-17151113905,125995802391,6922799298,0,0,-1399338600,0,-216397198026,0,0,67726821032,0,682490936094,-77850159753,345923720112,-535639237202,-47417193163,0,-55722805787,-112938901052,11795857545,-63981574353,146660642441,-379654472396,384745165,-681574588946,886789206156,0,0,-755196492305,42889376109,0,189632396012,0,-696729830205,2211060000,0,5455770445434,-2361061793228,0,0,0,-153614446335,0,0,2943305265871,2393236078107,518493494834,494558967,2912224131908
2017,1658244054519,-71447716456,329863959350,5971972873,0,0,2279804188,0,-776698529839,0,0,367135076972,0,1586796338063,320297235539,-180152992826,-118205565418,-125150325840,-709958990922,-380604353835,-333737726193,9950087949,-99747083044,-30513376527,-321461088860,21847792178,-1887969401933,515179880069,0,0,-1855039412447,860580707486,0,206924162788,0,-2459937360719,0,1549250173028,8224544519876,-8602022335891,0,0,0,-495512817241,0,0,676259539772,-1814191197474,2912224131908,-515667957,1097517266477
2018,1533073306647,136392258134,495974869059,-73790784320,0,0,-2247274550,0,-730939833678,0,0,447395281623,0,1669465564781,-600507604650,-206537181645,903882950960,-19596937459,-477578621262,-441009473921,-227314019974,3890182053,-111298668651,493396190232,-1062085278353,52667963477,-731227914280,1213786006950,0,0,-3140584846191,2057517133635,0,241389118202,0,-1368537816560,1195112000000,-224441613184,8344266329029,-8134320245909,0,0,0,-479264481846,0,0,701351988090,-173789638238,1097517266477,-60530237,923667098002
2019,1102463873437,868961218347,621397796994,29016967828,0,0,-1372306963,0,-414441040054,0,0,634359800542,0,1971425091784,-275771552522,-567915274621,619479265674,-74654599699,419182863021,-565918002241,-299773962182,1790399967,-59951958109,1167892271072,-1527217023697,8445120863,-158953097777,509786151025,0,0,-3775483096596,636457070271,0,373057973039,0,-3933906902872,236860000000,-6220002735,17990081177215,-15286943187002,0,0,0,-170499387478,0,0,2763278600000,-2736031800,923667098002,41229991,920972296193
2020,1197195362898,850056153308,628468136015,1115098520,0,0,-9356729631,0,-536170469816,0,0,766000118220,0,2047251516206,-1582989573514,-112091304087,1739557327845,-2832417029,-730210577003,-739113996796,-223647092296,1967132763,-24566980804,373324035285,-1917448887847,9362490206,-95509906601,50148164380,0,0,-3454882404923,2140224897951,0,288164994111,0,-2979940652723,148136200000,-299967829249,21139793091235,-17694910537694,0,0,0,-47595930511,0,0,3245454993781,638838376343,920972296193,-570996841,1559239675695
2021,2056992816436,2880134613751,2322678045396,141579743316,0,0,8132022887,0,-886259163966,0,0,1219003966118,75000000000,4937127430187,1046024611951,-3643526266389,2228526794384,-102818024796,-5436266655045,-1082395098524,-395888726452,0,-64546740662,-2513762675346,-7977289544722,167675101497,-478055405946,423080981133,0,0,542282722656,1377097838577,0,168475815917,0,-5776732490888,5267466985968,0,31776688226839,-24965651919300,-91113842615,0,0,-347301005340,0,0,11640088445552,3349593279318,1559239675695,-2725139138,4906107815875
2022,2080552711930,4731816137867,3600955252937,74558772471,0,0,47739615976,0,-535610990405,0,0,1425673486888,118500000000,6812368849797,739309513271,2384506873097,-4825441626706,15120254522,4882227482723,-1428470217292,-533665492897,0,-128705720420,7917249916095,-4086540586052,66538784269,-1302067910911,1273462556747,0,0,-150008800000,519913600000,0,546074061742,0,-3132628294205,208123667750,0,19654154630061,-24982296796715,-12814738339,0,0,-1399961673050,0,0,-6532794910293,-1748173288403,4906107815875,-1683907765,3156250619707
2023,1396982986903,5601390847681,4197167296600,94892068564,0,0,41528866247,0,-248940099958,0,0,1416742716228,100000000000,6998373834584,416416731797,693524872315,-616438930492,70444513213,-1213866741585,-1391343385717,-440286606193,0,-90946507757,4425877780165,-5327020224793,5270062035,-1242794706697,327416030137,0,0,-1275678483887,0,0,588927732439,0,-6923879590766,309005000000,0,22283873942171,-19090281982512,-59842945814,0,0,-792745967837,0,0,2650008046008,152006235407,3156250619707,4404990545,3312661845659
