,1. Tổng doanh thu hoạt động kinh doanh,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần (1)-(2),4. Giá vốn hàng bán,5. Lợi nhuận gộp (3)-(4),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính,-Trong đó: Chi phí lãi vay,8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác (12)-(13),15. Tổng lợi nhuận kế toán trước thuế (11)+(14),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Chi phí thuế TNDN (16)+(17),19. Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),20. Lợi nhuận sau thuế của cổ đông không kiểm soát,21. Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20)
2011,5773340687402,16961248786,5756379438616,4816840776861,939538661755,87495780157,144091479741,114749604960,64826064046,206440454392,256304571626,485024000199,8450729161,3732179497,4718549664,489742549863,113243311546,-6838641759,106404669787,383337880076,100764215305,282573664771
2012,6171078838782,7558735304,6163520103478,5203204136197,960315967281,161798804926,123614547838,75840734519,41092243154,158563409509,288242725432,592786332582,6032223295,1717733969,4314489326,597100821908,110770065475,4111171346,114881236821,482219585087,98710028274,383509556813
2013,7397259851934,9176667179,7388083184755,6328873326859,1059209857896,52925442017,105276658262,92961435440,66971461804,253093440008,294157757185,526578906262,14182134109,5555037796,8627096313,535206002575,122340415219,1255682877,123596098096,411609904479,102056549097,309553355382
2014,9317276336021,582253464449,8735022871572,7480197065732,1254825805840,62602582164,63051135790,66136795496,44203620719,349596040220,344502283936,604482548777,13964037229,45217324768,-31253287539,573229261238,125951156146,-947112464,125004043682,448225217556,129793140697,318432076859
2015,8630723684053,248016241157,8382707442896,7276539684313,1106167758583,130147064204,130345487560,54828381840,5198438999,201090967584,338748091893,571328714749,6462728666,3388813123,3073915543,574402630292,118297862487,108281913,118406144400,455996485892,134886510329,321109975563
2016,7409353474617,112240139749,7297113334868,6328866193807,968247141061,247494914074,75035117287,0,-18053965426,148661288583,253579232454,720412451385,8239472445,29009873831,-20770401386,699642049999,119789766028,357066668,120146832696,579495217303,117760568615,461734648688
2017,12094756795679,110615725882,11984141069797,9997817551567,1986323518230,847451817078,435264930396,367135076972,21762126462,261312019780,540790663717,1618169847877,48225613845,8151407203,40074206642,1658244054519,346887119179,-3229922543,343657196636,1314586857883,528416370628,786170487255
2018,13828715331881,129585819594,13699129512287,11483443422289,2215686089998,756601575240,542466344992,447395281623,51627035708,347473303870,643744982432,1490230069652,56557890328,13714653333,42843236995,1533073306647,260360179854,-10770230430,249589949424,1283483357223,341041003682,942442353541
2019,15440420151460,125434232938,15314985918522,12576002760296,2738983158226,340995992447,838373107258,634359800542,144859903247,485794579998,735308673393,1165362693271,21537107316,84435927150,-62898819834,1102463873437,267688696428,-17691493734,249997202694,852466670743,217784539635,634682131108
2020,18086263045058,137550122622,17948712922436,15321523056447,2627189865989,697421975278,1119920502681,766000118220,39286013627,470412298616,640854628605,1132710424992,75510099329,11025161423,64484937906,1197195362898,209712288123,7831713320,217544001443,979651361455,177946352017,801705009438
2021,28762798502282,184399867833,28578398634449,24205377339050,4373021295399,1167963586009,1574559377524,1125042134182,229588314575,887044001805,1289304525228,2019665291426,93347906989,56020381979,37327525010,2056992816436,390834119468,-200605096,390633514372,1666359302064,627658139674,1038701162390
2022,32262726561846,173974039862,32088752521984,25630732313414,6458020208570,731205570695,2266078299811,1363217088136,36049597677,1289959042165,1668152641326,2001085393640,135937769623,56470451333,79467318290,2080552711930,540489377473,8306533359,548795910832,1531756801098,1162840478484,368916322614
2023,30296407854092,298572005135,29997835848957,24489090822910,5508745026047,449714920814,1888935606662,1378991490271,60800608825,1140667296329,1574517688723,1415139963972,84101655339,102258632408,-18156977069,1396982986903,616994350665,-83895610154,533098740511,863884246392,533526951639,330357294753
