,A. Tài sản lưu động và đầu tư ngắn hạn,I. Tiền và các khoản tương đương tiền,II. Các khoản đầu tư tài chính ngắn hạn,III. Các khoản phải thu ngắn hạn,IV. Tổng hàng tồn kho,V. Tài sản ngắn hạn khác,B. Tài sản cố định và đầu tư dài hạn,I. Các khoản phải thu dài hạn,II. Tài sản cố định,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,V. Các khoản đầu tư tài chính dài hạn,VI. Tổng tài sản dài hạn khác,VII. Lợi thế thương mại,TỔNG CỘNG TÀI SẢN,A. Nợ phải trả,I. Nợ ngắn hạn,II. Nợ dài hạn,B. Nguồn vốn chủ sở hữu,I. Vốn chủ sở hữu,II. Nguồn kinh phí và quỹ khác,TỔNG CỘNG NGUỒN VỐN
2014,17205097901932,6832590357344,2706935228968,3079275953396,3801893173167,784403189057,46264344779899,101608226436,12925553006993,710312419564,28378008219883,3352976792965,721607305713,74278808345,63469442681831,21219611571620,10294270934714,10925340636906,42249831110211,42064100747941,185730362270,63469442681831
2015,14703811575089,5504159028735,2487259839805,2936211548094,2933191313774,842989844681,51963842522114,1281077951528,13486687145087,820229058283,32437673441033,2833945997679,1040424903014,63804025490,66667654097203,23370511768799,10054945288674,13315566480125,43297142328404,43130146435651,166995892753,66667654097203
2016,14945189982745,6034334324181,2699251366218,2895968747840,2601398531331,714237013175,54857372355722,1014494841084,16660472890822,1000020903845,31387428101080,3561013555347,1182013387809,51928675735,69802562338467,24600282615917,10156711280571,14443571335346,45202279722550,45044167053504,158112669046,69802562338467
2017,17191117760724,5161444619167,4399088869044,3295173203359,3541939317234,793471751920,57291591169698,1449183556848,21156751284091,1087172798105,28640101217813,3353788341410,1604593971431,0,74482708930422,26448441447355,10474301799936,15974139647419,48034267483067,47889679230385,144588252682,74482708930422
2018,18414073592145,5159740351097,5474765970508,3525375686972,3285410644413,968780939155,58894129219785,880799036237,25425316503112,1183252881783,25383533997360,3610365847616,2379305918314,31555035363,77308202811930,27739899717501,10046581236842,17693318480659,49568303094429,49509444284029,58858810400,77308202811930
2019,21069822994274,7114787951797,6559664408592,2899977060662,3506815604076,988577969147,57447216945365,741051795456,27698715825244,1345307408338,21744568006262,3430613964596,2471470715838,15489229631,78517039939639,27920490129299,9728620026216,18191870103083,50596549810340,50525206121127,71343689213,78517039939639
2020,22166796521089,5528283614830,10764750681992,2949233801252,2079297700052,845230722963,58111382571363,736244027770,30562373856095,1476180958452,18001721557036,3163027862580,4166242446148,5591863282,80278179092452,28847527041151,11015038357982,17832488683169,51430652051301,51388662947626,41989103675,80278179092452
2021,22769352069241,5303619340768,10279304670167,2849079360558,3470646319623,866702378125,56244845666143,687629938300,32558961754737,1477791601086,14729359134988,2760226679370,4029194261520,1682296142,79014197735384,27074158287185,10866850865303,16207307421882,51940039448199,51849201168066,90838280133,79014197735384
2022,23395887056867,4370292544522,11211639477968,2731930551368,4115559185816,966465297193,54981042905335,674381270108,33943662353232,1418651006137,12094646601152,2823208037195,3989579347892,36914289619,78376929962202,24910884584621,10368070917440,14542813667181,53466045377581,53391768872430,74276505151,78376929962202
2023,23842248926140,5564089010514,11355359823009,2546020285787,3360240302718,1016539504112,54219844693958,657484252712,34438241979610,1344022245376,10774411544433,2956531742936,3858518300652,190634628239,78062093620098,23084890704040,9652535590089,13432355113951,54977202916058,54936297729629,40905186429,78062093620098
