,1. Tổng doanh thu hoạt động kinh doanh,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần (1)-(2),4. Giá vốn hàng bán,5. Lợi nhuận gộp (3)-(4),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính,-Trong đó: Chi phí lãi vay,8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác (12)-(13),15. Tổng lợi nhuận kế toán trước thuế (11)+(14),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Chi phí thuế TNDN (16)+(17),19. Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),20. Lợi nhuận sau thuế của cổ đông không kiểm soát,21. Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20)
2013,21463286759717,61062035855,21402224723862,16011826322992,5390398400870,893315492454,564801603113,371751169973,145649285542,397907019618,1327404239973,4139250316162,1379942665823,531277510955,848665154868,4987915471030,1150626641811,46900273259,1197526915070,3790388555960,522170175283,3268218380677
2014,17266690120703,49019632719,17217670487984,14031767019317,3185903468667,730587762536,707289736947,428696192014,345285009520,399024809430,1344275102792,1811186591554,1990278032263,813911199465,1176366832798,2987553424352,675049233881,15095287101,690144520982,2297408903370,211591682251,2085817221119
2015,15083611266815,14511759219,15069099507596,11948646678425,3120452829171,580241438424,1150125417170,348304757259,434650282839,324837109405,1245598960869,1414783062990,1244387305496,88762466744,1155624838752,2570407901742,538749300742,15388619101,554137919843,2016269981899,303863644961,1712406336938
2016,15576068392081,31122123770,15544946268311,12172741077945,3372205190366,538914072693,519558830595,465340643592,378385493501,335683096759,1215470251391,2218792577815,1165094287643,113120819421,1051973468222,3270766046037,460649768624,13512905213,474162673837,2796603372200,307940471021,2488662901179
2017,20059645304952,11903136575,20047742168377,14801328668523,5246413499854,571194206640,706355684903,579720150221,312704907558,418234091349,1525696348414,3480026489386,1458283648870,230771493621,1227512155249,4707538644635,759314163335,12417156908,771731320243,3935807324392,458031651233,3477775673159
2018,14090385311860,8875779861,14081509531999,10828996334725,3252513197274,475561548432,507157535829,380378828037,233590938169,326404985273,1452189474415,1675913688358,1716347772328,139150871880,1577196900448,3253110588806,748458586298,-40275330608,708183255690,2544927333116,578101514266,1966825818850
2019,19824571120198,20576479295,19803994640903,15181007915080,4622986725823,731503482589,791941121240,661091404583,413725488527,428985755430,1629362325645,2917926494624,1923461761424,186076522849,1737385238575,4655311733199,857705225613,-35751304570,821953921043,3833357812156,583178153685,3250179658471
2020,21140408643143,24094292327,21116314350816,16517119117612,4599195233204,2968395937100,867058667345,726129832902,319423213015,442912025818,1774060277264,4802983412892,1469460910652,361269541616,1108191369036,5911174781928,1097558697209,-262737526531,834821170678,5076353611250,1305623721619,3770729889631
2021,26226269744269,36676743121,26189593001148,18614304897718,7575288103430,830813573113,719154123110,607999588765,285453277353,507093532539,1681979286962,5783328011285,1044967454846,615526247241,429441207605,6212769218890,992548229630,-119825569822,872722659808,5340046559082,1181850295571,4158196263511
2022,25483889270011,57945657941,25425943612070,19083830556212,6342113055858,885462783210,696015303251,490848598668,203589622831,591230197005,1762820187016,4381099774627,1793484267865,472964711548,1320519556317,5701619330944,921231942328,27128098390,948360040718,4753259290226,914438217919,3838821072307
2023,22167764814943,29361662457,22138403152486,17175504672774,4962898479712,1114792596285,618011845618,77578421406,-208249655606,591451294471,1864450111955,2795528168347,1654215097847,335851426630,1318363671217,4113891839564,688075163368,52955013507,741030176875,3372861662689,749686472396,2623175190293
