,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,- Khấu hao TSCĐ,- Các khoản dự phòng,- Lợi nhuận thuần từ đầu tư vào công ty liên kết,- Xóa sổ tài sản cố định (thuần),- Lãi lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,- Lãi lỗ từ thanh lý TSCĐ,- Lãi lỗ từ hoạt động đầu tư,- Lãi tiền gửi,- Thu nhập lãi,- Chi phí lãi vay,- Các khoản chi trực tiếp từ lợi nhuận,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,- Tăng giảm các khoản phải thu,- Tăng giảm hàng tồn kho,- Tăng giảm các khoản phải trả (Không kể lãi vay phải trả thuế thu nhập doanh nghiệp phải nộp),- Tăng giảm chi phí trả trước,- Tăng giảm tài sản ngắn hạn khác,- Tiền lãi vay phải trả,- Thuế thu nhập doanh nghiệp đã nộp,- Tiền thu khác từ hoạt động kinh doanh,- Tiền chi khác từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Tiền chi để mua sắm xây dựng TSCĐ và các tài sản dài hạn khác,2. Tiền thu từ thanh lý nhượng bán TSCĐ và các tài sản dài hạn khác,3. Tiền chi cho vay mua các công cụ nợ của đơn vị khác,4. Tiền thu hồi cho vay bán lại các công cụ nợ của các đơn vị khác,5. Đầu tư góp vốn vào công ty liên doanh liên kết,6. Chi đầu tư ngắn hạn,7. Tiền chi đầu tư góp vốn vào đơn vị khác,8. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,9. Lãi tiền gửi đã thu,10. Tiền thu lãi cho vay cổ tức và lợi nhuận được chia,11. Tiền chi mua lại phần vốn góp của các cổ đông thiểu số,Lưu chuyển tiền thuần từ hoạt động đầu tư,1. Tiền thu từ phát hành cổ phiếu nhận vốn góp của chủ sở hữu,2. Tiền chi trả vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,3. Tiền vay ngắn hạn dài hạn nhận được,4. Tiền chi trả nợ gốc vay,5. Tiền chi trả nợ thuê tài chính,6. Tiền chi khác từ hoạt động tài chính,7. Tiền chi trả từ cổ phần hóa,8. Cổ tức lợi nhuận đã trả cho chủ sở hữu,9. Vốn góp của các cổ đông thiểu số vào các công ty con,10. Chi tiêu quỹ phúc lợi xã hội,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
2006,114406542000,26144631000,10359729000,246897000,0,0,859019000,0,-84286000,0,0,14763272000,0,140551173000,-161987386000,-151747675000,76156736000,-112232000,0,-16699441000,-7274087000,0,-1146199000,-122259111000,-73556205000,1123810000,0,0,0,0,-7220000000,0,0,0,0,-79652395000,191615881000,0,235245916000,-106368369000,0,0,0,0,0,0,320493428000,118581922000,14115450000,99846000,132797218000
2007,869714218000,-333772960000,24067305000,246996000,0,0,-142792000,0,-407745427000,0,0,49800958000,0,535941258000,-857271213000,-1538647042000,714704785000,-281086632000,0,-41362653000,-49793125000,0,-8902502000,-1526417124000,-146782646000,0,0,0,0,0,-397475300000,0,0,144852812000,0,-399405134000,2594120729000,-221650000000,1411390219000,-663124559000,0,0,0,-36231774000,0,0,3084504615000,1158110357000,132797218000,0,1290907575000
2008,1006158258000,-222196247000,108998192000,600000000,0,0,2082336000,0,-422377729000,0,0,88500954000,0,783962011000,-520253236000,-482062946000,150486873000,-96993404000,0,-195474116000,-149057733000,0,-29882347000,-539274898000,-1056650067000,127905319000,0,0,0,0,-778089748000,0,0,23363313000,0,-1683471183000,0,-327979971000,2695583825000,-1061691238000,0,0,0,-1122000,154357651000,0,1460269145000,-762476936000,1290907575000,2654755000,531085394000
2009,1743504324000,171076693000,159105686000,963447000,0,0,0,0,-196435954000,0,0,207443514000,0,1914581017000,-339054195000,-168204732000,37845131000,66934106000,0,-189041621000,-212869539000,0,-26879395000,1083310772000,-1357528506000,32965491000,-568353883000,134000000000,0,0,0,0,0,85997296000,0,-1672919602000,248393276000,-30091699000,4720800925000,-2577048046000,0,0,0,-359302070000,0,0,2002752386000,1413143556000,531085394000,0,1944228950000
2010,3017409637000,-983353418000,77419079000,-864597000,0,0,-19594467000,0,-1245284124000,0,0,204970691000,0,2034056219000,-1372344876000,23112270000,211651105000,-41440335000,0,-192430264000,-286345194000,0,-81818284000,294440641000,-2302664594000,10163800000,0,0,0,0,-1350429358000,1691966557000,0,165232578000,0,-1785731017000,757185312000,0,5142574833000,-3054595653000,0,0,0,-292008407000,0,0,2553156085000,1061865709000,1944228950000,0,3006094659000
2011,1701895110000,-547745218000,135518570000,1789250000,0,0,-16492549000,0,-1133409080000,0,0,464848591000,0,1154149892000,-457785761000,-466656754000,-776332932000,123546643000,0,-312687688000,-186868807000,0,-71132387000,-993767794000,-4812909891000,31246169000,-324500000000,0,0,0,-1297079925000,763005652000,0,340752148000,0,-5299485847000,9194738000,582568781000,10269426024000,-4674380580000,0,0,0,0,-3193250000,0,6183615713000,-109637928000,3006094659000,0,2896456731000
2012,524888766000,410874431000,224663248000,-199638000,0,0,-210263000,0,-308336257000,0,0,494957341000,0,935763197000,-448947168000,1157824831000,499799741000,-198883059000,0,-335461063000,-623468952000,0,-46183043000,940444484000,-5897608163000,27992372000,0,0,0,0,-608540291000,435070000000,0,209888825000,0,-5833197257000,0,0,10461022378000,-5968183382000,0,0,0,-1807500000,23683717000,0,4514715213000,-378037560000,2896456731000,0,2518419171000
2013,998503641000,-37556638000,326449089000,-2484479000,0,0,-2321608000,0,-951063355000,0,0,591863715000,0,960947003000,-216028438000,-816730490000,-835358508000,-109973491000,0,-738861795000,-286002969000,0,-17779656000,-2059788344000,-4743278710000,18769294000,-635277950000,84480000000,0,0,-2245973876000,4142429061000,0,163664903000,0,-3215187278000,1230799770000,0,11359721915000,-7019971447000,0,0,0,-365737765000,0,0,5204812473000,-70163149000,2518419171000,0,2448256022000
2014,1773234478000,-653176743000,334181075000,4983141000,0,0,-11047343000,0,-1546509831000,0,0,565216215000,0,1120057735000,-1528393473000,-229052284000,848233213000,-36486525000,0,-545854900000,-89958416000,0,-11975587000,-473430237000,-4447438540000,319789280000,-3610212923000,1679373093000,0,0,-474444498000,264517855000,0,460400684000,0,-5808015049000,1100000000000,0,10846172358000,-7130396235000,0,0,0,-4173042000,0,0,4811603081000,-1469842205000,2448256022000,0,978413817000
2015,806212213000,717366720000,372592068000,9745286000,0,0,-115305562000,0,-628376312000,0,0,1078711240000,0,1523578933000,1169669226000,-1916001996000,1699906910000,121084629000,0,-932571773000,-109599492000,0,-26760841000,1529305596000,-7946189324000,791534557000,-6581690554000,4476003816000,0,0,-2350933815000,866639814000,0,411747874000,0,-10332887632000,159000000000,-2200000000,15978713459000,-7342378545000,0,0,0,0,0,0,8793134914000,-10447122000,978413817000,0,967966695000
