,1. Tổng doanh thu hoạt động kinh doanh,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần (1)-(2),4. Giá vốn hàng bán,5. Lợi nhuận gộp (3)-(4),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính,-Trong đó: Chi phí lãi vay,8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác (12)-(13),15. Tổng lợi nhuận kế toán trước thuế (11)+(14),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Chi phí thuế TNDN (16)+(17),19. Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),20. Lợi nhuận sau thuế của cổ đông không kiểm soát,21. Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20)
2006,517945728000,806720000,517139008000,361674253000,155464755000,1688795000,16018288000,14763272000,0,9883446000,14779528000,116472288000,1370910000,3436656000,-2065746000,114406542000,21691580000,10854873000,32546453000,81860089000,0,81860089000
2007,1589430005000,1398947000,1588031058000,991085747000,596945311000,409345618000,52557974000,49800958000,0,39150114000,50017835000,864565006000,29462915000,24313703000,5149212000,869714218000,165592015000,81778330000,247370345000,622343873000,22559772000,599784101000
2008,1885145765000,4401358000,1880744407000,990631593000,890112814000,438618705000,95797943000,88500954000,0,75252461000,125208964000,1032472151000,12717959000,39031852000,-26313893000,1006158258000,153680790000,87134691000,240815481000,765342777000,65037809000,700304968000
2009,4370251754000,4943033000,4365308721000,2358546997000,2006761724000,199381768000,213430505000,207443514000,0,108523436000,162416224000,1721773327000,48461912000,26730915000,21730997000,1743504324000,137652012000,318953626000,456605638000,1286898686000,98045423000,1188853263000
2010,4526468760000,1591144000,4524877616000,2232774917000,2292102699000,1262054448000,216598866000,204970691000,2537719000,133031950000,190206122000,3016857928000,21835172000,21283463000,551709000,3017409637000,519431204000,275901587000,795332791000,2222076846000,128497729000,2093579117000
2011,3152105785000,1853970000,3150251815000,1726299628000,1423952187000,1226990002000,537002813000,464848591000,0,163985523000,230515584000,1719438269000,44233778000,61776937000,-17543159000,1701895110000,542132693000,-165555355000,376577338000,1325317772000,157333971000,1167983801000
2012,4399516897000,5039250000,4394477647000,3193911944000,1200565703000,502050048000,677235144000,494957341000,994870000,166818625000,244769554000,614787298000,62765153000,152663685000,-89898532000,524888766000,439426901000,-279776210000,159650691000,365238075000,15273829000,349964246000
2013,2772946668000,1727337000,2771219331000,1575093397000,1196125934000,1003102689000,754104635000,591863715000,0,125639028000,274660179000,1044824781000,79286971000,125608111000,-46321140000,998503641000,64323694000,-37681706000,26641988000,971861653000,125789457000,846072196000
2014,3055570143000,1239187000,3054330956000,1827338066000,1226992890000,1477819111000,633831539000,565216215000,0,82212779000,239958115000,1748809568000,329842986000,305418076000,24424910000,1773234478000,67475212000,149742906000,217218118000,1556016360000,81759915000,1474256445000
2015,6252482061000,35528000,6252446533000,4398020571000,1854425962000,1053656518000,1203667607000,1078711240000,-1898163000,111239060000,350371742000,1240905908000,180631718000,615325413000,-434693695000,806212213000,153548976000,50302292000,203851268000,602360945000,100017738000,502343207000
2016,6441028981000,1249713000,6439779268000,5430638742000,1009140526000,947916097000,1674519826000,1579381993000,11710281000,169154415000,501564190000,-376471527000,176199117000,1206015281000,-1029816164000,-1406287691000,10311463000,86187524000,96498987000,-1502786678000,-366136192000,-1136650486000
2017,4841225074000,0,4841225074000,3109682997000,1731542077000,1665916448000,1697932438000,1585315746000,-18433513000,143923122000,707548329000,829621123000,267202683000,666678513000,-399475830000,430145293000,24802221000,33735757000,58537978000,371607315000,302019303000,69588012000
2018,5388200400000,0,5388200400000,3013495226000,2374705174000,1404799179000,1721684164000,1532928450000,64840488000,192446215000,989336089000,940878373000,21546363000,914727898000,-893181535000,47696838000,2998375000,38454058000,41452433000,6244405000,-111262364000,117506769000
2019,2091833174000,16389150000,2075444024000,1847659651000,227784373000,2137143442000,1963934151000,1263369664000,12562347000,308856859000,672601510000,-567902358000,42577126000,1380140330000,-1337563204000,-1905465562000,2253490000,-98914750000,-96661260000,-1808804302000,-2025322017000,216517715000
2020,3189964886000,13318930000,3176645956000,2970915613000,205730343000,1287363665000,1318161483000,1253570666000,8767467000,354584206000,1851240106000,-2022124320000,98148465000,427484407000,-329335942000,-2351460262000,3440989000,28438599000,31879588000,-2383339850000,-1127678506000,-1255661344000
2021,2187415636000,89997270000,2097418366000,1590448139000,506970227000,735078612000,1090293038000,971878185000,-5819760000,129287166000,-174279229000,190928104000,79670972000,401205709000,-321534737000,-130606633000,885768000,-259098512000,-258212744000,127606111000,-75424050000,203030161000
2022,5197982826000,87200939000,5110781887000,3937380869000,1173401018000,486143713000,1649147246000,793176972000,0,251938809000,-1349894514000,1108353190000,35975907000,116111269000,-80135362000,1028217828000,3649540000,-100106552000,-96457012000,1124674840000,-4070556000,1128745396000
2023,6492569736000,50172537000,6442397199000,5148941719000,1293455480000,602752483000,-215432853000,-270599417000,-11069302000,255058076000,155100623000,1690412815000,281127775000,178663887000,102463888000,1792876703000,30945417000,-19754499000,11190918000,1781685785000,117714832000,1663970953000
