,A. Tài sản lưu động và đầu tư ngắn hạn,I. Tiền và các khoản tương đương tiền,II. Các khoản đầu tư tài chính ngắn hạn,III. Các khoản phải thu ngắn hạn,IV. Tổng hàng tồn kho,V. Tài sản ngắn hạn khác,B. Tài sản cố định và đầu tư dài hạn,I. Các khoản phải thu dài hạn,II. Tài sản cố định,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,V. Các khoản đầu tư tài chính dài hạn,VI. Tổng tài sản dài hạn khác,VII. Lợi thế thương mại,TỔNG CỘNG TÀI SẢN,A. Nợ phải trả,I. Nợ ngắn hạn,II. Nợ dài hạn,B. Nguồn vốn chủ sở hữu,I. Vốn chủ sở hữu,II. Nguồn kinh phí và quỹ khác,TỔNG CỘNG NGUỒN VỐN
2006,3510558236,205942987,0,1825863361,718680835,760071053,36636750805,0,36619359455,0,0,0,17391350,0,40147309041,13512105850,13512105850,0,26635203191,26635203191,0,40147309041
2007,34114554667,586133003,0,459421664,0,33069000000,0,0,0,0,0,0,0,0,34114554667,1715969944,1715969944,0,32398584723,32398584723,0,34114554667
2008,1215821000000,97479000000,308900000000,593536000000,183397000000,32509000000,359572000000,0,259873000000,0,55000000,71918000000,22963000000,4763000000,1575393000000,701208000000,665462000000,35746000000,874185000000,874185000000,0,1575393000000
2009,2441831000000,1123616000000,776000000000,282936000000,199466000000,59813000000,4575263000000,0,552444000000,0,52916000000,3919827000000,45908000000,4168000000,7017094000000,1946377000000,1209759000000,736618000000,5070717000000,5070717000000,0,7017094000000
2010,4626838000000,3394575000000,490000000000,314209000000,290200000000,137854000000,16502700000000,0,645479000000,0,7616520000000,8099909000000,137220000000,3572000000,21129538000000,8981050000000,3224917000000,5756133000000,12148488000000,12148488000000,0,21129538000000
2011,12541434000000,9573593000000,1222500000000,903317000000,612845000000,229179000000,21031185000000,0,1862438000000,0,9425067000000,9321085000000,145490000000,277105000000,33572619000000,12017587000000,3625783000000,8391804000000,21555032000000,21555032000000,0,33572619000000
2012,9221223000000,5718717000000,1840500000000,942881000000,563855000000,155270000000,29478033000000,23158000000,2410827000000,0,15317924000000,11313619000000,163873000000,248632000000,38699256000000,18994871000000,4748364000000,14246507000000,19704385000000,19704385000000,0,38699256000000
2013,11198630000000,5698563000000,3287000000000,975138000000,1070334000000,167595000000,35303511000000,450183000000,3078428000000,0,20042933000000,10761467000000,533381000000,437119000000,46502141000000,23240644000000,9783892000000,13456752000000,23261497000000,23261497000000,0,46502141000000
2014,16428327000000,5166415000000,4042212000000,5176907000000,1604854000000,437939000000,36536773000000,1387798000000,20253476000000,0,3811051000000,8745176000000,1546918000000,792354000000,52965100000000,31039961000000,11796756000000,19243205000000,21925139000000,21925139000000,0,52965100000000
2015,16709473000000,8324476000000,293990000000,3126527000000,4417969000000,546511000000,55140227000000,10432139000000,26998134000000,0,5480035000000,9144883000000,2256359000000,828677000000,71849700000000,44740654000000,15005196000000,29735458000000,27109046000000,27109046000000,0,71849700000000
2016,22876206000000,13148938000000,1771012000000,2277055000000,5389531000000,289670000000,50162832000000,1817067000000,29821492000000,0,2356227000000,12240702000000,3182841000000,744503000000,73039038000000,52726413000000,17898443000000,34827970000000,20312625000000,20312625000000,0,73039038000000
2017,15144937000000,7417111000000,640069000000,2247100000000,4333097000000,507560000000,48383585000000,1453961000000,29829534000000,0,1838001000000,11338355000000,3291713000000,632021000000,63528522000000,43303327000000,15532987000000,27770340000000,20225195000000,20225195000000,0,63528522000000
2018,12499618000000,4585889000000,375848000000,2412555000000,4333191000000,792135000000,52078995000000,1377124000000,29203764000000,0,2171342000000,15347915000000,3459311000000,519539000000,64578613000000,30498935000000,15795515000000,14703420000000,34079678000000,34079678000000,0,64578613000000
2019,24261892000000,6800528000000,784454000000,5417776000000,9621821000000,1637313000000,73035359000000,1599646000000,40791699000000,0,3278972000000,17505857000000,5873757000000,3985428000000,97297251000000,45408844000000,30492191000000,14916653000000,51888407000000,51888407000000,0,97297251000000
2020,29760685000000,7721442000000,447250000000,7051442000000,12497917000000,2042634000000,85975877000000,1592008000000,49582187000000,14518000000,2274759000000,20353099000000,8327806000000,3831500000000,115736562000000,90706283000000,38874663000000,51831620000000,25030279000000,25030279000000,0,115736562000000
2021,43630176000000,22304822000000,332753000000,6634409000000,12813391000000,1544801000000,82463295000000,1878478000000,42653939000000,810057000000,2021827000000,24538803000000,7203372000000,3356819000000,126093471000000,83756819000000,34547836000000,49208983000000,42336652000000,42336652000000,0,126093471000000
2022,47674624000000,13853100000000,3659175000000,13929560000000,14445345000000,1787444000000,93668191000000,2113762000000,43535355000000,729763000000,3324848000000,31333885000000,7562101000000,5068477000000,141342815000000,104706076000000,65320877000000,39385199000000,36636739000000,36636739000000,0,141342815000000
2023,43763477000000,10124515000000,6794791000000,11985015000000,13174868000000,1684288000000,103619995000000,11210955000000,42885823000000,708670000000,3127230000000,33219467000000,8094711000000,4373139000000,147383472000000,109146231000000,50422500000000,58723731000000,38237241000000,38237241000000,0,147383472000000
