,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,- Khấu hao TSCĐ,- Các khoản dự phòng,- Lợi nhuận thuần từ đầu tư vào công ty liên kết,- Xóa sổ tài sản cố định (thuần),- Lãi lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,- Lãi lỗ từ thanh lý TSCĐ,- Lãi lỗ từ hoạt động đầu tư,- Lãi tiền gửi,- Thu nhập lãi,- Chi phí lãi vay,- Các khoản chi trực tiếp từ lợi nhuận,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,- Tăng giảm các khoản phải thu,- Tăng giảm hàng tồn kho,- Tăng giảm các khoản phải trả (Không kể lãi vay phải trả thuế thu nhập doanh nghiệp phải nộp),- Tăng giảm chi phí trả trước,- Tăng giảm tài sản ngắn hạn khác,- Tiền lãi vay phải trả,- Thuế thu nhập doanh nghiệp đã nộp,- Tiền thu khác từ hoạt động kinh doanh,- Tiền chi khác từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Tiền chi để mua sắm xây dựng TSCĐ và các tài sản dài hạn khác,2. Tiền thu từ thanh lý nhượng bán TSCĐ và các tài sản dài hạn khác,3. Tiền chi cho vay mua các công cụ nợ của đơn vị khác,4. Tiền thu hồi cho vay bán lại các công cụ nợ của các đơn vị khác,5. Đầu tư góp vốn vào công ty liên doanh liên kết,6. Chi đầu tư ngắn hạn,7. Tiền chi đầu tư góp vốn vào đơn vị khác,8. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,9. Lãi tiền gửi đã thu,10. Tiền thu lãi cho vay cổ tức và lợi nhuận được chia,11. Tiền chi mua lại phần vốn góp của các cổ đông thiểu số,Lưu chuyển tiền thuần từ hoạt động đầu tư,1. Tiền thu từ phát hành cổ phiếu nhận vốn góp của chủ sở hữu,2. Tiền chi trả vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,3. Tiền vay ngắn hạn dài hạn nhận được,4. Tiền chi trả nợ gốc vay,5. Tiền chi trả nợ thuê tài chính,6. Tiền chi khác từ hoạt động tài chính,7. Tiền chi trả từ cổ phần hóa,8. Cổ tức lợi nhuận đã trả cho chủ sở hữu,9. Vốn góp của các cổ đông thiểu số vào các công ty con,10. Chi tiêu quỹ phúc lợi xã hội,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
2006,-243427995,14071301692,11876549012,0,0,0,0,0,0,-51020728,0,2245773408,0,13827873697,11713667565,111154087,-3043508267,0,0,-2245773408,-511512459,0,0,19851901215,0,0,0,0,0,0,0,0,0,51020728,0,51020728,0,0,35411595245,-58171691247,0,0,0,0,0,0,-22760096002,-2857174059,3063117046,0,205942987
2007,10419725758,-4710041415,9897124177,0,0,0,0,-15472014722,0,-55110570,0,919959700,0,5709684343,1563391641,718680835,-843426053,0,0,-919959700,-42000000,0,0,6186371066,0,42194250000,-33000000000,0,0,0,0,0,0,55110570,0,9249360570,0,0,0,-12175541620,0,0,0,-2880000000,0,0,-15055541620,380190016,205942987,0,586133003
2008,454913000000,-30279000000,34114000000,4499000000,0,0,0,2083000000,0,0,-121943000000,50968000000,0,424634000000,-7734000000,-61339000000,83112000000,0,0,-50968000000,-35722000000,0,-2945000000,349038000000,-141627000000,4457000000,-623169000000,302283000000,0,0,-62920000000,110000000,0,117394000000,0,-403472000000,15000000000,-1814000000,1342802000000,-1223538000000,0,0,0,0,1100000000,0,133550000000,79116000000,18363000000,0,97479000000
2009,732926000000,5339000000,71346000000,39529000000,-48010000000,0,0,523000000,-53454000000,0,-93571000000,88976000000,0,738265000000,32870000000,-54221000000,237547000000,0,0,-74777000000,-70260000000,0,-5452000000,803972000000,-411673000000,229000000,-164458000000,417629000000,0,-726000000000,-331000000000,14282000000,0,68403000000,0,-1132588000000,1164425000000,0,2493524000000,-2303186000000,0,0,0,-10000000,0,0,1354753000000,1026137000000,97479000000,0,1123616000000
2010,2746121000000,-1409113000000,104599000000,11032000000,0,0,-1203000000,547000000,-160598000000,-357405000000,0,233629000000,-1239714000000,1337008000000,-44579000000,-98509000000,343745000000,0,0,-105384000000,-92865000000,0,-2414000000,1337002000000,-851009000000,131933000000,-7148308000000,7434308000000,-596449000000,0,-1000000000000,4515000000,0,251981000000,0,-1773029000000,1057621000000,0,3322805000000,-1688018000000,0,-9735000000,0,0,40000000000,0,2722673000000,2286646000000,1123616000000,-15687000000,3394575000000
2011,2868572000000,-983929000000,142120000000,86870000000,-392733000000,0,-16689000000,5210000000,0,0,-1124958000000,316251000000,0,1884643000000,-35172000000,-173878000000,74423000000,0,0,-149650000000,-148616000000,0,-11304000000,1440446000000,-2208260000000,2406000000,-715000000000,715000000000,-1000000000000,-47313380000000,-800000000000,46572052000000,994340000000,0,0,-3752842000000,5329180000000,0,5215862000000,-2092857000000,0,0,0,0,0,0,8452185000000,6139789000000,3394575000000,39229000000,9573593000000
2012,2488522000000,216890000000,349906000000,34492000000,337798000000,0,-204000000,4911000000,0,0,-789189000000,279176000000,0,2705412000000,169869000000,8195000000,219840000000,0,0,-745684000000,-317354000000,0,-9245000000,2031033000000,-5785098000000,2023000000,-32720670000000,31785170000000,0,-48000000000,-4070440000000,0,764282000000,0,0,-10072733000000,3118640000000,-4634395000000,8749029000000,-3009517000000,-20625000000,0,0,-25988000000,12500000000,0,4189644000000,-3852056000000,9573593000000,-2820000000,5718717000000
2013,2013444000000,558015000000,488632000000,37958000000,192781000000,0,18906000000,7864000000,0,0,-391541000000,417378000000,-213963000000,2571459000000,-239025000000,-485440000000,47826000000,0,0,-1351905000000,-830677000000,0,-28160000000,-315922000000,-3840386000000,1573000000,-424788000000,0,0,0,-639046000000,1061862000000,-1081000000000,484084000000,0,-4437701000000,3452818000000,-3490092000000,11882530000000,-7011216000000,-74448000000,0,0,-24876000000,0,0,4734716000000,-18907000000,5718717000000,-1247000000,5698563000000
2014,2739731000000,1242120000000,1120817000000,64376000000,53061000000,0,49068000000,6102000000,-1111073000000,0,-404953000000,1464722000000,0,3981851000000,-202202000000,-609978000000,-685798000000,201979000000,0,-1734103000000,-562747000000,0,-55855000000,333147000000,-2708702000000,32300000000,-26000830000000,24685669000000,0,0,-1175771000000,57401000000,0,434094000000,0,-4675839000000,507943000000,0,21843111000000,-16929786000000,-272457000000,0,0,-1336827000000,0,0,3811984000000,-530708000000,5698563000000,-1440000000,5166415000000
2015,3226729000000,2603452000000,1814926000000,144193000000,0,0,17866000000,0,-1798838000000,0,0,2425305000000,0,5830181000000,89060000000,283372000000,1270210000000,-18263000000,0,-2318538000000,-1306820000000,0,-6430000000,3822772000000,-3856825000000,6087000000,-62229339000000,57373597000000,-3708222000000,0,0,3536943000000,0,767707000000,0,-8110052000000,264123000000,0,39553432000000,-31741770000000,0,0,0,0,-640430000000,0,7435355000000,3148075000000,5166415000000,9986000000,8324476000000
