,1. Tổng doanh thu hoạt động kinh doanh,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần (1)-(2),4. Giá vốn hàng bán,5. Lợi nhuận gộp (3)-(4),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính,-Trong đó: Chi phí lãi vay,8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác (12)-(13),15. Tổng lợi nhuận kế toán trước thuế (11)+(14),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Chi phí thuế TNDN (16)+(17),19. Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),20. Lợi nhuận sau thuế của cổ đông không kiểm soát,21. Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20)
2006,28863388372,0,28863388372,26136565161,2726823211,128988525,2712495245,0,0,0,1944096230,-1800779739,1557351744,0,1557351744,-243427995,0,0,0,-243427995,0,-243427995
2007,24290408619,0,24290408619,27035535571,-2745126952,118628872,940090311,919959700,0,0,1485700573,-5052288964,42194250000,26722235278,15472014722,10419725758,1776344226,0,1776344226,8643381532,0,8643381532
2008,2003550000000,81462000000,1922088000000,1324167000000,597921000000,134525000000,58297000000,50968000000,0,150043000000,72951000000,451155000000,9443000000,5685000000,3758000000,454913000000,58985000000,-4177000000,54808000000,400105000000,189770000000,210335000000
2009,4078147000000,120333000000,3957814000000,2583876000000,1373938000000,160292000000,103130000000,88976000000,48010000000,636751000000,105287000000,737072000000,18632000000,22778000000,-4146000000,732926000000,73130000000,-19722000000,53408000000,679518000000,262944000000,416574000000
2010,5689498000000,103211000000,5586287000000,3194617000000,2391670000000,1620919000000,270277000000,233629000000,160598000000,951265000000,213732000000,2737913000000,19370000000,11162000000,8208000000,2746121000000,140638000000,-23734000000,116904000000,2629217000000,346178000000,2283039000000
2011,7239003000000,182154000000,7056849000000,3997834000000,3059015000000,1185206000000,347725000000,347725000000,392733000000,1010149000000,406374000000,2872706000000,22169000000,26303000000,-4134000000,2868572000000,247114000000,125450000000,372564000000,2496008000000,522859000000,1973149000000
2012,10575249000000,185835000000,10389414000000,6178926000000,4210488000000,809824000000,309385000000,279176000000,-337798000000,1325121000000,727529000000,2320479000000,214517000000,46474000000,168043000000,2488522000000,650509000000,-124579000000,525930000000,1962592000000,702074000000,1260518000000
2013,12105989000000,163456000000,11942533000000,6943196000000,4999337000000,664121000000,606785000000,417378000000,-192781000000,1981587000000,889580000000,1992725000000,105808000000,85089000000,20719000000,2013444000000,579811000000,126409000000,706220000000,1307224000000,856024000000,451200000000
2014,16346576000000,257940000000,16088636000000,9489008000000,6599628000000,1570967000000,1710991000000,1464722000000,-53061000000,2864837000000,1048358000000,2493348000000,405287000000,158904000000,246383000000,2739731000000,958677000000,-255988000000,702689000000,2037042000000,956873000000,1080169000000
2015,31324871000000,696461000000,30628410000000,20819786000000,9808624000000,1382303000000,2714701000000,2425305000000,499017000000,4044357000000,1664517000000,3266369000000,34513000000,74153000000,-39640000000,3226729000000,817534000000,-118055000000,699479000000,2527250000000,1048958000000,1478292000000
2016,45100176000000,1803112000000,43297064000000,30366979000000,12930085000000,769194000000,3291226000000,3112480000000,979938000000,4970503000000,1936381000000,4481107000000,14672000000,49376000000,-34704000000,4446403000000,892321000000,-218415000000,673906000000,3772497000000,981053000000,2791444000000
2017,38980236000000,1359590000000,37620646000000,25988836000000,11631810000000,1404660000000,3695584000000,3435322000000,2044230000000,5290872000000,1912357000000,4181887000000,17557000000,60807000000,-43250000000,4138637000000,630961000000,-100014000000,530947000000,3607690000000,505026000000,3102664000000
2018,39378747000000,1191130000000,38187617000000,26306208000000,11881409000000,1901793000000,3090914000000,2667531000000,1914340000000,4314253000000,2015388000000,6276987000000,14708000000,47871000000,-33163000000,6243824000000,726692000000,-104373000000,622319000000,5621505000000,705008000000,4916497000000
2019,38818747000000,1464660000000,37354087000000,26412939000000,10941148000000,1188183000000,2200562000000,1866015000000,2182410000000,3994895000000,2103408000000,6012876000000,1325350000000,233136000000,1092214000000,7105090000000,790583000000,-50108000000,740475000000,6364615000000,807044000000,5557571000000
2020,78868319000000,1650511000000,77217808000000,59329111000000,17888697000000,1430663000000,4556671000000,3770283000000,2640068000000,13166087000000,3040896000000,1195774000000,1613262000000,484197000000,1129065000000,2324839000000,1086193000000,-156367000000,929826000000,1395013000000,161031000000,1233982000000
2021,89791619000000,1162852000000,88628767000000,66493966000000,22134801000000,6799578000000,5706531000000,4669426000000,3896641000000,11786338000000,4064969000000,11273182000000,501150000000,285548000000,215602000000,11488784000000,1499249000000,-111846000000,1387403000000,10101381000000,1538499000000,8562882000000
2022,76380750000000,191525000000,76189225000000,55154201000000,21035024000000,2575563000000,6361642000000,4847702000000,4339650000000,12511539000000,3854314000000,5222742000000,279707000000,355299000000,-75592000000,5147150000000,626750000000,-233984000000,392766000000,4754384000000,1187388000000,3566996000000
2023,78516999000000,265380000000,78251619000000,56130507000000,22121112000000,2405205000000,8129513000000,6946060000000,3895982000000,14192355000000,3750002000000,2350429000000,309976000000,97431000000,212545000000,2562974000000,1288786000000,-595739000000,693047000000,1869927000000,1451232000000,418695000000
