,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,- Khấu hao TSCĐ,- Các khoản dự phòng,- Lợi nhuận thuần từ đầu tư vào công ty liên kết,- Xóa sổ tài sản cố định (thuần),- Lãi lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,- Lãi lỗ từ thanh lý TSCĐ,- Lãi lỗ từ hoạt động đầu tư,- Lãi tiền gửi,- Thu nhập lãi,- Chi phí lãi vay,- Các khoản chi trực tiếp từ lợi nhuận,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,- Tăng giảm các khoản phải thu,- Tăng giảm hàng tồn kho,- Tăng giảm các khoản phải trả (Không kể lãi vay phải trả thuế thu nhập doanh nghiệp phải nộp),- Tăng giảm chi phí trả trước,- Tăng giảm tài sản ngắn hạn khác,- Tiền lãi vay phải trả,- Thuế thu nhập doanh nghiệp đã nộp,- Tiền thu khác từ hoạt động kinh doanh,- Tiền chi khác từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Tiền chi để mua sắm xây dựng TSCĐ và các tài sản dài hạn khác,2. Tiền thu từ thanh lý nhượng bán TSCĐ và các tài sản dài hạn khác,3. Tiền chi cho vay mua các công cụ nợ của đơn vị khác,4. Tiền thu hồi cho vay bán lại các công cụ nợ của các đơn vị khác,5. Đầu tư góp vốn vào công ty liên doanh liên kết,6. Chi đầu tư ngắn hạn,7. Tiền chi đầu tư góp vốn vào đơn vị khác,8. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,9. Lãi tiền gửi đã thu,10. Tiền thu lãi cho vay cổ tức và lợi nhuận được chia,11. Tiền chi mua lại phần vốn góp của các cổ đông thiểu số,Lưu chuyển tiền thuần từ hoạt động đầu tư,1. Tiền thu từ phát hành cổ phiếu nhận vốn góp của chủ sở hữu,2. Tiền chi trả vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,3. Tiền vay ngắn hạn dài hạn nhận được,4. Tiền chi trả nợ gốc vay,5. Tiền chi trả nợ thuê tài chính,6. Tiền chi khác từ hoạt động tài chính,7. Tiền chi trả từ cổ phần hóa,8. Cổ tức lợi nhuận đã trả cho chủ sở hữu,9. Vốn góp của các cổ đông thiểu số vào các công ty con,10. Chi tiêu quỹ phúc lợi xã hội,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
2013,16997905549,203072934771,14800833747,2821872916,0,0,11126255475,0,-19958084489,0,0,194282057122,0,220070840320,-322420570232,691294734970,-9121553522,-6580145382,0,-367304671459,-21124840485,155960832000,-112415847202,228358779008,-11234001396,474300000,-504390569724,576164335135,0,0,-1200000000,50784026463,0,48522331696,0,159120422174,0,-988170000,564869811283,-978266852234,0,0,0,0,0,0,-414385210951,-26906009769,275990740231,-104215474,248980514988
2014,130308673878,105866299776,14834391109,5619762306,0,0,10441515618,0,-59798012145,0,0,134768642888,0,236174973654,-1139332768856,-1803999910006,5502600882532,-79671047706,0,-509351630239,-28165756837,904654767203,-930272801796,2152636707949,-61503102781,2209090909,-956994281158,344477539449,0,0,-424884060000,300000,37684820584,0,0,-1059009692997,1694529485600,0,1666623272204,-1924345654392,0,0,0,0,0,0,1436807103412,2530434118364,248980514988,0,2779414633352
2015,608112963781,182778041611,88779916220,51972653196,0,0,21879821943,0,-331279777789,0,0,351425428041,0,790891005392,-4625495394936,259472715894,1953335836895,-120603156057,0,-519785506480,-47093302287,0,-128200000,-2309406001579,-33647160381,9187362668,-6399955276371,6462652418650,0,0,-3288764833329,0,300231743455,0,0,-2950295745308,2034337610000,0,7020343547596,-2714683880779,0,0,0,0,0,0,6339997276817,1080295529930,2779414633352,0,3859710163282
2016,2189703612855,-1098214721085,226331076287,-41356813092,0,0,34551090149,0,-2228127795722,0,0,910387721293,0,1091488891770,3960297279419,93805533648,-3561263899138,-99019085556,0,-849017262276,-431733905624,0,0,204557552243,-215251612635,15646566319,-7672922664879,6258296050163,0,0,-7218477119177,2048210045846,0,180791013185,0,-6603707721178,0,3985340870000,12884785455043,-10939826576518,0,0,0,-54639219932,0,0,5875660528593,-523489640342,3859710163282,748909851,3336969432791
2017,2588499024119,260807123817,484833728737,-5689095922,0,0,-5083914401,0,-1464413967698,0,0,1251160373101,0,2849306147936,1919050031993,-1963235562101,619226427403,-118688935374,0,-1104335516660,-652457047620,0,0,1548865545577,-1129651141626,8353511141,-1466446465713,4918484078283,0,0,-6367994960329,1793455062483,0,486615118973,0,-1757184796788,286871900000,-405000000000,17207325658255,-13499500855745,0,0,0,-68165097000,0,0,3521531605510,3313212354299,3336969432791,-20792349,6650160994741
2018,4675374768538,-362161576562,517049317948,10321013452,0,0,137534095002,0,-2468804185787,0,0,1441738182823,0,4313213191976,2824622148839,127667292027,-4315181771102,65320845837,0,-1793288879653,-647084574232,0,0,575268253692,-170699012647,44855532242,-699653602882,2997627188115,0,0,-9232241493214,834105774717,0,364661390314,0,-5861344223355,3644346535626,-50046482000,22160749489009,-14779563168477,0,0,0,-12908761912,0,0,10962577612246,5676501642583,6650160994741,279658356,12326942295680
2019,4272235676472,-2381633014623,-2750422518755,152077733090,0,0,4193535205,0,-974173763255,0,0,1186691999092,0,1890602661849,1262582829809,2487766869299,937271650485,119120886872,0,-2649633213153,-971247780944,0,0,3076463904217,-383243115853,11199068191,-1109336844946,460664701169,0,0,-14398343074655,1716435250550,0,296593687515,0,-13406030328029,205939730000,-82000000,20460412729964,-16150195525803,0,0,0,-19719873178,0,0,4496355060983,-5833211362829,12315170763611,-15739884405,6466219516377
2020,4649022346311,-4800147183731,736177431407,5192553925,0,0,-27868814565,0,-6091949021258,0,0,578300666760,0,-151124837420,-14437175827623,-14079277627374,28866405419147,-215741856085,0,-3153979701397,-314609953451,0,0,-3485504384203,-199370665048,27802740778,-6049173230372,3177225898286,0,0,-12825776162226,10670255300571,0,288396281192,0,-4910639836819,668326860000,-1508355000,30262787111740,-17390409779888,0,0,0,-49516473359,0,0,13489679363493,5093535142471,6466219516377,-967103176,11558787555672
2021,5086223164450,-2660322573215,-1267996316672,-6602795872,0,0,-183932403922,0,-1789917676879,0,0,588126620130,0,2425900591235,-15450033326328,-9408262236790,32341078794517,-496519586817,0,-4490872652256,-1079993994313,0,0,3841297589248,-895880921185,2015439112,-10924035996542,8643793841875,0,0,-13595623128728,3103607087438,0,531509868720,0,-13134613809310,4591253993600,-196049500000,36023832294304,-25434712885016,0,0,0,-467474000,0,0,14983856428888,5690540208826,11558787555672,-171618942,17249156145556
2022,3982066348032,-1281299419161,-227164114697,115850774058,0,0,492288608560,0,-2616317564495,0,0,954042877413,0,2700766928871,-19468239583927,-10443588459744,31799573314208,-768503964840,0,-6173136680063,-693598124498,0,0,-3046726569993,-293935317230,121806663375,-10297351483906,14069334968793,0,0,-20045623008390,7707960177880,0,772471687193,0,-7965336312285,250941290000,0,30149637083585,-28037455868769,0,0,0,-1081850,0,0,2363121422966,-8648941459312,17249156145556,-44162742,8600170523502
