,1. Tổng doanh thu hoạt động kinh doanh,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần (1)-(2),4. Giá vốn hàng bán,5. Lợi nhuận gộp (3)-(4),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính,-Trong đó: Chi phí lãi vay,8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác (12)-(13),15. Tổng lợi nhuận kế toán trước thuế (11)+(14),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Chi phí thuế TNDN (16)+(17),19. Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),20. Lợi nhuận sau thuế của cổ đông không kiểm soát,21. Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20)
2013,1600397507425,0,1600397507425,1279848252047,320549255378,22428580931,217556785040,194282057122,-1867200886,63645090903,50859101722,9049657758,13648971056,5700723265,7948247791,16997905549,9014903985,424394684,9439298669,7558606880,266180759,7292426121
2014,2817025925662,15215239979,2801810685683,2326439908411,475370777272,60441149247,188275019428,134768642888,588463940,126412978255,105086584754,116625808022,20919082816,7236216960,13682865856,130308673878,32465521262,1663242430,34128763692,96179910186,2483784848,93696125338
2015,6692627652016,19192626026,6673435025990,5333572153182,1339862872808,334610510102,440474549151,351425428041,992746135,238914350343,359824463054,636252766497,32757004998,60896807714,-28139802716,608112963781,204312351202,-37959337948,166353013254,441759950527,0,441759950527
2016,7369463145396,10282224581,7359180920815,5776101411561,1583079509254,2523042548253,1115230030171,863073263518,498537487,165484975281,641600989722,2184304599820,44524814573,39125801538,5399013035,2189703612855,327371479437,202982820440,530354299877,1659349312978,-5728244382,1665077557360
2017,11759393956148,127057926975,11632336029173,8375505074901,3256830954272,1696524125589,1463309502095,1205387997120,12079426593,258292397030,676193753758,2567638853571,62422616018,41562445470,20860170548,2588499024119,810647531519,-283791739656,526855791863,2061643232256,28161421934,2033481810322
2018,15635421288785,345027380300,15290393908485,10132440436138,5157953472347,1296684713154,1930195994193,1381414621001,1322274553324,424217309126,743726773586,4678772661920,71083646568,74481539950,-3397893382,4675374768538,986171527219,422133052602,1408304579821,3267070188717,40065474562,3227004714155
2019,11026232997553,95249885633,10930983111920,7779325178076,3151657933844,1027208421374,2084814480224,1145609766192,-9578783868,294869082499,1197219171605,592384837022,3847134745198,167283905748,3679850839450,4272235676472,692528132718,192385441843,884913574561,3387322101911,-44009060531,3431331162442
2020,5241732045264,215373635826,5026358409438,3193479439283,1832878970155,6210337779881,1537268550611,566129859176,-2552533101,164007104072,1290197237197,5049191325055,325517674148,725686652892,-400168978744,4649022346311,280426493741,462094272894,742520766635,3906501579676,-12570054423,3919071634099
2021,14967335269790,64575384077,14902759885713,8767152197042,6135607688671,3644645699649,3852245469584,514315367150,284218826,1291095498588,1325621428707,3311575210267,2381546814672,606898860489,1774647954183,5086223164450,1322966306295,308504019243,1631470325538,3454752838912,230065810736,3224687028176
2022,11150728886696,16498408971,11134230477725,6882741523343,4251488954382,5004795281883,4148522226595,844309872037,3622528857,960131278956,1536210395675,2615042863896,1668784014492,301760530356,1367023484136,3982066348032,778709166202,1021826971234,1800536137436,2181530210596,19458987888,2162071222708
2023,4769950330281,13048116461,4756902213820,3434694564513,1322207649307,5128130127876,3244008255570,327706664781,-151539424738,291975056813,1490226089162,1272588950900,1075033533475,348740792825,726292740650,1998881691550,408200850882,1104816315770,1513017166652,485864524898,-119713695215,605578220113
