,A. Tài sản lưu động và đầu tư ngắn hạn,I. Tiền và các khoản tương đương tiền,II. Các khoản đầu tư tài chính ngắn hạn,III. Các khoản phải thu ngắn hạn,IV. Tổng hàng tồn kho,V. Tài sản ngắn hạn khác,B. Tài sản cố định và đầu tư dài hạn,I. Các khoản phải thu dài hạn,II. Tài sản cố định,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,V. Các khoản đầu tư tài chính dài hạn,VI. Tổng tài sản dài hạn khác,VII. Lợi thế thương mại,TỔNG CỘNG TÀI SẢN,A. Nợ phải trả,I. Nợ ngắn hạn,II. Nợ dài hạn,B. Nguồn vốn chủ sở hữu,I. Vốn chủ sở hữu,II. Nguồn kinh phí và quỹ khác,TỔNG CỘNG NGUỒN VỐN
2014,10547147009535,1817058789399,5719664646682,1031470742969,1868971990048,109980840437,11126890056350,8000000000,7033461120560,30769581184,401814693989,2297406522275,1355438138342,0,21674037065885,8690567763683,7559892583790,1130675179893,12983469302202,12983431902202,37400000,21674037065885
2015,12194294244759,7935974303078,942766940162,1085026567826,1924903591065,305622842628,9377631443590,34494839492,5854864117634,45648186191,80875751437,2220151475157,1141597073679,0,21571925688349,7507221969018,6759695103391,747526865627,14064703719331,14064666319331,37400000,21571925688349
2016,10714345997642,3444825444503,3174321174216,1090133038030,2126217402717,878848938176,8478519181688,38348696296,5462593961444,66481409593,76788901460,1938640880750,895665332145,0,19192865179330,6759685108734,6473888596700,285796512034,12433180070596,12433142670596,37400000,19192865179330
2017,13686327476651,4268598818042,6558801231269,715326353415,2003535067335,140066006590,8327361633259,20093775062,5008100480672,67657774573,111505655106,2152327824131,967676123715,0,22013689109910,7593162674962,7401584603555,191578071407,14420526434948,14420489034948,37400000,22013689109910
2018,14690168205219,4467391585137,7544188420764,765630597003,1813754190894,99203411421,7676574586994,5860731012,4567091079194,54567837235,144377898065,2119042308110,785634733378,0,22366742792213,6254837224044,5925696932383,329140291661,16111905568169,16111868168169,37400000,22366742792213
2019,19164602511633,4115884646637,12393226750273,568608377917,1967137719907,119745016899,7797873582412,9110080969,4685440455287,58433154033,307773703264,2162738822723,574377366136,0,26962476094045,6886229037681,6087830053039,798398984642,20076247056364,20076247056364,0,26962476094045
2020,19513381452440,2726137088387,14547419432877,590846416109,1446832994933,202145520134,7861591322918,11958390566,4874503649521,65173748670,28138829026,2351285997476,530530707659,0,27374972775358,6159696384430,5173043219872,986653164558,21215276390928,21215276390928,0,27374972775358
2021,22877033322264,3606454403209,16991239000000,467956130071,1668001734209,143382054775,7609991050161,12640850386,4401799818086,41270248842,551470893844,2125162874416,477646364587,0,30487024372425,7892238669264,7258020535153,634218134111,22594785703161,22594785703161,0,30487024372425
2022,26860224573663,4069464160642,19411469500000,897692694315,2193521139336,288077079370,7604851042093,37720028871,4454982147731,153128987010,133548179000,2214115381757,611356317724,0,34465075615756,9874229696363,9213862412096,660367284267,24590845919393,24590845919393,0,34465075615756
2023,26553405591714,5039908030600,17741052417665,1229401278553,2317504988808,225538876088,7503219247991,34701581051,3969724119615,279064752080,143919308285,2287392366503,788417120457,0,34056624839705,8571466944838,8224608450196,346858494642,25485157894867,25485157894867,0,34056624839705
