,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,- Khấu hao TSCĐ,- Các khoản dự phòng,- Lợi nhuận thuần từ đầu tư vào công ty liên kết,- Xóa sổ tài sản cố định (thuần),- Lãi lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,- Lãi lỗ từ thanh lý TSCĐ,- Lãi lỗ từ hoạt động đầu tư,- Lãi tiền gửi,- Thu nhập lãi,- Chi phí lãi vay,- Các khoản chi trực tiếp từ lợi nhuận,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,- Tăng giảm các khoản phải thu,- Tăng giảm hàng tồn kho,- Tăng giảm các khoản phải trả (Không kể lãi vay phải trả thuế thu nhập doanh nghiệp phải nộp),- Tăng giảm chi phí trả trước,- Tăng giảm tài sản ngắn hạn khác,- Tiền lãi vay phải trả,- Thuế thu nhập doanh nghiệp đã nộp,- Tiền thu khác từ hoạt động kinh doanh,- Tiền chi khác từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Tiền chi để mua sắm xây dựng TSCĐ và các tài sản dài hạn khác,2. Tiền thu từ thanh lý nhượng bán TSCĐ và các tài sản dài hạn khác,3. Tiền chi cho vay mua các công cụ nợ của đơn vị khác,4. Tiền thu hồi cho vay bán lại các công cụ nợ của các đơn vị khác,5. Đầu tư góp vốn vào công ty liên doanh liên kết,6. Chi đầu tư ngắn hạn,7. Tiền chi đầu tư góp vốn vào đơn vị khác,8. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,9. Lãi tiền gửi đã thu,10. Tiền thu lãi cho vay cổ tức và lợi nhuận được chia,11. Tiền chi mua lại phần vốn góp của các cổ đông thiểu số,Lưu chuyển tiền thuần từ hoạt động đầu tư,1. Tiền thu từ phát hành cổ phiếu nhận vốn góp của chủ sở hữu,2. Tiền chi trả vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,3. Tiền vay ngắn hạn dài hạn nhận được,4. Tiền chi trả nợ gốc vay,5. Tiền chi trả nợ thuê tài chính,6. Tiền chi khác từ hoạt động tài chính,7. Tiền chi trả từ cổ phần hóa,8. Cổ tức lợi nhuận đã trả cho chủ sở hữu,9. Vốn góp của các cổ đông thiểu số vào các công ty con,10. Chi tiêu quỹ phúc lợi xã hội,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
2009,2030076900723,583438869962,589252642349,318745828357,-163153970953,2004827765,0,4340365510,-34082565925,0,-182777238540,49108981399,0,2613515770685,541247828125,174808142668,184584509342,0,0,-49701443819,-131204299686,0,-86018167412,3247232339903,-2214147594006,0,0,101105426250,0,0,-77412755225,-528146338753,0,183747788809,0,-2534853472925,0,0,1384481736369,-380337586799,0,0,0,-424475776857,0,0,579668372713,1292047239691,1787333051162,0,3079380290853
2010,3485441823901,21091286023,390450373627,139332423615,-191194458583,0,-6150505685,-536487074,-272852536082,0,-131062427780,93104903985,0,3506533109924,26650269915,-123331184539,-916330602391,-106473829881,0,-53197510907,-816817252522,0,-96007770216,1421025229383,-1037607928060,1202818183,-1358516278019,62000000000,0,0,-133915308716,38991136000,0,404502412996,0,-2023343147616,28886730000,-120000000,843779769828,-609182532500,-545454545,0,0,-1209802053239,0,0,-946983540456,-1549301458689,3079380290853,47042108,1530125874272
2011,2996113342862,175166184549,502810166298,82061200281,-235650042129,0,-3941378669,-8864014023,-19964700734,0,-385840742365,244555695890,0,3171279527411,-190309411236,-319168899552,1006491921370,-112241583135,0,-249979973770,-762931082641,0,-149553273662,2393587224785,-816195564546,13769232273,-403932127958,212703644444,0,0,-16206594653,27352587844,0,629470034415,0,-353038788181,0,-282270000,554124275714,-697791844659,0,0,0,-2015814693941,0,0,-2159764532886,-119216096282,1530125874272,68590492,1410978368482
2012,3647715431483,-15450856509,510331764144,-75641082957,-250186012712,0,-1149567332,-1726308232,-20334070929,0,-397631223460,220885644969,0,3632264574974,-129184172040,34122916681,-354169413876,210232937872,0,-227615183074,-766525238069,37400000,-4596337407,2394567485061,-424205617811,8404630758,-1279962791761,30000000000,0,0,-76274286534,118243262817,0,652695007706,0,-971099794825,455000000,-1131380000,421722697020,-233960111120,0,0,0,-1359344605872,0,0,-1172258399972,251209290264,1410978368482,0,1662187658746
2013,3578899174208,97531109916,521649086860,73338761174,-307215574362,0,-821985824,25833818100,-9699192612,0,-355380845585,149827042165,0,3676430284124,107901296128,-498818124940,874985853898,-1736696681,0,-135357119403,-921230380275,46800848252,-238217487610,2910758473493,-762077922417,28108331631,-136626560000,0,0,0,-22586708802,42635405008,0,355830804999,0,-494716649581,0,0,1402550054827,-1394809860051,0,0,0,-2237714110944,0,0,-2229973916168,186067907744,1662187658746,0,1848255566490
2014,3917557827194,-41097730435,583098745526,-43982601596,-327593746441,0,-1474699220,-5472684995,-12937428763,0,-339951695341,107216380395,0,3876460096759,29463274606,-178454673996,537751397189,63855938684,0,-134010967721,-1057518432641,0,-288073414701,2849473218179,-955790856918,82969509792,-1664897706520,0,0,0,-20000000000,32556550347,0,573857066395,0,-1951305436904,0,0,2044273792875,-2364667170475,0,0,0,-609470928513,0,0,-929864306113,-31696524838,1848755314237,0,1817058789399
2015,4470009453924,-84570328733,635241633774,22840437585,0,0,384024309,0,-819627916702,0,0,76591492301,0,4385439125191,-105417374006,-84932768024,-774900043654,273630377756,0,-80326998764,-1211869431681,0,-243887887842,2157734998976,-308673187526,4037308250,-473591606830,569067236337,0,0,-118026720800,64794970000,0,645050304869,0,382658304300,0,7000000000,2905342309369,-2592838754496,0,0,0,-1678981344470,0,0,-1359477789597,1180915513679,6755058789399,0,7935974303078
2016,5707398225876,-361471333221,633843505732,-7126993043,0,0,1407026,0,-1070371334844,0,0,82182081908,0,5345926892655,-106157403769,-210519271008,-2728864307435,-54335072441,0,-87165769568,-984037331258,0,-347987375203,826860361973,-280897550560,40502081658,-3034021174216,809466940162,0,0,-27824678187,581149667139,0,800680330240,0,-1110944383764,5820025630,0,3880680269651,-4336074219633,0,0,0,-3757483070376,0,0,-4207056994728,-4491141016519,7935974303078,-7842056,3444825444503
2017,6077091655134,-171143071094,625353451649,81974112122,0,0,105642811,0,-920687812365,0,0,42111534689,0,5905948584040,187690969602,50519655998,-329359651676,-17853632868,0,-44424319099,-294736168316,0,-389966128772,5067819308909,-151157759584,14863280117,-7278046709349,3893566652296,0,0,-43880715400,66048265300,0,678088897966,0,-2820518088654,67207854357,0,3541517218824,-4023393560638,0,0,0,-1008864945050,0,0,-1423533432507,823767787748,3444825444503,5585791,4268598818042
2018,5390439641506,-42947362668,634592696360,241180788466,-354965023940,0,-71937562,0,-628666671052,0,0,35244808353,29737976707,5347492278838,119830562870,36215461662,324263923251,203652800227,0,-35956684154,-1140987498904,0,-339724962299,4514785881491,-290439347849,2009409588,-10860587189495,9875200000000,0,0,0,28339826544,0,934229165303,0,-311248135909,0,0,3255664065073,-3371648865960,0,0,0,-3888748971778,0,0,-4004733772665,198803972917,4268598818042,-11205822,4467391585137
