,1. Tổng doanh thu hoạt động kinh doanh,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần (1)-(2),4. Giá vốn hàng bán,5. Lợi nhuận gộp (3)-(4),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính,-Trong đó: Chi phí lãi vay,8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác (12)-(13),15. Tổng lợi nhuận kế toán trước thuế (11)+(14),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Chi phí thuế TNDN (16)+(17),19. Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),20. Lợi nhuận sau thuế của cổ đông không kiểm soát,21. Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20)
2008,9065490623812,1900414886640,7165075737172,5832554917945,1332520819227,276034461666,114282212394,11203743948,70863248412,466516418453,109204159402,989415739056,116603473319,87479358236,29124115083,1018539854139,174169476861,-14823334358,159346142503,859193711636,103621589733,755572121903
2009,15954096419432,3141240976473,12812855442959,9953954475360,2858900967599,301133583116,461215234310,49108981399,163153970953,627214905963,231357354402,2003401026993,47992224318,21316350588,26675873730,2030076900723,320143387798,9208317281,329351705079,1700725195644,92323636722,1608401558922
2010,19912941440893,2560216481256,17352724959637,13065831888770,4286893070867,438371413567,350665692576,93104903985,191194458583,837023264132,235787752487,3492982233822,25554205726,33094615647,-7540409921,3485441823901,859711279541,-5237979247,854473300294,2630968523607,202143404323,2428825119284
2011,22313188526307,3020422208626,19292766317681,15224618428273,4068147889408,436090989519,316672253699,244555695890,235650042129,1067550758817,364035519200,2991630389340,47702499712,43219546190,4482953522,2996113342862,688823741006,-36921479602,651902261404,2344211081458,65776508340,2278434573118
2012,25128015475599,3338921619143,21789093856456,16878420456052,4910673400404,476818196793,331594899384,220885644969,250186012712,1311824212854,382234883052,3612023614619,93235305429,57543488565,35691816864,3647715431483,843396658571,18636320173,862032978744,2785682452739,119128693084,2666553759655
2013,28186091862172,4179831767261,24006260094911,18149503475695,5856756619216,375322084378,207140142950,149827042165,307215574362,2132049303199,619075409672,3581029422135,145914246042,148044493969,-2130247927,3578899174208,1057338211274,26166588917,1083504800191,2495394374017,77698934260,2417695439757
2014,30109925125618,5002759853903,25107165271715,17636085547672,7471079724043,367210083520,89057508448,107216380395,343821491260,3177311224068,1041694398143,3874048168164,196849093950,153339434920,43509659030,3917557827194,971519656136,-103054923688,868464732448,3049093094746,109116206398,2939976888348
2015,27165691554587,21389967243,27144301587344,19586557965165,7557743622179,418646983429,121795134306,76591492301,371953576001,2682881800251,1110422928996,4433244318056,132650025073,95884889205,36765135868,4470009453924,1085882523432,-215969195687,869913327745,3600096126179,189800340755,3410295785424
2016,30603273412475,34595644700,30568677767775,22301142642021,8267535125754,751041069989,68664200785,82182081908,305649678623,2781731453998,781828733942,5692001485641,128295160294,112898420059,15396740235,5707398225876,254202906344,798606579969,1052809486313,4654588739563,176616872764,4477971866799
2017,34438171048592,244780494353,34193390554239,25327872489662,8865518064577,506107630554,-25805674678,42111534689,411873934390,2811111874500,935974797535,6062218632164,106139463217,91266440247,14873022970,6077091655134,1140540458945,-12048055675,1128492403270,4948599251864,237114047283,4711485204581
2018,36043018331946,94465769999,35948552561947,27864413389551,8084139172396,630350383424,74634952869,35244808353,354965023940,2731090859491,912705312866,5351023454534,81737853570,42321666598,39416186972,5390439641506,1021134431877,-33444736795,987689695082,4402749946424,225317711045,4177432235379
2019,38133790098273,234730596978,37899059501295,28348430809281,9550628692014,889852505295,93009586460,37367206872,378267281269,3003290717435,1047841925145,6674606249538,74504231449,62933856025,11570375424,6686176624962,1347171652994,-31142736574,1316028916420,5370147708542,316783789377,5053363919165
2020,28135622624299,174298787288,27961323837011,19460229052562,8501094784449,974401634870,105449377566,63681326473,267405919991,2859036781083,702005344515,6076410836146,55952250986,20544761167,35407489819,6111818325965,1124942822470,50029533241,1174972355711,4936845970254,213349110064,4723496860190
2021,26578007393513,204261099655,26373746293858,18765181482365,7608564811493,1119597121857,22784167607,48739800374,172939963562,3500368629369,597716255412,4780232844524,95929356826,19267951607,76661405219,4856894249743,954964248596,-27375546091,927588702505,3929305547238,252053205934,3677252341304
2022,35235899123781,256815129946,34979083993835,24208377066751,10770706927084,1090560762647,81993117030,45517297000,323119361276,4532068273139,740665660468,6829660000370,20990166318,37232847726,-16242681408,6813417318962,1323982218726,-10362877048,1313619341678,5499797977284,275946550189,5223851427095
2023,30706760090689,245392808474,30461367282215,21370004777980,9091362504235,1432568520354,73433682681,50214725919,232053894657,4479227839581,800691619935,5402631777049,17484692469,49706065223,-32221372754,5370410404295,1099082811973,16274596613,1115357408586,4255052995709,137447927021,4117605068688
