,A. Tài sản lưu động và đầu tư ngắn hạn,I. Tiền và các khoản tương đương tiền,II. Các khoản đầu tư tài chính ngắn hạn,III. Các khoản phải thu ngắn hạn,IV. Tổng hàng tồn kho,V. Tài sản ngắn hạn khác,B. Tài sản cố định và đầu tư dài hạn,I. Các khoản phải thu dài hạn,II. Tài sản cố định,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,V. Các khoản đầu tư tài chính dài hạn,VI. Tổng tài sản dài hạn khác,VII. Lợi thế thương mại,TỔNG CỘNG TÀI SẢN,A. Nợ phải trả,I. Nợ ngắn hạn,II. Nợ dài hạn,B. Nguồn vốn chủ sở hữu,I. Vốn chủ sở hữu,II. Nguồn kinh phí và quỹ khác,TỔNG CỘNG NGUỒN VỐN
2004,291856882378,27319688684,0,97635890083,165312210790,1589092821,129970189947,0,60295079909,11133640000,39213907243,14291208864,5036353931,0,421827072325,171232318628,171232318628,0,250594753697,250594753697,0,421827072325
2005,659052079669,172690391343,0,182516899942,299238501230,4606287154,244560860760,64329922068,78884014615,10688294400,45431429,88988532576,1624665672,0,903612940429,361412371771,361412371771,0,542200568658,542200568658,0,903612940429
2006,1416177829462,43904416988,0,756207964297,615149499497,915948680,341355329217,0,65070935172,10242948800,291760795,265749684450,0,0,1757533158679,1062428333842,1031731715743,30696618099,695104824837,695104824837,0,1757533158679
2007,1937042059842,315813386380,23403132978,459656636399,1015693072975,122475831110,1140855137642,0,48885202066,10020276000,78304615490,1002426480450,1218563636,0,3077897197484,653653071417,647595793793,6057277624,2424244126067,2424244126067,0,3077897197484
2008,1164271085307,666476933005,19988502152,165532489223,300666897061,11606263866,1114874562934,0,125871887376,10020276000,62857630089,803140862332,112983907137,0,2279145648241,70863154008,70506377492,356776516,2208282494233,2208282494233,0,2279145648241
2009,1141233328778,460128385485,0,248324812190,404315176833,28464954270,1518589457741,0,108736933983,10098457819,294365655799,989594515039,115793895101,0,2659822786519,244210169366,243933709403,276459963,2415612617153,2415612617153,0,2659822786519
2010,949251532952,272585496836,58798888889,268540610617,338116926532,11209610078,1666969797535,0,108140637237,10098457819,398980173416,985936592007,163813937056,0,2616221330487,169571583384,169128499021,443084363,2446649747103,2446649747103,0,2616221330487
2011,795463991203,104377905305,4158888889,289374064181,378865490215,18687642613,1842358460117,0,98386060841,10098457819,811949024051,751704192478,170220724928,0,2637822451320,360058069675,359419471612,638598063,2277764381645,2277764381645,0,2637822451320
2012,1202796801666,291100113831,3058888889,480085886262,418467350157,10084562527,1553431158423,0,171746341616,10098457819,791154721266,419167970992,161263666730,0,2756227960089,368955976188,338030992471,30924983717,2387271983901,2387271983901,0,2756227960089
2013,1275099763627,352309710644,2175031683,341315383712,565435246238,13864391350,1707932780685,0,287036814505,155540750962,836105774105,305586126011,123663315102,0,2983032544312,484691590875,401448773039,83242817836,2498340953437,2498340953437,0,2983032544312
2014,1397711682349,116818917496,0,543134011196,712413686262,25345067395,1833713466551,0,301939662820,152677538738,956350529086,299121808689,123623927218,0,3231425148900,755706115693,672208621509,83497494184,2475719033207,2475719033207,0,3231425148900
2015,1794542299861,91323013379,9481880000,745558872943,891682295316,56496238223,1758369287378,156317535177,659624539413,150704686974,486596137573,293562811728,11563576513,0,3552911587239,1090313190418,1048630346235,41682844183,2462598396821,2462598396821,0,3552911587239
2016,1526955116342,93029583315,210525817397,555278580844,623530510407,44590624379,2137601435931,150720221163,908991719602,147512028097,135509391336,760450143984,34417931749,0,3664556552273,1197951166065,1163047484108,34903681957,2466605386208,2466605386208,0,3664556552273
2017,2363456696125,59013422509,544091482512,1086956952827,626120277817,47274560460,1969795984341,160197585636,831344750391,172796465396,110594642540,650525860224,44336680154,0,4333252680466,1665018087032,877118516761,787899570271,2668234593434,2668234593434,0,4333252680466
2018,2636843546125,91080889570,334000313434,1275247142160,873084001863,63431199098,2418906096719,124394542597,814629167586,156147330669,124089941673,1145729067335,53916046859,0,5055749642844,2234771167532,1523363280084,711407887448,2820978475312,2820978475312,0,5055749642844
2019,2814201256583,201977056819,306457161528,1450970125509,805894640964,48902271763,2396738667767,50405537354,774477133162,152774034428,174714575175,1217119306125,27248081523,0,5210939924350,2325589060114,2266649382339,58939677775,2885350864236,2885350864236,0,5210939924350
2020,2386824329268,276490399607,84572614837,1505623130487,478224358195,41913826142,3282072403693,88070321358,737222300885,147290077076,754373304394,1533350802778,21765597202,0,5668896732961,2201198342100,1844324895529,356873446571,3467698390861,3467698390861,0,5668896732961
2021,3460860298823,818291965088,292838229193,1866712388543,430407631422,52610084577,4083436239963,234788228172,722429517585,141806119730,1298965689640,1584936007224,39366954186,61143723426,7544296538786,2947792015788,2167544192892,780247822896,4596504522998,4596504522998,0,7544296538786
2022,2852384184578,316341744567,169599116037,1804836080653,540950398006,20656845315,4384949502510,61572522782,686413699273,135192690633,1155021806805,2272419930963,68063982783,6264869271,7237333687088,2633964634288,2093379367236,540585267052,4603369052800,4603369052800,0,7237333687088
2023,2283692109389,480447926855,39521318147,1223966502006,497476083492,42280278889,4308199689575,30186243394,664838643654,129809767989,1205495438210,2197721525362,74666310354,5481760612,6591891798964,1985823553060,1723049165892,262774387168,4606068245904,4606068245904,0,6591891798964
