,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,- Khấu hao TSCĐ,- Các khoản dự phòng,- Lợi nhuận thuần từ đầu tư vào công ty liên kết,- Xóa sổ tài sản cố định (thuần),- Lãi lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,- Lãi lỗ từ thanh lý TSCĐ,- Lãi lỗ từ hoạt động đầu tư,- Lãi tiền gửi,- Thu nhập lãi,- Chi phí lãi vay,- Các khoản chi trực tiếp từ lợi nhuận,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,- Tăng giảm các khoản phải thu,- Tăng giảm hàng tồn kho,- Tăng giảm các khoản phải trả (Không kể lãi vay phải trả thuế thu nhập doanh nghiệp phải nộp),- Tăng giảm chi phí trả trước,- Tăng giảm tài sản ngắn hạn khác,- Tiền lãi vay phải trả,- Thuế thu nhập doanh nghiệp đã nộp,- Tiền thu khác từ hoạt động kinh doanh,- Tiền chi khác từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Tiền chi để mua sắm xây dựng TSCĐ và các tài sản dài hạn khác,2. Tiền thu từ thanh lý nhượng bán TSCĐ và các tài sản dài hạn khác,3. Tiền chi cho vay mua các công cụ nợ của đơn vị khác,4. Tiền thu hồi cho vay bán lại các công cụ nợ của các đơn vị khác,5. Đầu tư góp vốn vào công ty liên doanh liên kết,6. Chi đầu tư ngắn hạn,7. Tiền chi đầu tư góp vốn vào đơn vị khác,8. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,9. Lãi tiền gửi đã thu,10. Tiền thu lãi cho vay cổ tức và lợi nhuận được chia,11. Tiền chi mua lại phần vốn góp của các cổ đông thiểu số,Lưu chuyển tiền thuần từ hoạt động đầu tư,1. Tiền thu từ phát hành cổ phiếu nhận vốn góp của chủ sở hữu,2. Tiền chi trả vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,3. Tiền vay ngắn hạn dài hạn nhận được,4. Tiền chi trả nợ gốc vay,5. Tiền chi trả nợ thuê tài chính,6. Tiền chi khác từ hoạt động tài chính,7. Tiền chi trả từ cổ phần hóa,8. Cổ tức lợi nhuận đã trả cho chủ sở hữu,9. Vốn góp của các cổ đông thiểu số vào các công ty con,10. Chi tiêu quỹ phúc lợi xã hội,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
2004,79364642431,32228370184,32047637394,-476336209,0,0,0,0,-1490274263,0,0,2147343262,0,111593012615,-9346194845,-118470838719,-3486986595,-4775655360,0,-2098297822,-7900083072,255173000,-6879870688,-41109741486,-38135488239,882277273,0,0,0,0,-7383180000,302676288,0,689781990,0,-43643932688,0,0,227832090273,-138272562253,0,0,0,-16635362723,0,0,72924165297,-11829508877,39149197561,0,27319688684
2005,111736153501,37651181636,30025609449,272268346,0,0,0,0,-1688090903,0,0,9041394744,0,149387335137,-152342833860,-134198558786,67987663020,3526395859,0,-8934669495,-8248786911,2730999615,-9956568819,-90049024240,-9346419731,0,-75000000000,0,0,0,0,302676228,0,695097250,0,-83348646253,238140000000,0,546516022055,-426953561903,0,0,0,-38934087000,0,0,318768373152,145370702659,27319688684,0,172690391343
2006,220178852795,85269435136,56200563376,12158664212,0,0,0,0,-14023566609,0,0,30933774157,0,305448287931,-505682600544,-328069662479,100110678763,1636462403,0,-29484991649,-11972929765,5065399850,-20023021500,-482972376990,-43114445879,1209817457,0,0,0,0,-178832959450,5624133817,0,2994387883,0,-212119066172,46800000000,0,1415633685619,-858549232212,0,0,0,-37578984600,0,0,566305468807,-128785974355,172690391343,0,43904416988
2007,221891751139,-33362995311,23195065422,-12884683723,0,0,0,0,-94943628152,0,0,51270251142,0,188528755828,174991445468,-314304326080,-128327238785,-1218563636,0,-51270251142,-22951805047,5104806518,-57138776324,-206585953200,-87364348527,27272727,-23403132978,0,0,0,-720648036000,6215630000,0,94943628152,0,-730228986626,1619955025600,0,2067072267710,-2409974528092,0,0,0,-68328856000,0,0,1208723909218,271908969392,43904416988,0,315813386380
2008,-75898068543,202275141642,16334664480,261058068065,0,0,0,0,-89082281775,0,0,13964690872,0,126377073099,294058906102,782625039208,-155081518128,-1735904357,0,-13964690872,-15172429168,334412760,-8065748078,1009375140566,-91422212951,609375000,1800000000,0,0,0,-44500000000,2520000000,0,88765001502,0,-42227836449,0,-57562018435,305600082290,-740403220480,0,0,0,-124118600867,0,0,-616483757492,350663546625,315813386380,0,666476933005
2009,282607712499,-291914471286,18092243862,-187919118327,0,0,0,0,-123052882865,0,0,965286044,0,-9306758787,-110091508831,-103154099941,134348099394,-2809987964,0,-965286044,0,24367187796,-288876565,-67901230942,-232940137845,1275193278,0,19988502152,0,0,-217436294413,221756000000,0,132876805418,0,-74479931410,0,0,311265303426,-311265303426,0,0,0,-63967385168,0,0,-63967385168,-206348547520,666476933005,0,460128385485
2010,139398801299,-66036885999,18313582223,-35667508537,0,0,0,0,-49135418571,0,0,452458886,0,73361915300,-11211036083,126079127113,-112408854888,-37430129231,0,-452458886,-45292711106,355571052,-11574926406,-18573503135,-126770593746,217200000,-58798888889,210000000,0,0,-85957338772,61999201919,0,45712440484,0,-163387979004,4453721659,0,55238469975,0,0,0,0,-78801922018,0,0,-19109730384,-201071212523,473656709359,0,272585496836
2011,-177879225070,207772062637,18479064379,209653315780,0,0,-399387778,0,-30177639972,0,0,10216710228,0,29892837567,-41248830544,-46859051395,6750705427,-7166399810,0,-10216710228,-7518182921,761414954,-13939400610,-89543617560,-330476447831,0,-81385000000,136025000000,0,0,-54300000000,91960105377,0,30177639972,0,-207998702482,30200000000,0,473702977755,-279871532894,0,0,0,-94696716350,0,0,129334728511,-168207591531,272585496836,0,104377905305
2012,137391303059,-74455174511,23628834997,-100119567239,0,0,-536978939,0,-14580975923,0,0,17153512593,0,62936128548,-120702077755,91850210537,-6754708945,8987941390,0,-17153512593,-31784957735,13867669530,-2173930916,-927237939,-230236470509,482863636,0,229588273413,0,0,0,169766286211,0,11200466158,0,180801418909,0,0,481836830002,-474688802446,0,0,0,-300000000,0,0,6848027556,186722208526,104377905305,0,291100113831
2013,134592702211,-1250440938,39901342051,-49214884563,0,0,-1532821100,0,-3352568591,0,0,12948491265,0,133342261273,137225092094,-121310137949,97065559802,-2078693132,0,-11839430226,-15040233813,83469959454,-286781987544,14052389959,-200317813926,0,0,6084750000,0,0,0,212920285661,0,3352568591,0,22039790326,3000000000,0,509730412971,-487555290924,0,0,0,-10322598,0,0,25164799449,61256979734,291100113831,-47382921,352309710644
