,1. Tổng doanh thu hoạt động kinh doanh,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần (1)-(2),4. Giá vốn hàng bán,5. Lợi nhuận gộp (3)-(4),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính,-Trong đó: Chi phí lãi vay,8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác (12)-(13),15. Tổng lợi nhuận kế toán trước thuế (11)+(14),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Chi phí thuế TNDN (16)+(17),19. Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),20. Lợi nhuận sau thuế của cổ đông không kiểm soát,21. Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20)
2004,485917181313,26780000,485890401313,364649110279,121241291034,931206413,2740009078,2147343262,0,35184996350,15740790401,68506701618,10940828813,82888000,10857940813,79364642431,6269346008,0,6269346008,73095296423,0,73095296423
2005,836381888597,0,836381888597,647498903614,188882984983,6262014037,15658012650,9041394744,0,51155062689,26103456625,102228467056,9536472945,28786500,9507686445,111736153501,8549178809,0,8549178809,103186974692,0,103186974692
2006,1655765870600,1292400000,1654473470600,1295032087975,359441382625,9616357284,38869972937,30959494157,0,71857036992,50495285290,207835444690,14243276189,1899868084,12343408105,220178852795,16399838345,0,16399838345,203779014450,0,203779014450
2007,1703523857615,7536389040,1695987468575,1467628031127,228359437448,110773400819,59328639245,51270251142,0,27096467017,58309700926,194398031079,27494520060,800000,27493720060,221891751139,25006094865,0,25006094865,196885656274,0,196885656274
2008,1296440800433,55523904,1296385276529,1170362423154,126022853375,134178886877,303930486988,17742991138,0,10354126726,21410580493,-75493453955,1481869411,1886483999,-404614588,-75898068543,0,0,0,-75898068543,0,-75898068543
2009,425469260981,0,425469260981,393247002748,32222258233,139049666589,-153187766191,965286044,0,14919711829,27619273827,281920705357,1161828808,474821666,687007142,282607712499,27810856725,0,27810856725,254796855774,0,254796855774
2010,803613333599,30432625,803582900974,666982367208,136600533766,61472565166,-10178957328,452458886,-19015233970,25429225824,24681965025,139125631441,274419858,1250000,273169858,139398801299,20946702104,0,20946702104,118452099195,372295309,118079803886
2011,733572965286,1597515914,731975449372,633647849847,98327599525,31251043732,218133064334,10216710228,-4746908331,32994792938,52718577841,-179014700187,1296008982,160533865,1135475117,-177879225070,3126396328,0,3126396328,-181005621398,2240753678,-183246375076
2012,907627960197,9965960346,897661999851,705540221444,192121778407,36516887477,-15180463659,17211257870,-32576017798,41925675059,33159862694,136157573992,2527961768,1294232701,1233729067,137391303059,32313404513,0,32313404513,105077898546,-371778696,105449677242
2013,997133937717,2751171482,994382766235,840673564123,153709202112,35704514837,-15049763821,12948491265,-2424380321,24617926217,41570277875,135850896357,3877136780,5135330926,-1258194146,134592702211,17106143077,0,17106143077,117486559134,-2839058779,120325617913
2014,1685152505861,3063093061,1682089412800,1496682097398,185407315402,18284364542,18569121933,12744916277,-1698505619,36002701872,51679636829,95741713691,3811467393,1554961271,2256506122,97998219813,24343888602,0,24343888602,73654331211,-935621397,74589952608
2015,2215872494105,8365465393,2207507028712,2002326522945,205180505767,13172645890,51704887375,27189142475,7673264282,43451029050,48450392050,82420107464,1103282649,12175219148,-11071936499,71348170965,17049223496,-455075420,16594148076,54754022889,-2050035056,56804057945
2016,1829499531249,3817741808,1825681789441,1690937870040,134743919401,65134818039,66108603224,60360227171,551366669,44261329119,49762537472,40297634294,2908454110,6871867018,-3963412908,36334221386,13510199275,-1322707060,12187492215,24146729171,-734610634,24881339805
2017,2227819761128,6952100911,2220867660217,2031329150717,189538509500,237947496031,170190466726,108518299203,21855003944,56336970777,78255337946,144558234026,2122058301,3718845551,-1596787250,142961446776,21196067767,7812768491,29008836258,113952610518,4771114678,109181495840
2018,2680177956767,10449144792,2669728811975,2262923870539,406804941436,155119005250,224660986336,139757724421,20339587391,107965495254,83165729945,166471322542,2616282576,3966284388,-1350001812,165121320730,43220410304,6937521190,50157931494,114963389236,15856906889,99106482347
2019,2910460763093,56710096401,2853750666692,2551522418405,302228248287,178310700135,206515773144,87508750221,18483893790,73720774304,89083079317,129703215447,11056586857,5214801969,5841784888,135545000335,31626221951,2528982660,34155204611,101389795724,21358719434,80031076290
2020,1925640203956,6371245286,1919268958670,1781139088428,138129870242,163283867746,-30353823189,28129019732,-84863786386,34001500102,89330532935,123571741754,3008483901,1160416263,1848067638,125419809392,19778950386,4631135540,24410085926,101009723466,8385980518,92623742948
2021,1907465386694,18768848687,1888696538007,1807940691502,80755846505,362418397991,82403707314,43777497241,-30454204651,35277163426,91451146132,203588022973,6617072491,2830587591,3786484900,207374507873,40357476425,7095082411,47452558836,159921949037,5582292505,154339656532
2022,2124387044361,15322457799,2109064586562,1944479372244,164585214318,355251989117,291110148485,90510963420,-26861211372,47466190754,120118512192,34281140632,8002238508,1655568062,6346670446,40627811078,24128926571,9351421989,33480348560,7147462518,4384303601,2763158917
2023,2204487661762,4371916841,2200115744921,2042904427515,157211317406,129594088784,29097589685,78363834048,-53311071514,45691576181,96180724698,62524444112,3309233531,2949600088,359633443,62884077555,18891541442,10752616106,29644157548,33239920007,14907342741,18332577266
