,A. Tài sản lưu động và đầu tư ngắn hạn,I. Tiền và các khoản tương đương tiền,II. Các khoản đầu tư tài chính ngắn hạn,III. Các khoản phải thu ngắn hạn,IV. Tổng hàng tồn kho,V. Tài sản ngắn hạn khác,B. Tài sản cố định và đầu tư dài hạn,I. Các khoản phải thu dài hạn,II. Tài sản cố định,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,V. Các khoản đầu tư tài chính dài hạn,VI. Tổng tài sản dài hạn khác,VII. Lợi thế thương mại,TỔNG CỘNG TÀI SẢN,A. Nợ phải trả,I. Nợ ngắn hạn,II. Nợ dài hạn,B. Nguồn vốn chủ sở hữu,I. Vốn chủ sở hữu,II. Nguồn kinh phí và quỹ khác,TỔNG CỘNG NGUỒN VỐN
2005,365710986170,67577647965,94411404749,47347654092,153236088454,3138190910,1014840275831,0,957428225182,0,3449263539,47220564333,6742222777,0,1380551262001,153817772975,117477543832,36340229143,1226733489026,1226733489026,0,1380551262001
2006,566728688950,63335626738,309725087696,40726699697,152092020815,849254004,952396528607,0,889212194029,0,8579435510,48531072165,6073826903,0,1519125217557,99866804634,65540762876,34326041758,1419258412923,1419258412923,0,1519125217557
2007,758881822879,94472039856,376204008298,129898427196,155888358512,2418989017,956767021792,0,824934173610,0,5562427040,117973812464,8296608678,0,1715648844671,105069384776,72091789276,32977595500,1610579459895,1610579459895,0,1715648844671
2008,658962021798,161286009301,108447716588,149657460621,233306763254,6264072034,1107120896304,0,765885994560,0,2579926546,330646613217,8008361981,0,1766082918102,321168133718,289558875633,31609258085,1444914784384,1444914784384,0,1766082918102
2009,576132811032,36210391791,104223964741,133420487547,299757718522,2520248431,1269881108733,100000000000,697536361930,0,51841039553,404034975773,16468731477,0,1846013919765,197680726132,169161707842,28519018290,1648333193633,1648333193633,0,1846013919765
2010,839270167470,126499741314,140250938937,274224373622,291790981851,6504131746,1117611903596,100000000000,626172194675,0,54149208747,332020945644,5269554530,0,1956882071066,167279415106,140984372606,26295042500,1789602655960,1789602655960,0,1956882071066
2011,1010219149621,88725909901,126377076201,511999070480,280342522032,2774571007,1305204660799,100000000000,616066742331,0,36829486105,545437791044,6870641319,0,2315423810420,528794278545,504287005545,24507273000,1786629531875,1786629531875,0,2315423810420
2012,1421289426760,110669897291,202458604234,729502883593,339388288019,39269753623,1213104199105,54686136164,582709398004,0,62870988100,499582134384,13255542453,0,2634393625865,938635369571,889469256095,49166113476,1695758256294,1695758256294,0,2634393625865
2013,1796911455438,277785657209,118541861042,1116751309834,230951775462,52880851891,1453139061487,58670084709,578945618118,0,59319464393,748565574194,7638320073,0,3250050516925,1409325905709,1331029026709,78296879000,1840724611216,1840724611216,0,3250050516925
2014,2014969111168,151695804339,178967014352,1039791215653,576399141682,68115935142,1304792536754,58149426368,523954804823,0,108531929899,573231153995,40925221669,0,3319761647922,1517111254960,1460999717960,56111537000,1802650392962,1802650392962,0,3319761647922
2015,3681157173544,658477011498,63008536733,2350848030059,495511977400,113311617854,2589352741410,15309100217,1577649037659,0,262618822195,643527073692,73144026700,17104680947,6270509914954,3823820421963,2911407764494,912412657469,2446689492991,2446689492991,0,6270509914954
2016,4446673016418,462261426027,127106549058,2741491270968,924803678667,191010091698,2803029322588,247934429660,1608521604933,0,43835603529,838858430221,46941230227,16938024018,7249702339006,4305928624889,2992075873591,1313852751298,2943773714117,2943804383602,-30669485,7249702339006
2017,9519097440343,44067792675,338521586185,5594722641602,2589756660809,549129359072,8333912753502,630128691404,4729939807557,138506884358,197844515862,723646457257,1701434293082,265925862707,17853010193845,10717361610361,7470242607874,3247119002487,7135648583484,7135648583484,0,17853
2018,9463527664700,745200553580,861269124464,4747170305427,2700230133361,409657547868,7257876064424,492523303656,4497130412671,176741883845,197844515862,297623673559,1435542671885,160469602946,16721403729124,10636710595145,8060468949921,2576241645224,6084693133979,6084286433464,406700515,16721403729124
2019,9647290143764,562948064929,842822731840,5507244073308,2365940598479,368334675208,7585998969235,151130203735,4220315105894,375413936482,384730737991,1036979964636,1280303912485,137125108012,17233289112999,9631620268132,7789927508060,1841692760072,7601668844867,7601211976264,456868603,17233289112999
2020,10248237174933,980270182736,1525093233604,5276717222963,2121467126844,344689408786,8048411027991,109945591638,4127361724904,584028686362,423721296811,1384680414849,1294963298340,123710015087,18296648202924,10376314961074,7968243126368,2408071834706,7920333241850,7920282879987,50361863,18296648202924
2021,15019928021130,2173837345095,1902896281973,7827149281209,3005821122777,110223990076,8480019435346,213217537526,4397345338436,585428167848,321077392944,1606276436792,1229158260354,127516301446,23499947456476,14058375653422,10576657944569,3481717708853,9441571803054,9440230180492,1341622562,23499947456476
2022,18697322495516,2509137282635,2229074283339,9106231947931,4699949629095,152929352516,10343903608757,618323191952,4349758469834,578786647752,374092878749,3035562378925,1282828201171,104551840374,29041226104273,18864048505746,16227008582331,2637039923415,10177177598527,10177061901764,115696763,29041226104273
2023,24204388477531,4436647362107,2836362988292,13330916043688,3464749872544,135712210900,9932827792074,508301688354,3996472717541,572368031637,497245135094,3014620224426,1262232615716,81587379306,34137216269605,23037024024067,20043450932384,2993573091683,11100192245538,11100298506906,-106261368,34137216269605
