,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,- Khấu hao TSCĐ,- Các khoản dự phòng,- Lợi nhuận thuần từ đầu tư vào công ty liên kết,- Xóa sổ tài sản cố định (thuần),- Lãi lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,- Lãi lỗ từ thanh lý TSCĐ,- Lãi lỗ từ hoạt động đầu tư,- Lãi tiền gửi,- Thu nhập lãi,- Chi phí lãi vay,- Các khoản chi trực tiếp từ lợi nhuận,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,- Tăng giảm các khoản phải thu,- Tăng giảm hàng tồn kho,- Tăng giảm các khoản phải trả (Không kể lãi vay phải trả thuế thu nhập doanh nghiệp phải nộp),- Tăng giảm chi phí trả trước,- Tăng giảm tài sản ngắn hạn khác,- Tiền lãi vay phải trả,- Thuế thu nhập doanh nghiệp đã nộp,- Tiền thu khác từ hoạt động kinh doanh,- Tiền chi khác từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Tiền chi để mua sắm xây dựng TSCĐ và các tài sản dài hạn khác,2. Tiền thu từ thanh lý nhượng bán TSCĐ và các tài sản dài hạn khác,3. Tiền chi cho vay mua các công cụ nợ của đơn vị khác,4. Tiền thu hồi cho vay bán lại các công cụ nợ của các đơn vị khác,5. Đầu tư góp vốn vào công ty liên doanh liên kết,6. Chi đầu tư ngắn hạn,7. Tiền chi đầu tư góp vốn vào đơn vị khác,8. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,9. Lãi tiền gửi đã thu,10. Tiền thu lãi cho vay cổ tức và lợi nhuận được chia,11. Tiền chi mua lại phần vốn góp của các cổ đông thiểu số,Lưu chuyển tiền thuần từ hoạt động đầu tư,1. Tiền thu từ phát hành cổ phiếu nhận vốn góp của chủ sở hữu,2. Tiền chi trả vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,3. Tiền vay ngắn hạn dài hạn nhận được,4. Tiền chi trả nợ gốc vay,5. Tiền chi trả nợ thuê tài chính,6. Tiền chi khác từ hoạt động tài chính,7. Tiền chi trả từ cổ phần hóa,8. Cổ tức lợi nhuận đã trả cho chủ sở hữu,9. Vốn góp của các cổ đông thiểu số vào các công ty con,10. Chi tiêu quỹ phúc lợi xã hội,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
2005,120961010436,77986541479,75352382245,2231383908,0,0,0,0,-7330233731,0,0,7733009057,0,198947551915,-10093920009,54409036463,47627626158,9943358639,0,-8051728942,0,0,0,292781924224,-5135410293,362357143,-152027431427,67988113922,0,0,-700000000,0,0,6547868616,0,-82964502039,0,0,28600000000,-178793171000,0,0,0,0,0,0,-150193171000,59624251185,7953396780,0,67577647965
2006,192524923897,50170725274,70941516709,-2002538186,0,0,0,0,-20365390423,0,0,1597137174,0,242695649171,12615818109,1053971165,-43465778991,551439211,0,-1627589446,0,0,0,211823509219,-9528879637,80952380,-338231520056,123301770824,0,0,0,0,0,16698488043,0,-207679188446,0,0,0,-8386342000,0,0,0,0,0,0,-8386342000,-4242021227,67577647965,0,63335626738
2007,191321459895,25908634573,70137779841,-1798273718,0,0,0,0,-43910003223,0,0,1479131673,0,217230094468,-76375940533,-3796337697,603533414,-1895777957,0,-1493742945,0,48096645,-127767694,134192157701,-2969889827,430611429,-478404820227,419071778396,0,0,-75000000000,0,0,29202917646,0,-107669402583,148978600000,-148978600000,11000000000,-6386342000,0,0,0,0,0,0,4613658000,31136413118,63335626738,0,94472039856
2008,84351446855,67780141049,71027474137,51808859048,0,0,0,0,-57010012078,0,0,1953819942,0,152131587904,-23573468447,-77418404742,196754919240,-130763654,0,-1953819942,-5322530253,3500000000,-8674926411,235312593695,-9229130982,302000000,-1248758019835,1535616014100,0,0,-280700000000,0,0,54445348467,0,51676211750,0,0,183000000000,-162386342000,0,0,0,-240788494000,0,0,-220174836000,66813969445,94472039856,0,161286009301
2009,225900714367,15786325039,72287440151,-29766779279,0,0,0,0,-34440511156,0,0,7706175323,0,241687039406,-22810043533,-66450955268,-188379916436,-7616712145,0,-7689960977,-3655797939,27602750,-676439897,-55565184039,-17972272054,142682538,-486020734073,354984948662,0,0,0,0,0,29962009744,0,-118903365183,0,-5540477288,343648696000,-288386342000,0,0,0,-328945000,0,0,49392931712,-125075617510,161286009301,0,36210391791
2010,370359620058,42530617984,72761739575,4269799991,0,0,0,0,-54467222540,0,0,19966300958,0,412890238042,-32522870141,7966736671,54659098644,11168065537,0,-20061489849,-25723383056,1600000,-14855399044,393522596804,-4677301904,1234786704,-875934724421,756148759713,0,0,0,68446519886,0,25379527741,0,-29402432281,0,0,376340920400,-466375958400,0,0,0,-183795777000,0,0,-273830815000,90289349523,36210391791,0,126499741314
2011,562746348864,52999173990,78092106887,30634869041,0,0,0,0,-104393881421,0,0,48666079483,0,615745522854,-163747661421,15466978581,42845130555,78176030,0,-47915604045,-31327104828,84731460185,-102264592305,413612305606,-52276147085,2307041263,-684044512047,655261543234,0,0,-266475831432,59714196130,0,30458480839,0,-255055229098,0,-133854735607,1403328314942,-1080297963256,0,0,0,-385506524000,0,0,-196330907921,-37773831413,126499741314,0,88725909901
2012,422271043925,-54991099847,81280057510,101701159171,0,0,0,-603892001,-185554905691,-102223937619,-24935208400,75345627183,0,367279944078,-260411056188,-59045765987,6197095553,4034821963,0,-79374443157,-61609058012,0,-29334186634,-112262648384,-89831897139,5796676910,-202500000000,188406644027,0,0,-154996215000,374750000000,0,45169624954,0,166794833752,30450000000,-33231840138,2250038686148,-1832395032388,0,0,0,-447450011600,0,0,-32588197978,21943987390,88725909901,0,110669897291
2013,275492802965,-28617653728,84425873301,-53436260894,0,1120024605,0,-2165879938,-58625141316,-64810450331,-30853567400,95727748245,0,246875149237,-342439075030,108436512557,139719650565,-10307550439,0,-95544143103,-29795877960,-23603309369,0,-6658643542,-79836990290,3015896814,-160000000000,325652791317,0,0,-241400937400,268816700,0,52788213626,0,-99512209233,161073854000,0,3111971563281,-2795340616588,0,0,0,-204418188000,0,0,273286612693,167115759918,110669897291,0,277785657209
2014,151760824020,26417944422,86033975557,-11611385894,-25920129686,1126935085,0,-1115909091,-28209791454,-69795919080,-16151987002,92062155987,0,178178768442,86391391558,-345447366220,-109143660513,-7282624475,0,-93054873079,-36724716513,-1779336744,-13217636571,-342080054115,-112457704723,124068581818,-533000000000,310000750000,0,0,-33923909246,239036727289,0,80760040958,0,74484486096,0,0,3256801486215,-3042451821291,0,0,0,-72843949775,0,0,141505715149,-126089852870,277785657209,0,151695804339
2015,305229070109,163487449353,129465040986,25025024921,-10619804941,0,28663377558,-1875068849,-50711800801,-54195751564,-3680077469,101416509512,0,468716519462,-938217408638,277288244268,394592631211,-67747772302,0,-81944623187,-5936258970,7615684755,-13734519435,40632497164,-418978673248,10392680408,-155622546146,181271903516,0,0,-111155763064,0,0,30263338205,0,-463829060329,24286017941,0,4360177097063,-3528010984185,0,0,0,-5073054965,0,0,851379075854,428182512689,151695804339,460290000,658477011498
2016,324477616765,327590775280,188712692409,-5707868751,0,0,6958367330,0,-68189516648,-12988283343,-5270322468,224075706751,0,652068392045,-219448062267,-457888437463,-255729621332,-51374593671,-55498250015,-189775935743,-40479392178,181835958,-43959229365,-661903294031,-143698481462,1888860608,-713935655960,533742312341,0,1223104587,-571937186215,463045368346,0,84286315980,0,-345385361775,1107097422535,0,5622035328578,-5733665854761,-131673127335,0,0,-109647975,0,0,863684121042,-143604534764,607117396668,-200988,462261426027
2017,327335050073,-43847730846,0,0,0,0,0,0,-427873239451,0,0,384025508605,0,621580556078,428395078191,1685995639895,-80507715303,-436120675573,-386626153426,-241150864774,-134316012114,0,-37836715036,-1589283851,-233452476381,7239716473,-297550000000,461250000000,0,0,0,134748041555,0,48042452806,0,120277734453,0,0,6244971473637,-8098344306076,-16341288417,0,0,0,0,0,-1869714120856,244000423037,699585577995,373735994,446967192675
2019,475567009045,-82097463031,413715931347,-53637763711,0,0,-9007589484,0,-1105636229879,0,0,672468188696,0,393469546014,2163270838498,339245554099,-512963240915,210499761341,-386626153426,-724045738984,-134316012114,0,-37836715036,1318129356617,-1249053707243,-540579903367,-337622093700,522839753646,0,0,-1829189795018,1692821610765,0,183462123898,0,-1557322011019,1785905320066,0,14224596810321,-15477736779472,-24633906081,0,0,-406635386586,0,0,101496058248,-137696596154,699585577995,1059083088,562948064929
2020,691660317954,617167175286,419113939909,24601562533,0,0,14018346449,0,-450696213214,0,0,610129539609,0,1308827493240,-223479680202,252423413408,-259498343027,45204206937,-166876941727,-705365066060,-67463160588,0,-50788823714,132983098267,-806873519356,162871187341,-204342113180,-237778648205,0,0,17712330853,725506725102,0,113302804208,0,-229601233237,304175950000,0,17369042015392,-16750520527490,-80286569493,0,0,-319707773875,0,0,522703094534,426084959564,562948064929,1531327113,980270182736
