,1. Tổng doanh thu hoạt động kinh doanh,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần (1)-(2),4. Giá vốn hàng bán,5. Lợi nhuận gộp (3)-(4),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính,-Trong đó: Chi phí lãi vay,8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác (12)-(13),15. Tổng lợi nhuận kế toán trước thuế (11)+(14),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Chi phí thuế TNDN (16)+(17),19. Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),20. Lợi nhuận sau thuế của cổ đông không kiểm soát,21. Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20)
2005,629956851329,166102168,629790749161,488682576416,141108172745,7481677922,7781346758,7733009057,0,10671010310,11071541979,119065951620,2121911482,226852666,1895058816,120961010436,0,0,0,120961010436,0,120961010436
2006,680012205921,152030071,679860175850,483058063252,196802112598,20438256061,1664103925,1597137174,0,10066039692,12888798312,192621426730,436423023,532925856,-96502833,192524923897,0,0,0,192524923897,0,192524923897
2008,563322793195,517474210,562805318985,447550622593,115254696392,56995384642,53487873375,1953819942,0,15295197505,19488786790,83978223364,606579766,233356275,373223491,84351446855,2827289763,0,2827289763,81524157092,0,81524157092
2009,771806590806,1189456406,770617134400,567746371725,202870762675,31829636322,-21476543791,7706175323,0,14677134341,18771843554,222727964893,4851018023,1678268549,3172749474,225900714367,15883586260,0,15883586260,210017128107,0,210017128107
2010,1105796529066,1544616185,1104251912881,720465646112,383786266769,54492212003,25295081168,19966300958,0,16875766312,26214431140,369893200152,1437980296,971560390,466419906,370359620058,25127528863,0,25127528863,345232091195,0,345232091195
2011,2052983452900,2677734927,2050305717973,1446936820298,603368897675,128915675089,107836431875,48666079483,0,25351501888,38387005167,560709633834,7492907226,5456192196,2036715030,562746348864,23830987546,-6732593019,17098394527,545647954337,0,545647954337
2012,1962751919403,1923036716,1960828882687,1590813929308,370014953379,313208759969,171775061039,75345627183,0,40496493149,56957642859,413994516301,20142772720,11866245096,8276527624,422271043925,51380336886,757256230,52137593116,370133450809,0,370133450809
2013,2222417882389,2377648307,2220040234082,1939058966926,280981267156,154653120260,52114578115,95727748245,0,48587602597,64476689490,270455517214,9036711042,3999425291,5037285751,275492802965,37297591303,-811455324,36486135979,239006666986,0,239006666986
2014,1962490256392,3899047034,1958591209358,1755869231304,202721978054,115405355054,91102841187,92062155987,34875525585,57886082252,57641540107,146372395147,11346418913,5957990040,5388428873,151760824020,26116217991,5034464817,31150682808,120610141212,56947540,120553193672
2015,2861820846470,11578658997,2850242187473,2407120909102,443121278371,138822031979,154713893612,83761475506,45032224106,82848436223,87591319598,301821885023,17646354125,11334621382,6311732743,308133617766,20744624497,2370881580,23115506077,285018111689,880188326,284137923363
2016,2102793248844,773971495,2102019277349,1812806434189,289212843160,102737124404,134416734965,119055925731,32331814809,29661807223,67555924295,192647315890,9291952066,6248448401,3043503665,195690819555,18867610419,856487791,19724098210,175966721345,-546616166,176513337511
2017,7903796103331,16163477188,7887632626143,6954634203077,932998423066,559554939654,568270694047,524158847466,56516182255,207552544432,298650586171,474595720325,48643675174,24185008353,24458666821,499054387146,78729463236,-2608723815,76120739421,422933647725,4403921045,418529726680
2018,10646872411836,92902133613,10553970278223,9572068091212,981902187011,750782338949,794488465516,674131400133,7193584106,337128295582,407510032626,200751316342,402313793004,184170797464,218142995540,418894311882,148284812400,-19041993494,129242818906,289651492976,-6632377059,296283870035
2019,11377826779640,32247957938,11345578821702,10396951085162,948627736540,1224962792338,815976649126,672468188696,-1290247124,414038252562,477173141820,465112238246,39922131017,29467360218,10454770799,475567009045,151466268825,15374432915,166840701740,308726307305,-13170985576,321897292881
2020,14250472101945,40646117886,14209825984059,12213867751524,1995958232535,376044793274,837930283950,610129539609,38558053655,538395338316,350127602807,684107854391,51706621275,44154157715,7552463560,691660317951,132732484947,-4950322765,127782162182,563878155769,13059558689,550818597080
2021,9322634498146,21131699691,9301502798455,8136877501960,1164625296495,673277566291,467619537191,380817476589,8098471757,330968663033,318758735394,728654398925,31436682461,180135685304,-148699002843,579955396082,144649572626,-5443953327,139205619299,440749776783,-15710689520,456460466303
2022,21304458889740,51552994070,21252905895670,18910614719357,2342291176313,955426437850,1185032628343,1006593100761,20001579153,643631839161,606182710552,882872015260,125890052009,104202315319,21687736690,904559751950,95356047866,-8418849565,86937198301,817622553649,63615997878,785856860881
2023,25970411738262,76852410533,25893559327729,22926850109650,2966709218079,1398579806367,2215220463302,1821447676291,-11415463595,693263828012,677338761199,768050508338,60542831019,64414554175,-3871723156,764178785182,156884305713,-2878298110,154006007603,610172777579,56820750858,553352026721
