,A. Tài sản lưu động và đầu tư ngắn hạn,I. Tiền và các khoản tương đương tiền,II. Các khoản đầu tư tài chính ngắn hạn,III. Các khoản phải thu ngắn hạn,IV. Tổng hàng tồn kho,V. Tài sản ngắn hạn khác,B. Tài sản cố định và đầu tư dài hạn,I. Các khoản phải thu dài hạn,II. Tài sản cố định,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,V. Các khoản đầu tư tài chính dài hạn,VI. Tổng tài sản dài hạn khác,VII. Lợi thế thương mại,TỔNG CỘNG TÀI SẢN,A. Nợ phải trả,I. Nợ ngắn hạn,II. Nợ dài hạn,B. Nguồn vốn chủ sở hữu,I. Vốn chủ sở hữu,II. Nguồn kinh phí và quỹ khác,TỔNG CỘNG NGUỒN VỐN
2006,151477517929,9167779396,0,106045829418,35803772473,460136642,84333868697,0,58400688907,0,16173173790,9658700000,101306000,0,235811386626,128351776855,113900879267,14450897588,107459609771,107459609771,0,235811386626
2007,380448756575,20898051546,0,251891941783,92350154541,15308608705,296027544734,0,94350585969,1778449364,196395145965,10000000,3493363436,0,676476301309,272112706069,211573800104,60538905965,404363595240,404363595240,0,676476301309
2008,697634589303,20826093565,410000000,321161211685,333749986365,21487297688,517535006285,0,486441635564,0,13137499842,10000000,17945870879,0,1215169595588,802984221217,589996418467,212987802750,412185374371,412185374371,0,1215169595588
2009,914828473655,209967674177,15300000000,333781035976,334239891853,21539871649,601428190243,0,549749371929,0,19390638609,10000000,32278179705,0,1516256663898,839364459048,628513866675,210850592373,676892204850,676892204850,0,1516256663898
2010,1180827088551,126419394330,37562972164,345314077746,642317455278,29213189033,641259325478,0,575907548970,0,12890413782,0,52461362726,0,1822086414029,836972067754,746457409480,90514658274,985114346275,985114346275,0,1822086414029
2011,1758324324568,329424956877,219548828,563618091194,823256429259,41805298410,649295263719,0,551221502829,0,14577571890,0,83496189000,0,2407619588287,1100805436737,1039047348989,61758087748,1306814151550,1306814151550,0,2407619588287
2012,2281972775048,35542358549,738217050780,448010688289,982200197516,78002479914,791585564649,0,604175238627,0,107454609828,9200574651,70755141543,0,3073558339697,1668512424780,1668512424780,0,1405045914917,1405045914917,0,3073558339697
2013,1660675423471,73328912771,240977578,416902748935,1097463537707,72739246480,888941372566,0,691487021490,0,115553583697,7697000726,74203766653,0,2549616796037,993334622290,901954660554,91379961736,1556282173747,1556282173747,0,2549616796037
2014,3118825508618,89237664563,802451008141,670183505921,1454624584803,102328745190,1373138678896,0,1035949139647,0,134252806600,2045847888,110350163629,90540721132,4491964187514,2605206164864,2533902252388,71303912476,1886758022650,1886758022650,0,4491964187514
2015,2847043514890,296092552290,251008141,1187504442185,1299754002665,63441509609,1509919445197,3512575108,1067275384111,0,245627838605,12644137246,99766516418,81092993709,4356962960087,2267633647956,1818696711591,448936936365,2089329312131,2089329312131,0,4356962960087
2016,2748388388483,164635864246,169275191322,1150325090100,1213755638148,50396604667,1702484557203,1167461625,1323138566722,0,176729928029,17275069978,112528264563,71645266286,4450872945686,2057759301910,1517029641715,540729660195,2393113643776,2393113643776,0,4450872945686
2017,3004110967925,45344991423,372822249924,1329416952221,1202370830996,54155943361,2038478534429,1456379625,1565828947902,0,224285956057,1297729978,132122631074,113486889793,5042589502354,2099973450522,1670508724200,429464726322,2942616051832,2942616051832,0,5042589502354
2018,4140347276090,43241847762,607749887456,2001762641975,1385654133209,101938765688,2158165179189,1563796625,1397238799687,0,258754816482,389355091933,65662140302,45590534160,6298512455279,2283330774315,2250750376315,32580398000,4015181680964,4015181680964,0,6298512455279
2019,4611361279524,86421954986,1491779322456,1516143620145,1413752203473,103264178464,2001053018640,5884206875,1504402862517,0,335185361275,1414429978,114274440605,39891717390,6612414298164,1735133858202,1715663613251,19470244951,4877280439962,4877280439962,0,6612414298164
2020,4735480614844,40754357119,1373509116682,1689197986932,1508248100907,123771053204,2466381698344,1409400875,1808480650835,0,384173639519,62129308148,175995798347,34192900620,7201862313188,2026131280738,1941003567698,85127713040,5175731032450,5175731032450,0,7201862313188
2021,5542588932391,195219000716,1271745955341,2132101053721,1793087467337,150435455276,3195038089541,2367400875,2066688835574,0,561046843032,66219741730,203008929829,295706338501,8737627021932,2853677750684,2680066010105,173611740579,5883949271248,5883949271248,0,8737627021932
2022,7640362198885,553169450129,1767893738828,2329996350480,2817541576840,171761082608,3942927504034,2854856075,2823506405053,0,565780626128,66442257667,223753700277,260589658834,11583289702919,3888901503932,3698134021801,190767482131,7694388198987,7694388198987,0,11583289702919
2023,7888156657832,232805453082,2068507997500,1577896986414,3763498912609,245447308227,4054392813318,2871356075,3383339452872,0,159945648828,67242951618,215520424758,225472979167,11942549471150,3351493695011,3232914913265,118578781746,8591055776139,8591055776139,0,11942549471150
