,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,- Khấu hao TSCĐ,- Các khoản dự phòng,- Lợi nhuận thuần từ đầu tư vào công ty liên kết,- Xóa sổ tài sản cố định (thuần),- Lãi lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,- Lãi lỗ từ thanh lý TSCĐ,- Lãi lỗ từ hoạt động đầu tư,- Lãi tiền gửi,- Thu nhập lãi,- Chi phí lãi vay,- Các khoản chi trực tiếp từ lợi nhuận,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,- Tăng giảm các khoản phải thu,- Tăng giảm hàng tồn kho,- Tăng giảm các khoản phải trả (Không kể lãi vay phải trả thuế thu nhập doanh nghiệp phải nộp),- Tăng giảm chi phí trả trước,- Tăng giảm tài sản ngắn hạn khác,- Tiền lãi vay phải trả,- Thuế thu nhập doanh nghiệp đã nộp,- Tiền thu khác từ hoạt động kinh doanh,- Tiền chi khác từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Tiền chi để mua sắm xây dựng TSCĐ và các tài sản dài hạn khác,2. Tiền thu từ thanh lý nhượng bán TSCĐ và các tài sản dài hạn khác,3. Tiền chi cho vay mua các công cụ nợ của đơn vị khác,4. Tiền thu hồi cho vay bán lại các công cụ nợ của các đơn vị khác,5. Đầu tư góp vốn vào công ty liên doanh liên kết,6. Chi đầu tư ngắn hạn,7. Tiền chi đầu tư góp vốn vào đơn vị khác,8. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,9. Lãi tiền gửi đã thu,10. Tiền thu lãi cho vay cổ tức và lợi nhuận được chia,11. Tiền chi mua lại phần vốn góp của các cổ đông thiểu số,Lưu chuyển tiền thuần từ hoạt động đầu tư,1. Tiền thu từ phát hành cổ phiếu nhận vốn góp của chủ sở hữu,2. Tiền chi trả vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,3. Tiền vay ngắn hạn dài hạn nhận được,4. Tiền chi trả nợ gốc vay,5. Tiền chi trả nợ thuê tài chính,6. Tiền chi khác từ hoạt động tài chính,7. Tiền chi trả từ cổ phần hóa,8. Cổ tức lợi nhuận đã trả cho chủ sở hữu,9. Vốn góp của các cổ đông thiểu số vào các công ty con,10. Chi tiêu quỹ phúc lợi xã hội,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
2007,111195532759,9239232461,10388735216,0,0,0,-705254005,0,-657000000,0,0,212751250,0,120434765220,-93753890249,-53057919257,37905230372,58794265,0,-212751250,-13050000000,230000000,-5575868610,-7021639509,-188293796377,0,0,0,0,0,0,0,0,657000000,0,-187636796377,68268543290,0,316192003235,-193678308833,0,0,0,0,0,0,190782237692,-3876198194,24320448574,453801166,20898051546
2008,84658195025,104938166074,28730342604,22631511985,0,0,6176617737,0,0,0,0,47399693748,0,189596361099,-72715408803,-264031343809,39663296748,-11887104516,0,-45019932916,-17840804197,3825344000,-2709723944,-181119316338,-250673811943,0,-410000000,0,0,0,0,0,0,0,0,-251083811943,0,0,2361299407770,-1848323730219,0,0,0,-80930250000,0,0,432045427551,-157700730,20898051546,85742749,20826093565
2009,240322995168,123310412293,64519745487,-1809644569,0,0,13332794616,0,-1790099821,0,0,49057616580,0,363633407461,-40377232449,6225568009,46555428778,-3505671121,0,-50990324832,-16208085454,0,-6970487441,298362602951,-96726024641,478069372,-162804060000,147914060000,0,0,0,0,0,5547435860,0,-105590519409,118128000000,0,2162598741514,-2238401310252,0,0,0,-45013500000,0,0,-2688068738,190084014804,20826093565,-942434192,209967674177
2010,272880989883,115115698723,73685227992,-1703155040,0,0,8982681278,0,-10621338599,0,0,44772283092,0,387996688606,-42762670800,-302343541741,163424043657,-7432997671,0,-45219335672,-34972830296,157646000,-8603706717,110243295366,-109751050341,160454545,-34697256415,12434284251,0,0,0,10000000,0,8975526226,0,-122868041734,126960000000,-32725310618,1193093765419,0,0,0,0,-25850000,0,0,-71893656757,-84518403125,209967674177,970123278,126419394330
2011,480094262556,168834027431,83403731998,28931219927,0,0,5503447698,0,-19436697147,0,0,70432324955,0,648928289987,-221919329809,-196708620121,25788277884,-27689476737,0,-69562038493,-60328667862,1259150260,-21232705467,78534879642,-121397054282,13383013868,-37127931302,74484730350,0,0,0,0,0,19584085491,0,-51073155875,0,-5487904737,2362514113407,-2110674323676,0,0,0,-68915736000,0,0,177436148994,204897872761,126419394330,-1892310214,329424956877
2012,269636286606,118480282311,90231675984,19465373945,0,0,-9817814,0,-51237020284,0,0,60030070480,0,388116568917,100028533055,-176860659930,6959550648,-6749211001,0,-59086830316,-59024263310,2000000000,-15553311379,179830376684,-221422678451,0,-1171500000000,425201033500,0,0,0,0,0,34028686951,0,-933692958000,0,0,3856862724588,-3294445021100,0,0,0,-102437720500,0,0,459979982988,-293882598328,329424956877,0,35542358549
2013,227546872221,107727013506,110824016997,-1793826454,0,0,2897171,0,-78863053937,0,0,77556979729,0,335273885727,27594604391,-107560055218,-53056995607,-6458922724,0,-79132794650,-46316451465,2345845654,-11024837358,61664278750,-197330850192,447160455,-200023926798,940540794196,0,0,0,0,0,95368266329,0,639001443990,0,0,5626568523538,-6285157765883,0,0,0,-4507494000,0,0,-663096736345,37568986395,35542358549,217567827,73328912771
2014,587062065970,-51124886338,120830567381,-4584173248,0,0,4639431082,0,-210448590756,0,0,38437879203,0,535937179632,-114481540104,-216611547401,31677833432,-1961902612,0,-39068352211,-125850606493,8435319176,-14489454497,63586928922,-361515858300,3027265486,-1132210030563,331022158190,0,0,-356600000000,404022941627,0,14840314215,0,-1097413209345,135765000000,0,5957019471672,-4875020537130,0,0,0,-168389466675,0,0,1049374467867,15548187444,73328912771,360564348,89237664563
2015,386668353931,146805754889,144362412419,16495622411,0,0,0,0,-50893736983,0,0,36841457042,0,537962480978,-74601809419,-213579935197,44605675314,15738969058,0,-42641806967,-39429345543,0,-82520437379,145533790845,-348179604430,12993604862,-180000000000,982200000000,0,0,-47807121404,0,0,61263924934,0,480470803962,0,0,8772902300085,-9099996672137,0,0,0,-92371404075,0,0,-419465776127,206538818680,89237664563,316069047,296092552290
2016,672433464833,213716542079,146838007608,38755585507,0,0,-7166433668,0,-32856101745,0,0,68145484377,0,886150006912,50598880248,39037234665,113408969446,-1459967833,0,-76341319125,-32636132227,0,-23177087000,955580585086,-356421120982,7351033191,-980115644150,813288064202,0,0,-8012830000,28503089795,0,30460764153,0,-464946643791,0,-3015672745,4760993959668,-5149278756450,0,0,0,-230660188250,0,0,-621960657777,-131326716482,296092552290,-129971562,164635864246
2017,722780593934,150837113536,198846054060,-96363730572,0,0,6972390435,0,-30058532610,0,0,71440932223,0,873617707470,-176142829257,74353409618,-108953221553,11247068647,0,-73934851268,-115360235637,0,-40918089678,443908958342,-242641007176,90909091,-600007058602,396460000000,0,0,-182088674634,19172808000,0,15581123776,0,-593431899545,0,0,4760649651955,-4734043719934,0,0,0,-299250,0,0,26605632771,-119363700232,164635864246,72827409,45344991423
2018,1687562124884,274130530749,156301707548,96329303996,0,7887799279,0,0,-42374234602,0,0,55985954528,0,1961692655633,-1293522710875,-652644352130,843749914400,-12220952695,0,-54708108455,-97800115214,0,-14319100327,680227230337,-714768152175,169488131314,-1777720000000,1542792362468,0,0,-116700000,6085194315,0,72159720416,0,-702079443662,10380718000,0,4932839245502,-4559898419884,0,0,0,-363381375400,0,0,19940168218,-1912045107,45344991423,-191098554,43241847762
2019,1309371320025,-35518441232,165204005292,-39042322478,0,0,-555705304,0,-220657895270,0,0,59533476528,0,1273852878793,648229469821,9433786778,-66864541568,-44938376988,0,-58961146349,-247486607966,0,-24027037274,1489238425247,-377607282176,16989455686,-1971459435000,1087430000000,0,0,0,430453567064,0,70776015095,0,-743417679331,0,-114215880222,4677272193820,-5080694240341,0,0,0,-184987352875,0,0,-702625279618,43195466298,43241847762,-15359074,86421954986
2020,803270315882,140093766355,202679138289,28030675820,0,0,1164868526,0,-130188720427,0,0,38407804147,0,943364082237,-139424643033,-122762425254,-113856023701,-20079209536,-9009562792,38115544744,-164831046503,0,-19773792613,391742923549,-554222328595,3551935166,-2173172650689,2250452419255,0,0,-11000000000,0,0,100157134258,0,-384233490605,2000000000,0,4416695507695,-4108012245026,0,0,0,-363859660800,0,0,-53176398131,-45666965187,86421954986,-632680,40754357119
2021,1279554866093,220289868712,284991616859,-20428214577,0,0,-5244981471,0,-73731037413,0,0,34702485314,0,1499844734805,-331131681549,-219304267294,-270415223042,-18295576479,-70886973689,-33110787630,-204175149713,0,-20628882142,331896193267,-587975469063,4613819545,-1433946864970,1606597000000,0,0,-501668847390,0,0,69818910430,0,-842561451448,0,0,5837256808799,-5171868737552,0,0,0,0,0,0,665388071247,154722813066,40754357119,-258169469,195219000716
2022,2322917662868,740676729667,326932321590,387722851582,0,0,5954816513,0,-77054209632,0,0,97120949614,0,3063594392535,-199768902581,-1264945855830,333538831232,-23207851205,-99422922875,-95288758122,-62980286480,0,-47414785671,1604103861003,-1131261912019,9538016019,-2265170758755,1791847378985,0,0,0,0,0,66595247366,0,-1528452028404,154002380000,0,10279382867571,-9782362195082,0,0,0,-366734364800,0,0,284288687689,359940520288,195219000716,-1990070875,553169450129
2023,1145028260383,356768982490,402253182629,-14037225222,0,0,-30553815599,0,-134239852408,0,0,133346693090,0,1501797242873,718606666707,-855599830220,-352075031629,19323683891,-1888141799,-132956870630,-315269829637,0,-34921448295,547016441261,-676969024318,4491383168,-3551994500000,3290982798630,0,0,0,0,0,140217977382,0,-793271365138,56675390000,0,11256281203319,-11385487660545,0,0,0,0,0,0,-72531067226,-318785991103,553169450129,-1578005944,232805453082
