,1. Tổng doanh thu hoạt động kinh doanh,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần (1)-(2),4. Giá vốn hàng bán,5. Lợi nhuận gộp (3)-(4),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính,-Trong đó: Chi phí lãi vay,8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác (12)-(13),15. Tổng lợi nhuận kế toán trước thuế (11)+(14),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Chi phí thuế TNDN (16)+(17),19. Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),20. Lợi nhuận sau thuế của cổ đông không kiểm soát,21. Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20)
2006,1516245170191,0,1516245170191,1367578000000,148667170191,1560380956,9272000000,0,0,39990000000,10098000000,90867551147,0,3330365185,-3330365185,87537185962,8920943454,0,8920943454,78616242508,0,78616242508
2008,2442450718095,91190000,2442359528095,2153442679853,288916848242,42031250915,113508218900,47399693748,0,113828183961,18856633111,84755063185,137379570,234247730,-96868160,84658195025,9616586897,-7203648457,2412938440,82245256585,2202565594,80042690991
2009,2785274167595,14271126710,2771003040885,2318805922373,452197118512,54951217933,71729956746,49057616580,0,159219196109,35032152214,241167031376,5048147679,5892183887,-844036208,240322995168,27570711035,4771012040,32341723075,207981272093,14752208587,193229063506
2010,3021654856536,12479934277,3009174922259,2421857449478,587317472781,67838069858,88143238643,44772283092,0,210928260566,86913426339,269170617091,4435838681,725465889,3710372792,272880989883,50540560566,-6235120500,44305440066,228575549817,14540577687,214034972130
2011,4114059871210,10082120795,4103977750415,3379843860523,724133889892,100706640272,112362907329,70432324955,0,176671765955,55803209398,480002647482,15690621480,15599006406,91615074,480094262556,64179718736,2940175717,67119894453,412974368103,18631417568,394342950535
2012,4236484487918,8552492043,4227931995875,3680318008967,547613986908,86205047922,66971393139,60030070480,0,219313324505,85303548346,262230768840,10226004741,2820486975,7405517766,269636286606,36922015839,-29031137,36892984702,232743301904,22293277148,210450024756
2013,5104982308957,9970397459,5095011911498,4491390771560,603621139938,93375830680,90566596204,77556979729,0,247603991011,136205793637,222620589766,14623995133,9697712678,4926282455,227546872221,41637653583,9871308972,51508962555,176037909666,17651998211,158385911455
2014,6300114589793,7665955244,6292448634549,5469173184569,823275449980,238197793288,64703900365,38437879203,0,245140954972,161644877846,589983510085,6516783102,9438227217,-2921444115,587062065970,124375704473,-227133767,124148570706,462913495264,23761433684,439152061580
2015,6527521103629,34130902143,6493390201486,5690815542792,802574658694,166250211441,210038171081,36841457042,0,252576318983,117543470973,388666909098,4260707290,6259262457,-1998555167,386668353931,59566183722,6269483940,65835667662,320832686269,-1725595908,322558282177
2016,7369981598268,66435398702,7303546199566,6236782607392,1066763592174,86738581629,92877246978,68145484377,0,266377952906,114678239962,679568733957,12417051973,19552321097,-7135269124,672433464833,108816514243,-1821285513,106995228730,565438236103,-1299263548,566737499651
2017,8172376252171,20879574064,8151496678107,6979607337425,1171889340682,58396039931,88524689138,71440932223,0,269403201556,141299187674,731058302245,11521085610,19798793921,-8277708311,722780593934,109555628124,8650519699,118206147823,604574446111,-131705105,604706151216
2018,9406877067192,135547982698,9271329084494,7231966110890,2039362973604,137003001788,167116436972,55985954528,78751826955,210445968727,143565499402,1733989897246,3162655021,49590427383,-46427772362,1687562124884,252063378043,-6599729522,245463648521,1442098476363,-83213949,1442181690312
2019,7895016885874,27872549961,7867144335913,6334061978625,1533082357288,251192603804,89669571442,59533476528,14106613236,251818635593,148800093568,1308093273725,11848078947,10570032647,1278046300,1309371320025,139977904705,-9729109900,130248794805,1179122525220,0,1179122525220
2020,7165405539359,128225882061,7037179657298,6022405771176,1014773886122,227243906746,101236678342,38407804147,-285121830,171201249991,148133984196,821160758509,12202915269,30093357896,-17890442627,803270315882,81540143138,2431401995,83971545133,719298770749,-9599430,719308370179
2021,9060328594014,6079676255,9054248917759,7298428758127,1755820159632,195334519754,106722262272,34702485314,-437566418,343526224004,213089480647,1287379146045,19082084079,26906364031,-7824279952,1279554866093,178086534812,-5085626416,173000908396,1106553957697,7594593459,1098959364238
2022,13463916114123,233115927204,13230800186919,10254865119471,2975935067448,434061627900,369571269616,97120949614,222515937,349389329477,372098136496,2319160475696,33544169927,29786982755,3757187172,2322917662868,303587294874,6410482836,309997777710,2012919885158,37687543918,1975232341240
2023,10075768816568,42752364474,10033016452094,8540191778235,1492824673859,377047027503,228560765049,133346693090,800693951,216294674914,307655327848,1118161627502,50022102680,23155469799,26866632881,1145028260383,169226702958,2044716118,171271419076,973756841307,54565808342,919191032965
