,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,- Khấu hao TSCĐ,- Các khoản dự phòng,- Lợi nhuận thuần từ đầu tư vào công ty liên kết,- Xóa sổ tài sản cố định (thuần),- Lãi lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,- Lãi lỗ từ thanh lý TSCĐ,- Lãi lỗ từ hoạt động đầu tư,- Lãi tiền gửi,- Thu nhập lãi,- Chi phí lãi vay,- Các khoản chi trực tiếp từ lợi nhuận,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,- Tăng giảm các khoản phải thu,- Tăng giảm hàng tồn kho,- Tăng giảm các khoản phải trả (Không kể lãi vay phải trả thuế thu nhập doanh nghiệp phải nộp),- Tăng giảm chi phí trả trước,- Tăng giảm tài sản ngắn hạn khác,- Tiền lãi vay phải trả,- Thuế thu nhập doanh nghiệp đã nộp,- Tiền thu khác từ hoạt động kinh doanh,- Tiền chi khác từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Tiền chi để mua sắm xây dựng TSCĐ và các tài sản dài hạn khác,2. Tiền thu từ thanh lý nhượng bán TSCĐ và các tài sản dài hạn khác,3. Tiền chi cho vay mua các công cụ nợ của đơn vị khác,4. Tiền thu hồi cho vay bán lại các công cụ nợ của các đơn vị khác,5. Đầu tư góp vốn vào công ty liên doanh liên kết,6. Chi đầu tư ngắn hạn,7. Tiền chi đầu tư góp vốn vào đơn vị khác,8. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,9. Lãi tiền gửi đã thu,10. Tiền thu lãi cho vay cổ tức và lợi nhuận được chia,11. Tiền chi mua lại phần vốn góp của các cổ đông thiểu số,Lưu chuyển tiền thuần từ hoạt động đầu tư,1. Tiền thu từ phát hành cổ phiếu nhận vốn góp của chủ sở hữu,2. Tiền chi trả vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,3. Tiền vay ngắn hạn dài hạn nhận được,4. Tiền chi trả nợ gốc vay,5. Tiền chi trả nợ thuê tài chính,6. Tiền chi khác từ hoạt động tài chính,7. Tiền chi trả từ cổ phần hóa,8. Cổ tức lợi nhuận đã trả cho chủ sở hữu,9. Vốn góp của các cổ đông thiểu số vào các công ty con,10. Chi tiêu quỹ phúc lợi xã hội,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
2005,68524502079,27918265868,23592429858,0,0,0,0,0,0,0,0,4325836010,0,96442767947,24032092346,-89969621,-42663093925,-8075460163,0,-6233118068,0,0,0,63413218516,-30483374764,0,0,0,0,0,-27751000000,34679107090,0,0,0,-23555267674,23791537270,0,29676961039,-163820763349,0,0,0,0,0,0,-110352265040,-70494314198,73835131497,0,3340817299
2006,347225848526,-236149391872,15599259271,0,0,0,0,0,-245611477533,0,-6137173610,0,0,111076456654,-5394235204,12225493,-92955077964,1715784119,0,0,-3453424232,271307663,0,11273036529,-7417150508,396681496988,-244742000000,0,0,0,-2653833000,0,0,2953197210,0,144821710690,0,0,0,0,0,0,0,-63034249564,0,0,-63034249564,93060497655,3340817299,0,96401314954
2007,333222118339,-223165239073,16839995435,0,0,0,0,0,-212282139045,0,-48934404113,21211308650,0,110056879266,1600260840,-56214815,13492664778,-14047688647,0,0,-7297500000,313746133,0,104062147555,-278261575387,231689213760,-1390416782600,0,-2386865008,0,-381815855000,0,0,48934404113,0,-1772257460122,1259854590000,0,1048117000000,-48117000000,0,0,0,-281021424294,90451000000,0,2069284165706,401088853139,96401314954,0,497490168093
2008,156768324696,-99572565408,34395844176,16123285750,-1802295649,0,1489440540,-16147445119,-48098846707,0,-364842883240,279310334841,0,57195759288,-89263495221,-25044282615,309615032273,-34602320329,0,-11419905354,-79391570936,0,-188685174187,-61595957081,-2303359327624,18000000000,-3607495681922,3655889963933,0,0,-602934403894,0,0,246329774197,0,-2593569675310,399831560000,-869327434323,2622000000000,0,0,0,0,0,32019311498,0,2184523437175,-470642195216,497490168093,0,26847972877
2009,1384202221891,4216298308,28467057299,118595508178,-12057080243,0,1447428428,813158683,-149340285994,0,-228124864785,244415376742,0,1388418520199,-350876124106,10373602642,-39640489000,-142451244381,0,-554170665973,-49895785316,0,-890149446,260867664619,-1648037880903,1727089650,-1996294163002,981891541000,0,0,-1654362149965,0,0,-1242928845515,0,-5558004408735,1268040820000,-10695069390,5874189793788,-379711814727,0,0,0,-54595630500,0,0,6697228099171,1400091355055,26847972877,0,1426939327932
2010,3143054802940,-241650401770,71137087665,-19214422240,0,-2012984795,91402905385,0,-368368600989,11448028487,-537518890418,511476475135,0,2901404401170,-4407501951813,-144873321759,3261838944290,-261819749646,0,-1048074859461,-312592412186,0,-27733342232,-39352291637,-4667000360776,66348737887,-860300000000,1580792152829,-2667222718617,-1600000000000,0,861782332777,1250000000000,469012014215,0,-5566587841685,1955931410000,0,-25657830000,3418205875559,-376498497233,0,0,0,722028823556,0,5694009781882,88069648560,1426939327932,0,1515008976492
2011,1471471446573,-814604468054,199317114262,12221478840,-196711339694,0,26908645760,5404084760,-884169953125,0,-785058983719,807484484862,0,656866978519,962424433108,-4364830317207,8678060560809,-381406532855,0,-1192631581884,-1030085134846,0,-30187169243,3298211236401,-1466116187077,207235846450,-700000000000,1106419943518,0,-233825000000,-3514010158903,2346238093859,0,861951861434,0,-1392105600719,274487652842,0,2868261067533,-3186066741944,0,0,0,-2146068000765,0,0,-2189386022334,-283280386652,1515008976492,0,1231728589840
2012,2655063125963,830623041169,473956758653,4065415576,-17442478522,0,-3763603143,-1915923059,-393757169880,0,-753816756152,1097254164113,426042633583,3485686167132,-349157912285,-7010548606730,4198969712254,-146267807240,0,-2341608899245,-898948679962,10512225001,0,-3051363801075,-2921880550078,948248820753,-1550000000000,5285050808420,22227863252,-3357448555556,-6246161477500,2747638571786,868351572675,0,0,-4203972946248,15124060663616,0,0,-7412562003299,0,0,-71035327899,0,0,0,7640463332418,385126585095,1231728589840,0,1616855174935
2013,9740085981878,-3662234433783,589659772264,53343819374,-54700187785,0,91401429917,3013515056,-5637485222758,0,-756474309084,1459922785660,589083963573,6077851548095,1506465991329,-53674323727,5739159477741,367776128547,0,-2550652028899,-1803518979544,641182106,0,9284048995648,-8589796722908,39220197524,-8069778802040,4780340308582,0,0,-8050167058980,10458023592091,0,539692018943,0,-8892466466788,3256960309647,-2953978284083,16614545541480,-11103071677430,-288850999997,0,0,0,0,0,5525604889617,5917187418477,1616855174935,6109883,7534048703295
2014,5409680638498,3210145184912,1582956786204,95586098902,0,0,153521258290,0,-1333188623458,0,0,2711269664974,0,8619825823410,-236771046585,7828554877896,-435168123808,-774696243771,0,-3191276794957,-1910568513664,0,-3085600466,9896814378055,-12078574548052,1233509487141,-4394117030716,3944306480156,0,0,-12714336731816,2592111751675,0,1017729795067,0,-20399370796545,4359528098609,0,17264986730202,-8682400989542,0,0,0,0,-2366476025105,0,10575637814164,73081395674,7534048703295,383620704,7607513719673
2015,2852100965401,3615441684996,2215531092798,180300335624,0,0,392125548103,0,-1894455580399,0,0,2721940288870,0,6467542650397,-4510794740749,-7424030776827,40818058572231,-1756985859776,112322695000,-4381857928346,-1421314104431,0,0,27902940507499,-14514819118699,38823385497,-18880888911471,8840834375998,0,0,-20185422456828,4450260724277,0,1152731210286,0,-39098480790940,7544319623168,0,20664801635454,-16711194036085,0,0,0,-974185674300,0,0,10523741548237,-671798735204,7607513719673,2750120021,6938465104490
2016,5792758966378,2674564512433,3355807214759,141826931929,0,0,-64931257744,0,-5066205170001,0,0,4308066793490,0,8467323478811,-335155028311,-13486963673195,18604163811522,-2720086885910,0,-3736500947012,-2294234119932,0,0,4498546635973,-14301529343969,66786752382,-3432087468527,22880893204796,0,0,-22459345068846,15306966443347,0,1107787615493,0,-830527865324,1310346390000,0,20814923248321,-21563433421832,0,0,0,-1339903941515,0,0,-778067725026,2889951045623,6938465104490,4916069288,9833332219401
2017,9114281478576,7111599819511,3985433267539,689528177247,0,0,50260047814,0,-1015255359806,0,0,3401633686717,0,16225881298087,-6730252290761,-1227813074755,18034651110034,-2563290205702,0,-3062709959110,-3890618182474,0,0,16785848695319,-19222683562506,-55811033805,-13120643139535,5871047533029,0,0,-15153204450348,13991102708588,0,1173726980704,0,-26516464963873,13000000000,-30000000000,31918446307125,-22256448989518,0,0,0,-1604550206376,0,0,8040447111231,-1690169157323,9833332219401,-1413034392,8141750027686
2018,13853637650408,3188934586362,5155271347089,241329798072,0,0,192367992975,0,-6683400004243,0,0,4283365452469,0,17042572236770,1520338159126,4875331532021,-24972740916783,1038687462509,12863880000,-3740380502932,-5760402076308,0,0,-9983730225597,-44772132577218,1305733771914,-21453789238538,20729470446661,0,0,-46807073292884,27524118859822,0,1160049930079,0,-62313622100164,24903260063993,0,91020447368655,-36981047221085,0,0,0,-1222822175333,0,0,77719838036230,5422485710469,8141750027686,-7180455574,13557055282581
2019,15637424000000,5645161000000,8337680000000,2629024000000,0,0,6516000000,0,-12853241000000,0,0,7525182000000,0,21282585000000,-12230443000000,-16411200000000,39864097000000,-1909881000000,535050000000,-7221315000000,-7941805000000,0,0,15967088000000,-55175557000000,422482000000,-16422931000000,38074294000000,0,0,-61532925000000,34006507000000,0,762065000000,0,-59866065000000,24156142000000,-10703530000000,63707975000000,-26182542000000,0,0,0,-2188673000000,0,0,48789372000000,4890395000000,13557055000000,-482000000,18446968000000
2020,13942555000000,7665683000000,10063535000000,6833379000000,0,0,230354000000,0,-20863970000000,0,0,11402385000000,0,21608238000000,5078359000000,16938693000000,-9604723000000,-1745361000000,3641722000000,-10552304000000,-9409698000000,0,0,15954926000000,-27543989000000,1249983000000,-4183635000000,9963339000000,0,0,-21962349000000,25139678000000,0,1123131000000,0,-16213842000000,8974955000000,-42980000000,41249657000000,-38958120000000,0,0,0,-7188000000,0,0,11216324000000,10957408000000,18446968000000,-688000000,29403688000000
