,1. Tổng doanh thu hoạt động kinh doanh,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần (1)-(2),4. Giá vốn hàng bán,5. Lợi nhuận gộp (3)-(4),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính,-Trong đó: Chi phí lãi vay,8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác (12)-(13),15. Tổng lợi nhuận kế toán trước thuế (11)+(14),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Chi phí thuế TNDN (16)+(17),19. Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),20. Lợi nhuận sau thuế của cổ đông không kiểm soát,21. Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20)
2005,136954915012,0,136954915012,42293126252,94661788760,817814635,4662128725,4325836010,0,5992723424,11179390902,73645360344,4688588912,9809447177,-5120858265,68524502079,0,0,0,68524502079,0,68524502079
2008,239180299742,0,239180299742,60710735035,178469564707,413039174035,316016721330,279310334841,1802295649,13423575248,120526070670,143344667143,23605330736,10181673183,13423657553,156768324696,30773535251,0,30773535251,125994789445,1269688502,124725100943
2009,1974446241603,0,1974446241603,537310953326,1437135288277,432861235107,378120364345,244415376742,12057080243,12326530155,109705812478,1381900896649,5955612257,3654287015,2301325242,1384202221891,289768877103,-7303813125,282465063978,1101737157913,203094991000,898642166913
2010,3872979781266,0,3872979781266,927026108077,2945953673189,1280461859797,987456894447,511476475135,65535940673,29435956071,239695200820,3035363422321,179241332230,71549951611,107691380619,3143054802940,700704758533,10335047030,711039805563,2432014997377,125116211150,2306898786227
2011,2313739781730,0,2313739781730,1306236537557,1007503244173,1687365816306,904700560196,807484484862,196711339694,100146853126,444155874833,1442577112018,130414885097,101520550542,28894334555,1471471446573,387964312769,9946935040,397911247809,1073560198764,252274322805,821285875959
2012,7908016426443,3543577371,7904472849072,4092056174334,3812416674738,1178267763042,1241485700398,1097254164113,17442478522,204739744706,980959525269,2580941945929,114330587641,40209407607,74121180034,2655063125963,841200729285,-32805527847,808395201438,1846667924525,275356238037,1571311686488
2013,18379268633216,1629787510,18377638845706,11346984128307,7030654717399,6436048755221,1943627332561,1459922785660,54700187785,450072453875,1466422267061,9661281606908,135646492056,56842117086,78804374970,9740085981878,2594314637696,-3516776375,2590797861321,7149288120557,369775972604,6779512147953
2014,27726701600235,3068229199,27723633371036,17284911479916,10438721891120,1346022091036,3491052587060,2711269664974,-8770659254,739332476177,2170716923462,5374871336203,261925884973,227116582678,34809302295,5409680638498,1653273503894,-19638606879,1633634897015,3776045741483,617463065409,3158582676074
2015,34054968884836,7002571734,34047966313102,22338933561491,11709032751611,1931520080322,3282074915976,2402860475537,39227754200,2957825676439,3922773154112,3517106839606,283039374788,948045248993,-665005874205,2852100965401,1424642826631,-74017304681,1350625521950,1501475443451,285700617371,1215774826080
2016,57670387202439,56043536545,57614343665894,40184632606036,17429711059858,5861556630724,5389034072187,4308066793490,19823588740,6672815695018,5526090462009,5723151050108,688479678357,618871762087,69607916270,5792758966378,2534168929813,-254477855941,2279691073872,3513067892506,1073557030509,2439510861997
2017,89392047933230,41999335317,89350048597913,62796326957038,26553721640875,1636951439612,3786983558714,340163686717,44400927597,8150455992627,6852447761955,9445186694788,434964045806,765869262018,-330905216212,9114281478576,3731381559479,-272041872129,3459339687350,5654941791226,1192530120713,4462411670513
2018,121971750626283,77350205179,121894400421104,92971050559634,28923349861470,7478549889431,4908949587074,3939282490392,-424918846510,10112288715044,7367839332550,13587903269723,759284117428,493549736743,265734380685,13853637650408,7273129870764,389626309041,7662756179805,6190881470603,2414153684685,3776727785918
2019,130161398000000,125384000000,130036014000000,92484797000000,37551217000000,14000889000000,8181371000000,7147357000000,-688443000000,14248448000000,12677438000000,15756406000000,832187000000,951169000000,-118982000000,15637424000000,8286824000000,-366013000000,7920811000000,7716613000000,170698000000,7545915000000
2020,110755497000000,265464000000,110490033000000,93177227000000,17312806000000,31068411000000,12804561000000,11402385000000,-265278000000,7253585000000,13403089000000,14654704000000,982699000000,1694848000000,-712149000000,13942555000000,10282745000000,-885763000000,9396982000000,4545573000000,-919054000000,5464627000000
2021,125780761000000,92891000000,125687870000000,91623165000000,34064705000000,16045903000000,11363667000000,10288893000000,-41668000000,6909908000000,24034459000000,7760906000000,1164220000000,5778675000000,-4614455000000,3146451000000,9905355000000,799260000000,10704615000000,-7558164000000,-5044281000000,-2513883000000
2022,101809529000000,15947000000,101793582000000,87099750000000,14693832000000,33048100000000,14326299000000,10944221000000,-86524000000,9371097000000,15953649000000,8004363000000,5809849000000,1058694000000,4751155000000,12755518000000,11230925000000,-519751000000,10711174000000,2044344000000,-6737517000000,8781861000000
2023,161452751000000,25183000000,161427568000000,137919092000000,23508476000000,20502485000000,22841357000000,17245871000000,-97825000000,12513907000000,13463255000000,-4905383000000,22132506000000,3457771000000,18674735000000,13769352000000,11287235000000,426056000000,11713291000000,2056061000000,-100864000000,2156925000000
