,A. Tài sản lưu động và đầu tư ngắn hạn,I. Tiền và các khoản tương đương tiền,II. Các khoản đầu tư tài chính ngắn hạn,III. Các khoản phải thu ngắn hạn,IV. Tổng hàng tồn kho,V. Tài sản ngắn hạn khác,B. Tài sản cố định và đầu tư dài hạn,I. Các khoản phải thu dài hạn,II. Tài sản cố định,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,V. Các khoản đầu tư tài chính dài hạn,VI. Tổng tài sản dài hạn khác,VII. Lợi thế thương mại,TỔNG CỘNG TÀI SẢN,A. Nợ phải trả,I. Nợ ngắn hạn,II. Nợ dài hạn,B. Nguồn vốn chủ sở hữu,I. Vốn chủ sở hữu,II. Nguồn kinh phí và quỹ khác,TỔNG CỘNG NGUỒN VỐN
2013,826927902967,309130444725,249681666667,139337334810,60693040643,68085416122,2120913869152,0,27207891601,0,114380347444,0,1979325630107,0,2947841772119,2342794975098,1039918245022,1302876730076,605046797021,605046797021,0,2947841772119
2014,4230203619052,526748546327,270000000000,435450666022,93621363904,2904383042799,3446869245347,0,32699942894,0,146099277427,8424629818,3259645395208,0,7677072864399,6710416472291,4211195391674,2499221080617,966656392108,966656392108,0,7677072864399
2015,6257864316315,923512917695,270000000000,4691405870021,164428122872,208517405727,5786999448908,2885226595760,28964897604,0,137353932965,8424629818,2727029392761,0,12044863765223,9897423484873,6393867460244,3503556024629,2147440280350,2147440280350,0,12044863765223
2016,10313466695796,2741341465691,1400000000,7128756627068,137930296755,304038306282,9749234828931,5104774400197,1047218102390,0,181302243599,68424629818,3347515452927,0,20062701524727,15328679347088,10570076600330,4758602746758,4734022177639,4734022177639,0,20062701524727
2017,17668643983650,6861601955584,1400000000,10223453944832,267181519500,315006563734,13989621257774,7152674330646,1528720840609,0,222031597270,68424629818,5017769859431,0,31658265241424,21064130723313,13911511198702,7152619524611,10594134518111,10594134518111,0,31658265241424
2018,19079292916555,7164923007451,816900000000,10272635073584,468729305585,356105529935,20006886184114,10577336637830,1646373479969,0,1233005676006,68424629818,6481745760491,0,39086179100669,25047675864087,14940720495496,10106955368591,14038503236582,14038503236582,0,39086179100669
2019,24458549292502,5364049804580,1144756800000,16755814490657,747898679837,446029517428,24400204516009,14969725059773,1304424116769,0,1318401443379,215973206218,6591680689870,0,48858753808511,33955921978450,19169599306127,14786322672323,14902831830061,14902831830061,0,48858753808511
2020,25382768751524,2926425627363,604000000000,20896413814943,712093262127,243836047091,19814061480237,12969528319817,850496391339,0,804241395933,198244065926,4991551307222,0,45196830231761,30218431246643,19833798568095,10384632678548,14978398985118,14978398985118,0,45196830231761
2021,26866732678773,1868252946557,859475421096,23261094436070,811247030655,66662844395,24786971332567,16889287027947,1158451949883,0,500760695887,149417024400,6089054634450,0,51653704011340,34799493690860,15522180566553,19277313124307,16854210320480,16854210320480,0,51653704011340
2022,33587472621916,1858261735520,687775421096,29729804064103,982716071675,328915329522,34449491811396,21238145855696,5709719496248,0,308749694497,149417024400,7043459740555,0,68036964433312,53138669609828,30417318604359,22721351005469,14898294823484,14898294823484,0,68036964433312
2023,40826968900401,5050743180748,613343871096,34243067480800,703384543264,216429824493,46098452016368,26305729746755,10173343104449,0,380635096052,149417024400,9089327044712,0,86925420916769,71672280613334,38861475794473,32810804818861,15253140303435,15253140303435,0,86925420916769
