,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,- Khấu hao TSCĐ,- Các khoản dự phòng,- Lợi nhuận thuần từ đầu tư vào công ty liên kết,- Xóa sổ tài sản cố định (thuần),- Lãi lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,- Lãi lỗ từ thanh lý TSCĐ,- Lãi lỗ từ hoạt động đầu tư,- Lãi tiền gửi,- Thu nhập lãi,- Chi phí lãi vay,- Các khoản chi trực tiếp từ lợi nhuận,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,- Tăng giảm các khoản phải thu,- Tăng giảm hàng tồn kho,- Tăng giảm các khoản phải trả (Không kể lãi vay phải trả thuế thu nhập doanh nghiệp phải nộp),- Tăng giảm chi phí trả trước,- Tăng giảm tài sản ngắn hạn khác,- Tiền lãi vay phải trả,- Thuế thu nhập doanh nghiệp đã nộp,- Tiền thu khác từ hoạt động kinh doanh,- Tiền chi khác từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Tiền chi để mua sắm xây dựng TSCĐ và các tài sản dài hạn khác,2. Tiền thu từ thanh lý nhượng bán TSCĐ và các tài sản dài hạn khác,3. Tiền chi cho vay mua các công cụ nợ của đơn vị khác,4. Tiền thu hồi cho vay bán lại các công cụ nợ của các đơn vị khác,5. Đầu tư góp vốn vào công ty liên doanh liên kết,6. Chi đầu tư ngắn hạn,7. Tiền chi đầu tư góp vốn vào đơn vị khác,8. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,9. Lãi tiền gửi đã thu,10. Tiền thu lãi cho vay cổ tức và lợi nhuận được chia,11. Tiền chi mua lại phần vốn góp của các cổ đông thiểu số,Lưu chuyển tiền thuần từ hoạt động đầu tư,1. Tiền thu từ phát hành cổ phiếu nhận vốn góp của chủ sở hữu,2. Tiền chi trả vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,3. Tiền vay ngắn hạn dài hạn nhận được,4. Tiền chi trả nợ gốc vay,5. Tiền chi trả nợ thuê tài chính,6. Tiền chi khác từ hoạt động tài chính,7. Tiền chi trả từ cổ phần hóa,8. Cổ tức lợi nhuận đã trả cho chủ sở hữu,9. Vốn góp của các cổ đông thiểu số vào các công ty con,10. Chi tiêu quỹ phúc lợi xã hội,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
2013,1333540066,67832379888,6870626829,72481975267,0,0,-1020069498,0,-20875347684,0,0,10375194974,0,69165919954,-19748254121,-50131240100,425099579448,124763317393,0,-10838944973,0,750000000,-641781861919,-102721484318,-31745311231,0,0,0,0,0,-240000000000,0,9461333795,0,0,-262283977436,200000000000,0,1854717952698,-1693816904224,0,0,0,0,0,0,360901048474,-4104413280,314322824319,-1087966314,309130444725
2014,444320075754,116808608650,11455020516,115863949566,0,0,-59421179665,53373932,-15465488365,0,0,64322932666,0,561128684404,-211782227463,-32928323261,273910286436,197980025150,0,-59808310905,0,5450000000,-696986564402,36963569959,-2696504281213,28620000,-270556181818,249681666667,0,0,-7868448000,0,0,11267280031,0,-2713951344333,500000000000,0,7131516383649,-4738169381129,0,0,0,0,1000000000,0,2894347002520,217359228146,309130444725,258873456,526748546327
2015,1168482527232,407178149509,10165032533,272908367170,971806360,0,40184427061,16078787,-46766837294,0,0,129699274892,0,1575660676741,-1625001218034,-71064886853,1014101748947,120235326504,0,-162169963853,0,0,0,851761683452,-1209724055527,0,0,0,0,0,-1261983489,0,10256694183,0,0,-1200729344833,300000000000,0,13366588908049,-12426501340454,0,0,0,-500000000000,0,0,740087567595,391119906214,526748546327,5644465154,923512917695
2016,2703146064623,629410868617,45873196847,495368513983,14605462081,0,-50494265652,0,0,-55494512525,-1180266000,180732739883,0,3332556933240,-2628501734577,26497826117,848242406191,275392428650,0,-177942929579,-40220855647,0,0,1636024074395,-1859421262131,0,-1400000000,270000000000,0,-1286462375174,-60000000000,0,105910808415,1180266000,0,-2830192562890,71500000000,0,21249914036344,-18035136049967,0,0,0,-300000000000,0,0,2986277986377,1792109497882,923512917695,25719050114,2741341465691
2017,5302638877099,586358565120,94989734425,277580251779,44276615962,0,5586837437,0,-3068690000,-70603613358,0,237597428875,0,5888997442219,-2794306394758,-129251222745,1824012605198,1344397355809,0,-236852306374,-318798833058,0,0,5578198646291,-325491665092,-2296535249533,-487333764000,0,0,0,0,0,64280330441,3068690000,0,-3042011658184,1759382332805,0,25899054643065,-25184711574405,0,0,0,-876827065550,0,0,1596898335915,4133085324022,2741341465691,-12824834129,6861601955584
2018,5815929109755,923319915987,146514029742,609233395693,88730587954,10506525264,51320437305,0,-19104136000,-221386370627,0,257505446656,0,6739249025742,-5284489946127,-201547786085,1460880367204,2077117427703,0,-254235595773,-108000000000,0,0,4428973492664,-799749729193,0,0,0,0,1545988562283,-1132840350000,0,206166200537,2832636000,0,-177602680373,0,0,33529973247843,-35527608459899,0,0,0,-2016955829400,0,0,-4014591041456,236779770835,6861601955584,66541281032,7164923007451
2019,4568651014974,607733748757,175155660359,1289143641551,91807064610,0,-43926035073,-694598317992,0,-550933281288,-10332636000,351417652590,0,5176384763731,-7459149825284,-279169374252,2298995278929,-970059270460,0,-322342594337,-471622340241,0,0,-2026963361914,-2594037639233,0,-715756800000,1400000000,0,0,0,0,0,207816031475,0,-3100578407758,0,-2347121362620,37607640045521,-31317610606550,0,0,0,-543112133500,0,0,3399795942851,-1727745826821,7164923007451,-73127376050,5364049804580
2020,-244492770448,-236628017145,141435349577,-119581017648,0,0,30763613923,0,-741818692497,0,0,452572729500,0,-481120787593,-1032209073740,35805417710,-824443624713,-218645374852,0,-432836309700,-254507686710,0,0,-3207957439598,-293759925297,397277400299,0,709756800000,0,0,0,0,0,329815665506,0,1143089940508,0,0,17804330775879,-18173617597912,0,0,0,0,0,0,-369286822033,-2434154321123,5364049804580,-3469856094,2926425627363
2021,180379522924,2127426663449,98078009402,1248753445939,0,0,220650652715,0,-244838291866,0,0,804782847259,0,2307806186373,-5591418282646,-99153768528,-1689496549248,-866941322443,0,-546700781758,-11391168246,0,-53526042557,-6550821729053,-174908809761,802487001,-954307071788,6556181818,0,0,-21806385793,0,0,260368105967,0,-883295492556,2348654987714,0,17361032360990,-13316544337918,0,0,0,0,0,0,6393143010786,-1040974210823,2926425627363,-17198469983,1868252946557
2022,-2648658910470,2787381560375,79733663056,1915036223300,0,0,-159921609696,0,-431107961858,0,0,1383641245573,0,138722649905,-10296343168616,-171469041020,10128853566700,-473124382100,0,-1399077113144,-140133402011,0,-180858291727,-2393429182013,-1217474531281,1018509772,-238445921500,0,0,0,0,0,0,336906630740,0,-1117995312269,0,0,29657737382993,-26177921993857,0,0,0,0,0,0,3479815389136,-31609105146,1868252946557,21617894109,1858261735520
