,1. Tổng doanh thu hoạt động kinh doanh,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần (1)-(2),4. Giá vốn hàng bán,5. Lợi nhuận gộp (3)-(4),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính,-Trong đó: Chi phí lãi vay,8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác (12)-(13),15. Tổng lợi nhuận kế toán trước thuế (11)+(14),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Chi phí thuế TNDN (16)+(17),19. Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),20. Lợi nhuận sau thuế của cổ đông không kiểm soát,21. Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20)
2013,3789556589498,0,3789556589498,3508996070948,280560518550,24671713632,92049276103,10375194974,0,139194362530,77804540623,-3815947074,5176498098,27010958,5149487140,1333540066,0,-30849352331,-30849352331,32182892397,0,32182892397
2014,8699111112857,0,8699111112857,7826514806251,872596306606,78845286603,212137751284,64322932666,-10203736418,186372435673,140988790746,401738879088,43796086621,1214889955,42581196666,444320075754,0,84170022097,84170022097,360150053657,-272520991,360422574648
2015,19845478919852,0,19845478919852,17735540395773,2109938524079,153676796667,561567340925,129699274892,-20606172829,317844423588,203353915992,1160243467412,8379092634,140032814,8239059820,1168482527232,0,-2149186431,-2149186431,1170631713663,378359817,1170253353846
2016,27499296237637,0,27499296237637,23597459394556,3901836843081,144656340136,653948554956,180732739883,-14605462081,517790332496,188801029582,2671347804102,31852848762,54588241,31798260521,2703146064623,156246350074,50912671620,207159021694,2495987042929,346857245,2495640185684
2017,42302758277806,185595188,42302572682618,35753175886701,6549396795917,118683815564,520764518091,237597428875,-44276615962,578782913704,225808906918,5298447656806,5745444926,1554224633,4191220293,5302638877099,163912482079,65074981322,228987463401,5073651413698,287189318,5073364224380
2018,53577241462140,0,53577241462140,46085422009499,7491819452641,331576806364,918059279654,257505446656,-88730587954,712929844155,294777399221,5808899148021,7856232457,826270723,7029961734,5815929109755,253597027514,227241605086,480838632600,5335090477155,54119905,5335036357250
2019,50602936007389,0,50602936007389,44980140698282,5622795309107,780495784919,1024667417427,351417652590,-91807064610,1003521966058,435654189800,3847640456131,721382385427,371826584,721010558843,4568651014974,741648874040,19657013840,761305887880,3807345127094,583933611,3806761193483
2020,18220292888526,0,18220292888526,19632221357027,-1411928468501,970429628494,419415685869,452572729500,-17729140292,764076040739,374847317582,-2017567024489,1779506069100,6431815059,1773074254041,-244492770448,13462059245,-326620164827,-313158105582,68665335134,74184307,68591150827
2021,12874919725450,0,12874919725450,14913724210509,-2038804485059,4032772056932,806254583608,804782847259,-42270859708,607756237934,365729158499,171956732124,16201777600,7778986800,8422790800,180379522924,14027919315,86692296300,100720215615,79659307309,5074400079,74584907230
2022,40141863488029,0,40141863488029,42135151389707,-1993287901678,2246221465280,2483054483054,1383641245573,0,936343663352,534452104416,-3700916687220,1316105112282,263847335532,1052257776750,-2648658910470,172103552548,-558787619233,-386684066685,-2261974843785,524166069,-2262499009854
2023,58340618715308,0,58340618715308,55819871829489,2520746885819,2955033555114,2242066937617,1950254195864,0,1950124205949,1099316843401,184272453966,662197107572,240365954517,421831153055,606103607021,3217284657,371472907013,374690191670,231413415351,822526170,230590889181
