,A. Tài sản lưu động và đầu tư ngắn hạn,I. Tiền và các khoản tương đương tiền,II. Các khoản đầu tư tài chính ngắn hạn,III. Các khoản phải thu ngắn hạn,IV. Tổng hàng tồn kho,V. Tài sản ngắn hạn khác,B. Tài sản cố định và đầu tư dài hạn,I. Các khoản phải thu dài hạn,II. Tài sản cố định,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,V. Các khoản đầu tư tài chính dài hạn,VI. Tổng tài sản dài hạn khác,VII. Lợi thế thương mại,TỔNG CỘNG TÀI SẢN,A. Nợ phải trả,I. Nợ ngắn hạn,II. Nợ dài hạn,B. Nguồn vốn chủ sở hữu,I. Vốn chủ sở hữu,II. Nguồn kinh phí và quỹ khác,TỔNG CỘNG NGUỒN VỐN
2003,2101405629848,692592428783,0,807082067782,600326534775,1404598508,530164965484,0,226260941844,0,102263377120,153578950334,48061696186,0,2631570595332,1070782027981,957023388658,113758639323,1560788567351,1560499319067,289248284,2631570595332
2004,1769506478546,515695160594,292167977233,178800222015,778299145282,4543973422,785201894504,0,419249968561,0,139006799024,180971529167,45973597752,0,2554708373050,739447821414,715694743242,23753078172,1815260551636,1814959510660,301040976,2554708373050
2005,2406477000000,500312000000,22800000000,748600000000,1081501000000,53264000000,1491459000000,4018000000,568054000000,0,189319000000,609960000000,120108000000,0,3897936000000,1743224000000,1673352000000,69872000000,2154712000000,2154586000000,126000000,3897936000000
2006,1996391000000,156895000000,306730000000,511623000000,965826000000,55317000000,1613012000000,860000000,755802000000,0,316178000000,422771000000,117401000000,0,3609403000000,939491000000,850351000000,89140000000,2669912000000,2669912000000,0,3609403000000
2007,3172434000000,117819000000,654485000000,654720000000,1669871000000,75539000000,2252683000000,762000000,1043361000000,0,603601000000,401018000000,203941000000,0,5425117000000,1164852000000,1024979000000,139873000000,4260265000000,4260265000000,0,5425117000000
2008,3187605000000,338654000000,374002000000,646385000000,1775342000000,53222000000,2779354000000,475000000,1580055000000,27489000000,356868000000,570657000000,243810000000,0,5966959000000,1250630000000,1068700000000,181930000000,4716329000000,4716329000000,0,5966959000000
2009,5069157000000,426135000000,2314253000000,728634000000,1311765000000,288370000000,3412879000000,8822000000,1874824000000,27489000000,650140000000,602479000000,249125000000,0,8482036000000,1991196000000,1734871000000,256325000000,6490840000000,6490840000000,0,8482036000000
2010,5919802789330,263472368080,2092259762292,1124862162625,2351354229902,87854266431,4853229506530,23624693,2763289341860,100817545211,665282453729,1141798415275,162461317098,19556808664,10773032295860,2808595705578,2645012251272,163583454306,7964436590282,7964436590282,0,10773032295860
2011,9467682996094,3156515396990,736033188192,2169205076812,3272495674110,133433659990,6114988554657,0,3749674631985,100671287539,1295087396884,846713756424,107338146303,15503335522,15582671550751,3105466354267,2946537015499,158929338768,12477205196484,12477205196484,0,15582671550751
2012,11110610188964,1252120160804,3909275954492,2246362984001,3472845352518,230005737149,8587258231415,0,4477059115159,96714389090,3565241433334,284428762040,150152345194,13662186598,19697868420379,4204771824521,4144990303291,59781521230,15493096595858,15493096595858,0,19697868420379
2013,13018930127438,2745645325950,4167317622318,2728421414532,3217483048888,160062715750,9856483929198,736666667,8380544184751,149445717001,537872350628,318308294039,295112796930,174463919182,22875414056636,5307060807329,4956397594108,350663213221,17568353249307,17568353249307,0,22875414056636
2014,15522309519016,1527875428216,7467962935026,2771736892079,3620107245454,134627018241,10247828541941,7395303671,8086395812459,147725868615,803688210258,700375068841,341541338443,160706939654,25770138060957,5969901577449,5453262931031,516638646418,19800236483508,19800236483508,0,25770138060957
2015,16731875433624,1358682600684,8668377936330,2685469151432,3810095215771,209250529407,10746300510728,20898388770,8214134749497,142368204632,843679104973,940365020223,442510027575,142345015058,27478175944352,6554260196767,6004316835213,549943361554,20923915747585,20923915747585,0,27478175944352
