,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,- Khấu hao TSCĐ,- Các khoản dự phòng,- Lợi nhuận thuần từ đầu tư vào công ty liên kết,- Xóa sổ tài sản cố định (thuần),- Lãi lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,- Lãi lỗ từ thanh lý TSCĐ,- Lãi lỗ từ hoạt động đầu tư,- Lãi tiền gửi,- Thu nhập lãi,- Chi phí lãi vay,- Các khoản chi trực tiếp từ lợi nhuận,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,- Tăng giảm các khoản phải thu,- Tăng giảm hàng tồn kho,- Tăng giảm các khoản phải trả (Không kể lãi vay phải trả thuế thu nhập doanh nghiệp phải nộp),- Tăng giảm chi phí trả trước,- Tăng giảm tài sản ngắn hạn khác,- Tiền lãi vay phải trả,- Thuế thu nhập doanh nghiệp đã nộp,- Tiền thu khác từ hoạt động kinh doanh,- Tiền chi khác từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Tiền chi để mua sắm xây dựng TSCĐ và các tài sản dài hạn khác,2. Tiền thu từ thanh lý nhượng bán TSCĐ và các tài sản dài hạn khác,3. Tiền chi cho vay mua các công cụ nợ của đơn vị khác,4. Tiền thu hồi cho vay bán lại các công cụ nợ của các đơn vị khác,5. Đầu tư góp vốn vào công ty liên doanh liên kết,6. Chi đầu tư ngắn hạn,7. Tiền chi đầu tư góp vốn vào đơn vị khác,8. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,9. Lãi tiền gửi đã thu,10. Tiền thu lãi cho vay cổ tức và lợi nhuận được chia,11. Tiền chi mua lại phần vốn góp của các cổ đông thiểu số,Lưu chuyển tiền thuần từ hoạt động đầu tư,1. Tiền thu từ phát hành cổ phiếu nhận vốn góp của chủ sở hữu,2. Tiền chi trả vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,3. Tiền vay ngắn hạn dài hạn nhận được,4. Tiền chi trả nợ gốc vay,5. Tiền chi trả nợ thuê tài chính,6. Tiền chi khác từ hoạt động tài chính,7. Tiền chi trả từ cổ phần hóa,8. Cổ tức lợi nhuận đã trả cho chủ sở hữu,9. Vốn góp của các cổ đông thiểu số vào các công ty con,10. Chi tiêu quỹ phúc lợi xã hội,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
2004,602600000000,35921000000,88701407010,-1673000000,0,0,1191000000,0,-51263000000,0,0,10030000000,0,638521000000,-336168000000,-287452000000,650594000000,-62451000000,0,-9999000000,0,5092000000,-24482000000,573655000000,172540000000,1798000000,-525154000000,339931000000,0,242360000000,0,14047000000,0,56905000000,0,-386589000000,64990000000,0,567384000000,-585954000000,0,0,0,-247678000000,0,0,-201258000000,-14192000000,515695000000,-1191000000,500312000000
2005,602600000000,35921000000,77636000000,-1673000000,0,0,1191000000,0,-51263000000,0,0,10030000000,0,638521000000,-336168000000,-287452000000,650594000000,-62451000000,0,-9999000000,0,5092000000,-24482000000,573655000000,-242088000000,1798000000,-525154000000,339931000000,0,-32028000000,0,14047000000,0,56905000000,0,-386589000000,64990000000,0,567384000000,-585954000000,0,0,0,-247678000000,0,0,-201258000000,-14192000000,515695000000,-1191000000,500312000000
2006,734470000000,86370000000,101223000000,16542000000,0,0,2249000000,0,-54835000000,0,0,21191000000,0,820840000000,205551000000,125446000000,-580520000000,4020000000,0,-21192000000,0,51139000000,-105814000000,499470000000,-609508000000,0,-904975000000,965586000000,0,0,-129440000000,22460000000,0,66475000000,0,-589402000000,0,0,1051565000000,-1014010000000,0,0,0,-290975000000,0,0,-253420000000,-343352000000,500312000000,-65000000,156895000000
2007,955381000000,83757000000,130772000000,42696000000,0,0,-17000000,0,-101361000000,0,0,11667000000,0,1039138000000,-216909000000,-725346000000,411751000000,-69830000000,0,-50571000000,0,78502000000,-153257000000,313478000000,-743965000000,2305000000,0,193407000000,-80926000000,-487475000000,-4650000000,0,0,105326000000,0,-1015978000000,1219477000000,0,360000000000,-377883000000,0,0,0,-538181000000,0,0,663413000000,-39087000000,156895000000,11000000,117819000000
2008,1371313000000,298414000000,178430000000,124892000000,0,0,-5704000000,0,-26175000000,0,0,26971000000,0,1669727000000,13354000000,-112069000000,-105919000000,-17077000000,0,-25957000000,-101861000000,53507000000,-103946000000,1269759000000,-445062000000,4217000000,0,-47181000000,0,0,-134152000000,0,0,90373000000,0,-531805000000,20000000,0,173547000000,-9963000000,0,0,0,-680733000000,0,0,-517129000000,220825000000,117819000000,10000000,338654000000
2009,2731710344174,6363987961,234077503721,61894795493,0,0,3485360436,0,-299748549531,0,0,6654877842,0,2738074332135,-117380597934,453174843210,441699782965,10276347743,0,-6942303051,-293332380687,16032334480,-146949359480,3094652999381,-654816757349,8596217244,-2323386500000,309885882788,0,0,-2450000000,134267250000,0,69082724259,-15603226000,-2474424409058,3646400000,-154222000,3319646682,-188221936000,0,0,0,-351280620000,0,0,-532690731318,87537859005,338653634582,-56835629,426134657958
2010,4251207423608,-359226603351,290130555884,-3794604381,0,0,-42641420105,-334206706014,607464960,-275493447654,0,6171553959,0,3891980820257,-319291901558,-1110496793174,367932025243,-14274508242,0,-5034090508,-548573466173,66404700098,-309872739199,2018774046744,-1432287891422,690015455837,0,0,0,-500000000000,-188315000000,16773743444,269375000000,272639774517,-121252384560,-993051302184,18068200000,-514829000,967075836372,-407813214054,0,0,0,-1765200420000,0,0,-1188384426682,-162661682122,426134657958,-607756,263472368080
2011,4978991895071,21537796080,414590126008,46246669182,0,0,7605774684,22448930471,9240144764,-492526979114,0,13933130085,0,5000529691151,-1105678269247,-1021809144291,703897108817,-28541385553,0,-14785659974,-793480641563,1255501334,-330218588434,2411168612240,-1767206055153,47134169534,-18000000000,101161512182,0,0,0,0,1170408000000,472509194809,0,6006821372,1454528400000,-1852743000,624835000000,-1209835000000,0,0,0,-741428260000,0,0,126247397000,2543422830612,613472368080,-379801702,3156515396990
2012,6929668017079,157231399825,535451905298,-75028609419,0,0,23750178315,20674462045,12177054066,-362908428453,0,3114837973,0,7086899416904,-177763748924,-273491911774,268727745184,-18320018252,0,-3114837973,-1073341754164,3704175480,-518731228162,5294567838319,-3133999297771,86944771959,-30000000000,0,0,-2536900000000,0,250000000000,18000000000,372293347387,0,-4973661178425,0,-1982321000,0,0,0,0,0,-2222994056000,0,0,-2224976377000,-1904069717106,3156515396990,-325519080,1252120160804
2013,8010256856719,391615532792,786432923150,33285887136,0,0,13064625014,10670289649,-34454114103,0,-417488105102,104027048,0,8401872389511,-38409421579,258940210677,-272224654212,-27641597327,0,-104027048,-1399982286806,20984913520,-691692163285,6251743363451,-1491459216581,20991389628,-623100000000,4531896380,30000000000,0,-33713307770,354927205437,0,307719066699,-159686267298,-1589789233505,0,-525442959,0,0,0,0,0,-3167235049800,0,0,-3167760492759,1494193637187,1252120160804,-668472041,2745645325950
2014,7613368860918,539740804578,1032730002039,3786590677,-59887377298,0,-8404807167,12301757361,18361924596,0,-498729023388,39581737758,0,8153109665496,-130429515728,-545317603122,-40780546630,5506120979,0,-34741971887,-1521907400545,46119165658,-603234373651,5328323540570,-858946281717,53894284254,-300915667523,5296101394,0,-3349601000000,-2759659696,19835329033,560479407828,0,0,-3872717486427,70421503931,-319602000,1490974827513,-233883299908,0,0,0,-4000514074130,0,0,-2673320644594,-1217714590451,2745645325950,-55307283,1527875428216
2015,9367141056385,600973536118,1097075552739,9746294608,-12898974260,0,3971846156,0,30240384406,-558439019495,0,31277451964,0,9968114592503,165561724757,-498539245611,484339606582,-35873901754,124141507400,-27330327473,-1805610651275,0,-715652197441,7659151107688,-1067841221053,44000581044,-1499442450000,1977370985,0,0,-80161500899,13902241885,0,460883543055,0,-2126681434983,107476398854,0,3973222371269,-3782739882737,0,0,0,-6002261574354,0,0,-5704302686968,-171833014263,1527875428216,2640186731,1358682600684
