,1. Tổng doanh thu hoạt động kinh doanh,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần (1)-(2),4. Giá vốn hàng bán,5. Lợi nhuận gộp (3)-(4),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính,-Trong đó: Chi phí lãi vay,8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác (12)-(13),15. Tổng lợi nhuận kế toán trước thuế (11)+(14),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Chi phí thuế TNDN (16)+(17),19. Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),20. Lợi nhuận sau thuế của cổ đông không kiểm soát,21. Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20)
2003,3809413786350,0,3809413786350,2666326334464,1143087451886,142687160682,68372927313,16989089231,0,412885752194,90894130303,713621802758,120781394158,12256004681,108525389477,822147192235,309680954341,0,309680954341,512466237894,0,512466237894
2004,3775182577798,0,3775182577798,2846702676070,928479901728,60551043355,51596575735,8292736758,0,397851932365,89236822535,450345614448,11972324230,769225010,11203099220,461548713668,0,0,0,461548713668,0,461548713668
2005,5659290000000,20506000000,5638784000000,4379796000000,1258988000000,55373000000,19988000000,10030000128,0,654102000000,80438000000,559833000000,109014000000,2982000000,42767000000,602600000000,-2884000000,0,-2884000000,605484000000,0,605484000000
2006,6662923000000,43821000000,6619102000000,5012632000000,1606470000000,74254000000,40002000000,21191000000,0,899396000000,112888000000,628438000000,109014000000,2982000000,106032000000,734470000000,2885000000,0,2885000000,731585000000,0,731585000000
2007,6848702883396,26837790570,6821865092826,4956299022135,1865566070691,257668968512,69476300783,11667170690,0,974230454320,223771714472,855756569628,155481587618,52782745845,102698841773,958455411401,-8017000000,0,-8017000000,966472411401,0,966472411401
2008,8380563000000,171581000000,8208982000000,5610969000000,2598013000000,264810000000,197621000000,26971000000,-73950000000,1052308000000,297804000000,1241140000000,130173000000,0,130173000000,1371313000000,161874000000,-39259000000,122615000000,1248698000000,-1422000000,1250120000000
2009,10820142000000,206371000000,10613771000000,6735062000000,3878709000000,439936000000,184828000000,6655000000,0,1245476000000,292942000000,2595399000000,143031000000,7072000000,135959000000,2731358000000,361536000000,-6245000000,355291000000,2376067000000,375000000,2375692000000
2010,16081466183586,328600184161,15752865999425,10579208129197,5173657870228,448530127237,153198613988,6171553959,-234529528,1438185805872,388147124772,3642421923305,608785500303,0,608785500303,4251207423608,645058588114,-9344103477,635714484637,3615492938971,-693010209,3616185949180
2011,22070557490766,443128597657,21627428893109,15039305378364,6588123514745,680232453133,246429909362,13933130085,-8813950770,1811914247629,459431997199,4741765862918,237226032153,0,237226032153,4978991895071,778588561106,-17778374972,760810186134,4218181708937,0,4218181708937
2012,27101683739278,540109559314,26561574179964,17484830247188,9076743932776,475238586049,51171129415,3114837973,12526171255,2345789341875,525197269346,6642350949444,350323343748,63006276113,287317067635,6929668017079,1137571835560,-27358535564,1110213299996,5819454717083,0,5819454717083
