,A. Tài sản lưu động và đầu tư ngắn hạn,I. Tiền và các khoản tương đương tiền,II. Các khoản đầu tư tài chính ngắn hạn,III. Các khoản phải thu ngắn hạn,IV. Tổng hàng tồn kho,V. Tài sản ngắn hạn khác,B. Tài sản cố định và đầu tư dài hạn,I. Các khoản phải thu dài hạn,II. Tài sản cố định,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,V. Các khoản đầu tư tài chính dài hạn,VI. Tổng tài sản dài hạn khác,VII. Lợi thế thương mại,TỔNG CỘNG TÀI SẢN,A. Nợ phải trả,I. Nợ ngắn hạn,II. Nợ dài hạn,B. Nguồn vốn chủ sở hữu,I. Vốn chủ sở hữu,II. Nguồn kinh phí và quỹ khác,TỔNG CỘNG NGUỒN VỐN
2014,8364865588632,1079419146774,2495532682000,2047673527785,2043059257249,699180974824,21536489954875,0,12705662239,9214785726746,3920169011183,5956164478376,2405125898249,27539178082,29901355543507,18073413695951,3713002398915,14360411297036,11827941847556,11827941847556,0,29901355543507
2015,5681560974469,396464888952,0,1937742400942,1483175625986,1864178058589,30228222808178,2618818165548,44678856460,15319549018577,6365666314697,3654451948540,1579539907594,645518596762,35909783782647,21025762277707,6215329052600,14810433225107,14884021504940,14884021504940,0,35909783782647
2016,7386780683535,1697770643584,0,3339978283431,682802020831,1666229735689,26912369073413,2621206138153,399239509059,16578695771664,1469550325308,4029021936688,1190126220086,624529172455,34299149756948,9615764625070,2732786353833,6882978271237,24683385131878,24683385131878,0,34299149756948
2017,13356535681339,1421529231881,60181546761,4052502966557,1816699091977,6005622844163,24776701353840,7594538151,170582653735,20401205403605,1080110809673,1830000000000,735262449431,551945499245,38133237035179,12039182364957,8138185249855,3900997115102,26094054670222,26094054670222,0,38133237035179
2018,7122640820313,2431380824439,701416674850,1047919405624,901518194206,2040405721194,31561042607246,10106962116,307841694121,26429422507995,1343477739304,1832000000000,1158831877675,479361826035,38683683427559,10174402001701,6259845554046,3914556447655,28509281425858,28509281425858,0,38683683427559
2019,5070409000000,1388344000000,788537000000,724237000000,985989000000,1183302000000,30768281000000,8659000000,473832000000,28063677000000,654380000000,0,1160955000000,406778000000,35838690000000,8885183000000,4780265000000,4104918000000,26953507000000,26953507000000,0,35838690000000
2020,7012397000000,3050907000000,1894314000000,1446089000000,519889000000,101198000000,32804035000000,8308000000,450233000000,27732173000000,959231000000,0,3319896000000,334194000000,39816432000000,10480616000000,3537868000000,6942748000000,29335816000000,29335816000000,0,39816432000000
2021,6826580000000,3297060000000,190424000000,1487714000000,582918000000,1268464000000,31046908000000,6110000000,438775000000,26268764000000,1255909000000,0,2815739000000,261611000000,37873488000000,7222659000000,2890056000000,4332603000000,30650829000000,30650829000000,0,37873488000000
2022,10534650000000,7019648000000,97426000000,1404486000000,1178127000000,834963000000,32166438000000,8222000000,418007000000,26514396000000,699496000000,0,4337290000000,189027000000,42701088000000,9276398000000,5819458000000,3456940000000,33424690000000,33424690000000,0,42701088000000
2023,10036448000000,4101549000000,1070978000000,1612789000000,639957000000,2611175000000,37617283000000,12169000000,413363000000,25179848000000,1028319000000,0,10864971000000,118613000000,47653731000000,9826878000000,6244864000000,3582014000000,37826853000000,37826853000000,0,47653731000000
