,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,- Khấu hao TSCĐ,- Các khoản dự phòng,- Lợi nhuận thuần từ đầu tư vào công ty liên kết,- Xóa sổ tài sản cố định (thuần),- Lãi lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,- Lãi lỗ từ thanh lý TSCĐ,- Lãi lỗ từ hoạt động đầu tư,- Lãi tiền gửi,- Thu nhập lãi,- Chi phí lãi vay,- Các khoản chi trực tiếp từ lợi nhuận,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,- Tăng giảm các khoản phải thu,- Tăng giảm hàng tồn kho,- Tăng giảm các khoản phải trả (Không kể lãi vay phải trả thuế thu nhập doanh nghiệp phải nộp),- Tăng giảm chi phí trả trước,- Tăng giảm tài sản ngắn hạn khác,- Tiền lãi vay phải trả,- Thuế thu nhập doanh nghiệp đã nộp,- Tiền thu khác từ hoạt động kinh doanh,- Tiền chi khác từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Tiền chi để mua sắm xây dựng TSCĐ và các tài sản dài hạn khác,2. Tiền thu từ thanh lý nhượng bán TSCĐ và các tài sản dài hạn khác,3. Tiền chi cho vay mua các công cụ nợ của đơn vị khác,4. Tiền thu hồi cho vay bán lại các công cụ nợ của các đơn vị khác,5. Đầu tư góp vốn vào công ty liên doanh liên kết,6. Chi đầu tư ngắn hạn,7. Tiền chi đầu tư góp vốn vào đơn vị khác,8. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,9. Lãi tiền gửi đã thu,10. Tiền thu lãi cho vay cổ tức và lợi nhuận được chia,11. Tiền chi mua lại phần vốn góp của các cổ đông thiểu số,Lưu chuyển tiền thuần từ hoạt động đầu tư,1. Tiền thu từ phát hành cổ phiếu nhận vốn góp của chủ sở hữu,2. Tiền chi trả vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,3. Tiền vay ngắn hạn dài hạn nhận được,4. Tiền chi trả nợ gốc vay,5. Tiền chi trả nợ thuê tài chính,6. Tiền chi khác từ hoạt động tài chính,7. Tiền chi trả từ cổ phần hóa,8. Cổ tức lợi nhuận đã trả cho chủ sở hữu,9. Vốn góp của các cổ đông thiểu số vào các công ty con,10. Chi tiêu quỹ phúc lợi xã hội,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
2014,305934683600,1080405269580,323108510991,10137745671,0,0,5733986744,0,-622980763851,0,0,1364405790025,0,1386339953180,-401625174415,-396957507358,6891803634899,-54863084600,0,-1230487057988,-217071026124,0,-6693047230,5970446690364,-2617535116304,2663520791,-5906959588250,3265012500000,0,0,-4588588467385,266500000000,0,537209042441,0,-9041698108707,533527000000,0,1867357682000,-2421603515331,0,0,0,-335263000000,0,0,-355981833331,-3427233251674,4506649644441,2754007,1079419146774
2015,1326858369340,644118674775,316393732182,21117837451,0,0,20405107410,0,-962271412993,0,0,1248473410725,0,1970977044115,413348273987,735577161434,-3114901527812,-27277361402,0,-1374139729334,-191131293554,0,0,-1587547432566,-2946355253193,25209521377,-395744000000,2901276682000,0,0,-4930493148143,605302896515,0,512952668024,0,-4227850633420,2152567470000,0,9672445000000,-6145931011836,0,0,0,-546637650000,0,0,5132443808164,-682954257822,1079419146774,0,396464888952
2016,2587957674792,-418541003,736862688827,32511740503,0,0,6800000000,0,-2028977206756,0,0,1252384236423,0,2587539133789,620413411586,1361969841575,-1892289303292,-1040744181058,0,-1807084150688,-313737922111,0,0,-483933170199,-1458764059417,2067949805,0,159000000000,0,0,-680354867382,3858189859192,0,682909048965,0,2563047931163,5133054044980,0,213170400000,-5320331951312,0,0,0,-803701500000,0,0,-777809006332,1301305754632,396464888952,0,1697770643584
2017,2168753522303,1026655402984,936046521247,53325917799,0,0,0,0,-494403470406,0,0,531686434344,0,3195408925287,-80296849379,-1030013412986,1676286102958,-234560922980,0,-474102890457,-253310475017,0,0,2799410477426,-7223881140930,9933583949,-1890181546761,1574694088166,0,0,-4210000000,3588367957995,0,1856020571350,0,-2089256486231,0,-250013762,2987603333333,-2712194660825,0,0,0,-1261554061644,0,0,-986395402898,-276241411703,1697770643584,0,1421529231881
2018,3052785341627,1016985604038,1156999326901,2575768918,0,0,0,0,-517860505700,0,0,375271013919,0,4069770945665,258362581607,1087893048530,-1035418591570,-17085817836,0,-360745060693,-561242406324,132200000000,0,3573734699379,-2577933362076,475234343,-685953287489,3244268494949,0,0,-2000000000,136694692439,0,520565121013,0,636116893179,0,0,0,-3200000000000,0,0,0,0,0,0,-3200000000000,1009851592558,1421529231881,0,2431380824439
2019,3577952000000,1498162000000,1447324000000,8183000000,0,0,0,0,-256352000000,0,0,299007000000,0,5076114000000,270020000000,-67652000000,-899378000000,108793000000,0,-258031000000,-662851000000,0,0,3567015000000,-3942435000000,13011000000,-33941000000,3376000000000,0,0,0,0,0,382787000000,0,-204578000000,0,-1954258000000,0,0,0,0,0,-2451216000000,0,0,-4405474000000,-1043037000000,2431381000000,0,1388344000000
2020,2992720000000,1677228000000,1482557000000,-6502000000,0,0,0,0,-262413000000,0,0,463586000000,0,4669948000000,-250952000000,471505000000,43194000000,67739000000,0,-386355000000,-592703000000,0,0,4022376000000,-4377225000000,112000000,-2875936000000,1750000000000,0,0,0,0,243664000000,0,0,-5259385000000,0,0,2920483000000,0,-20911000000,0,0,0,0,0,2899572000000,1662563000000,1388344000000,0,3050907000000
2021,1692277000000,1773865000000,1492420000000,143814000000,0,0,0,0,-348545000000,0,0,486176000000,0,3466142000000,-380981000000,-52343000000,-366521000000,142473000000,0,-519699000000,-583752000000,0,0,1705319000000,-1567282000000,915063000000,-2258396000000,3671000000000,0,0,0,0,0,401827000000,0,1162212000000,0,0,0,-2600000000000,-21378000000,0,0,0,0,0,-2621378000000,246153000000,3050907000000,0,3297060000000
2022,3524490000000,1291471000000,1451929000000,25679000000,0,0,0,0,-545292000000,0,0,359155000000,0,4815961000000,-214005000000,-502634000000,1614418000000,-167974000000,0,-314988000000,-159095000000,0,0,5071683000000,-2538150000000,38468000000,-109394000000,502152000000,0,0,0,336000000000,0,443224000000,0,-1327700000000,2000000,0,0,0,-21397000000,0,0,0,0,0,-21395000000,3722588000000,3297060000000,0,7019648000000
2023,5526087000000,727149000000,1453931000000,87438000000,0,0,0,0,-1144646000000,0,0,330426000000,0,6253236000000,-1293682000000,543548000000,-808470000000,66833000000,0,-293139000000,-576317000000,0,0,3892009000000,-8321768000000,821418000000,-2923445000000,1956182000000,0,0,-6645000000,0,0,953424000000,0,-7520834000000,0,0,1782123000000,-1050000000000,-21397000000,0,0,0,0,0,710726000000,-2918099000000,7019648000000,0,4101549000000
