,1. Tổng doanh thu hoạt động kinh doanh,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần (1)-(2),4. Giá vốn hàng bán,5. Lợi nhuận gộp (3)-(4),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính,-Trong đó: Chi phí lãi vay,8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác (12)-(13),15. Tổng lợi nhuận kế toán trước thuế (11)+(14),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Chi phí thuế TNDN (16)+(17),19. Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),20. Lợi nhuận sau thuế của cổ đông không kiểm soát,21. Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20)
2013,590755368714,0,590755368714,169271002272,421484366442,220722260756,191520869701,185386772467,0,24414179158,31204666746,395066911593,22985756593,17109770492,5875986101,400942897694,109467774404,-583982760,108883791644,292059106050,-17638065,292076744115
2014,1927488384241,0,1927488384241,701956812837,1225531571404,597044363579,1392113786537,1364405790025,25175589489,73689805818,100746687945,281201244172,69508623717,44775184289,24733439428,305934683600,201984541349,-890299075,201094242274,104840441326,-81109809,104921551135
2015,5958136734179,0,5958136734179,3951189054513,2006947679666,739985514485,1272806139843,1221411910726,225007516703,176174313027,227080836092,1295879421892,163571669267,132592721819,30978947448,1326858369340,226581427217,10378573193,236960000410,1089898368930,14550798,1089883818132
2016,6385888582258,0,6385888582258,3743479589189,2642408993069,1244117630752,1261481289086,1252384236423,783710842475,349177097740,327314727992,2732264351478,47317425597,191624102283,-144306676686,2587957674792,225631825603,-77321666228,148310159375,2439647515417,3086056892,2436561458525
2017,5518240029667,0,5518240029667,2717091439410,2801148590257,586894964438,1165558398602,531686434344,539870358463,256176889225,313538647450,2192639977881,33738649561,57625105139,-23886455578,2168753522303,373749894338,-232672814093,141077080245,2027676442058,229605264,2027446836794
2018,9123951723319,0,9123951723319,5482654981478,3641296741841,519223529708,417400009356,375271013919,0,408674869689,342114739647,2992330652857,78051498814,17596810044,60454688770,3052785341627,616686429168,22872156823,639558585991,2413226755636,8840392639,2404386362997
2019,9259257000000,0,9259257000000,4855637000000,4403620000000,265083000000,302500000000,299007000000,0,371960000000,448658000000,3545585000000,70729000000,40372000000,30357000000,3575942000000,724603000000,-594000000,724009000000,2851933000000,453000000,2851480000000
2020,8328918000000,0,8328918000000,4507630000000,3821288000000,275859000000,467093000000,463587000000,0,330040000000,398568000000,2901446000000,123527000000,32253000000,91274000000,2992720000000,619241000000,-8830000000,610411000000,2382309000000,454000000,2381855000000
2021,5891141000000,0,5891141000000,3499036000000,2392105000000,387018000000,486280000000,486176000000,0,201764000000,433167000000,1657912000000,84095000000,49730000000,34365000000,1692277000000,379237000000,-1973000000,377264000000,1315013000000,503000000,1314510000000
2022,7361437000000,0,7361437000000,3544917000000,3816520000000,538573000000,359155000000,359155000000,0,171973000000,371266000000,3452699000000,88319000000,16528000000,71791000000,3524490000000,807615000000,-60253000000,747362000000,2777128000000,1071000000,2776057000000
2023,9791335000000,0,9791335000000,4445450000000,5345885000000,1146339000000,330426000000,330426000000,0,341268000000,438650000000,5381880000000,212434000000,68227000000,144207000000,5526087000000,1111151000000,6128000000,1117279000000,4408808000000,208000000,4408600000000
