,TÀI SẢN,A- TÀI SẢN NGẮN HẠN,I. Tiền và các khoản tương đương tiền,1. Tiền,2. Các khoản tương đương tiền,II. Các khoản đầu tư tài chính ngắn hạn,1. Chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,3. Đầu tư nắm giữ đến ngày đáo hạn,III. Các khoản phải thu ngắn hạn,1. Phải thu ngắn hạn của khách hàng,2. Trả trước cho người bán ngắn hạn,3. Phải thu nội bộ ngắn hạn,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,5. Phải thu về cho vay ngắn hạn,6. Phải thu ngắn hạn khác,7. Dự phòng phải thu ngắn hạn khó đòi,8. Tài sản Thiếu chờ xử lý,IV. Hàng tồn kho,1. Hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,V.Tài sản ngắn hạn khác,1. Chi phí trả trước ngắn hạn,2. Thuế GTGT được khấu trừ,3. Thuế và các khoản khác phải thu Nhà nước,4. Giao dịch mua bán lại trái phiếu Chính phủ,5. Tài sản ngắn hạn khác,B. TÀI SẢN DÀI HẠN,I. Các khoản phải thu dài hạn,1. Phải thu dài hạn của khách hàng,2. Trả trước cho người bán dài hạn,3. Vốn kinh doanh ở đơn vị trực thuộc,4. Phải thu nội bộ dài hạn,5. Phải thu về cho vay dài hạn,6. Phải thu dài hạn khác,7. Dự phòng phải thu dài hạn khó đòi,II.Tài sản cố định,1. Tài sản cố định hữu hình,- Nguyên giá,- Giá trị hao mòn lũy kế,2. Tài sản cố định thuê tài chính,- Nguyên giá,- Giá trị hao mòn lũy kế,3. Tài sản cố định vô hình,- Nguyên giá,- Giá trị hao mòn lũy kế,III. Bất động sản đầu tư,- Nguyên giá,- Giá trị hao mòn lũy kế,IV. Tài sản dở dang dài hạn,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",2. Chi phí xây dựng cơ bản dở dang,V. Đầu tư tài chính dài hạn,1. Đầu tư vào công ty con,"2. Đầu tư vào công ty liên kết, liên doanh",3. Đầu tư góp vốn vào đơn vị khác,4. Dự phòng đầu tư tài chính dài hạn,5. Đầu tư nắm giữ đến ngày đáo hạn,VI. Tài sản dài hạn khác,1. Chi phí trả trước dài hạn,2. Tài sản thuế thu nhập hoãn lại,"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",4. Tài sản dài hạn khác,5. Lợi thế thương mại,TỔNG CỘNG TÀI SẢN,NGUỒN VỐN,C. NỢ PHẢI TRẢ,I. Nợ ngắn hạn,1. Phải trả người bán ngắn hạn,2. Người mua trả tiền trước ngắn hạn,3. Thuế và các khoản phải nộp nhà nước,4. Phải trả người lao động,5. Chi phí phải trả ngắn hạn,6. Phải trả nội bộ ngắn hạn,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,8. Doanh thu chưa thực hiện ngắn hạn,9. Phải trả ngắn hạn khác,10. Vay và nợ thuê tài chính ngắn hạn,11. Dự phòng phải trả ngắn hạn,12. Quỹ khen thưởng phúc lợi,13. Quỹ bình ổn giá,14. Giao dịch mua bán lại trái phiếu Chính phủ,II. Nợ dài hạn,1. Phải trả người bán dài hạn,2. Người mua trả tiền trước dài hạn,3. Chi phí phải trả dài hạn,4. Phải trả nội bộ về vốn kinh doanh,5. Phải trả nội bộ dài hạn,6. Doanh thu chưa thực hiện dài hạn,7. Phải trả dài hạn khác,8. Vay và nợ thuê tài chính dài hạn,9. Trái phiếu chuyển đổi,10. Cổ phiếu ưu đãi,11. Thuế thu nhập hoãn lại phải trả,12. Dự phòng phải trả dài hạn,13. Quỹ phát triển khoa học và công nghệ,D.VỐN CHỦ SỞ HỮU,I. Vốn chủ sở hữu,1. Vốn góp của chủ sở hữu,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu ưu đãi,2. Thặng dư vốn cổ phần,3. Quyền chọn chuyển đổi trái phiếu,4. Vốn khác của chủ sở hữu,5. Cổ phiếu quỹ,6. Chênh lệch đánh giá lại tài sản,7. Chênh lệch tỷ giá hối đoái,8. Quỹ đầu tư phát triển,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,10. Quỹ khác thuộc vốn chủ sở hữu,11. Lợi nhuận sau thuế chưa phân phối,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối kỳ này,12. Nguồn vốn đầu tư XDCB,13. Lợi ích cổ đông không kiểm soát,II. Nguồn kinh phí và quỹ khác,1. Nguồn kinh phí,2. Nguồn kinh phí đã hình thành TSCĐ,TỔNG CỘNG NGUỒN VỐN
2005,,260797822563.0,8067638316.0,8067638316.0,,,,,,21268334231.0,5029634780.0,1979965990.0,,,,14324429367.0,-65695906.0,,224629207729.0,224631545371.0,-2337642.0,6832642287.0,3562239690.0,,278929.0,,3270123668.0,137100475151.0,,,,,,,,,36089101531.0,35803997707.0,59322550403.0,-23518552696.0,,,,285103824.0,855311472.0,-570207648.0,,,,,,,51760800000.0,,4200000000.0,47560800000.0,,,49250573620.0,49250573620.0,,,,,397898297714.0,,299199923825.0,296377786522.0,38660132109.0,327094336.0,4580289463.0,2061156505.0,,,,,,,1261959104.0,,,,2822137303.0,,,,,,,181175500.0,1828051996.0,,,,,,98698373889.0,101211784978.0,55000000000.0,,,,,,,,,974897000.0,,,44361312978.0,,,,,-2513411089.0,,,397898297714.0
2006,,364423827449.0,23159650502.0,23159650502.0,,,,,,11720182592.0,5317739533.0,1197152965.0,,,,5933022967.0,-727732873.0,,323063313283.0,323065650925.0,-2337642.0,6480681072.0,2699766483.0,,18576972.0,,3762337617.0,196548164487.0,,,,,,,,,38159886778.0,37939944528.0,67916054505.0,-29976109977.0,,,,219942250.0,239937000.0,-19994750.0,,,,,,,74374800000.0,,4200000000.0,70174800000.0,,,84013477709.0,83750832177.0,262645532.0,,,,560971991936.0,,441720097318.0,436677383795.0,54239991708.0,363416300.0,3617140703.0,5781466190.0,,,,,,,907832986.0,,,,5042713523.0,,,,,,,166175500.0,3830695436.0,,,,,,119251894618.0,118434590053.0,100000000000.0,,,,,,,,,974897000.0,,,15374118053.0,,,,,817304565.0,,,560971991936.0
2007,,901136512591.0,180476705109.0,180476705109.0,,16861556680.0,,,,186221548205.0,18777305837.0,78919956193.0,,,,89252019048.0,-727732873.0,,504271017627.0,504273355269.0,-2337642.0,13305684970.0,5902826002.0,1857533984.0,1000000.0,,5544324984.0,514705818716.0,,,,,,,,,51321720212.0,49253455377.0,124100988595.0,-74847533218.0,,,,288226835.0,392149297.0,-103922462.0,,,,,,1780038000.0,329655288400.0,,1000000000.0,328655288400.0,,,131014313416.0,129561198473.0,1453114943.0,,,,1415842331307.0,,449013816934.0,380825365680.0,64158576609.0,1480626021.0,15845676505.0,1356075232.0,1753498250.0,,,,,,31807800.0,,,,68188451254.0,,,,,,,61164175921.0,5361098950.0,,,362435.0,,,936865375555.0,928746833338.0,300000000000.0,,,525000000000.0,,,,,,11113518929.0,,21310965.0,88836117479.0,,,,,8118542217.0,,,1415842331307.0
2008,,786286736162.0,617517376652.0,78731661992.0,538785714660.0,23032212000.0,,,-1099062000.0,55318332984.0,27262281228.0,4041126129.0,,,,24736018500.0,-721092873.0,,68296724971.0,68299062613.0,-2337642.0,22122089555.0,9541789765.0,6228925815.0,47122962.0,,6304251013.0,896845092860.0,,,,,,,,,311765860980.0,86100020559.0,185594669608.0,-99494649049.0,,,,200541521567.0,201624886935.0,-1083365368.0,,,,,,25124318854.0,426682310080.0,,,437482310080.0,-10800000000.0,,156768223787.0,154427934485.0,2335289302.0,,,,1683131829022.0,,718813204662.0,642101906161.0,76276404188.0,60452206963.0,14930855659.0,2310857956.0,5607530633.0,,,,,,,,,,76711298501.0,57090566480.0,,,,,,,16321608272.0,,,,,,913558694522.0,893598500445.0,300000000000.0,,,525000000000.0,,,,,,31728284680.0,,,21420892925.0,,,,,19960194077.0,,,1683131829022.0
2009,,982017730615.0,274965948571.0,87772462002.0,187193486569.0,29475000000.0,,,,138191257787.0,39023700978.0,21221519128.0,,,,79519332424.0,-1573294743.0,,520649533349.0,520649533349.0,,18735990908.0,6952661989.0,3847907717.0,,,7935421202.0,1043636942969.0,,,,,,,,,362827774927.0,102456222071.0,179485689995.0,-77029467924.0,,,,210294141155.0,211669894351.0,-1375753196.0,,,,,,50077411701.0,520427787830.0,,129730479430.0,401497308400.0,-10800000000.0,,160381380212.0,158917372541.0,1440007671.0,,,,2025654673584.0,,987415904607.0,869678484312.0,114450655153.0,5806792297.0,18815119762.0,4477600706.0,13638665427.0,,,,,,,,,,117737420295.0,,,,,,,65735259799.0,48222514236.0,,,,,,991437627283.0,955741161339.0,399999210000.0,,,425000790000.0,,,-7090000.0,,,52698926954.0,,,52345167808.0,,,,,35696465944.0,,,2025654673584.0
2010,,1176638742453.0,337769093757.0,51495543237.0,286273550520.0,,,,,57575438981.0,28962855812.0,14165423476.0,,,,16058429474.0,-1611269781.0,,751709044884.0,751709044884.0,,29585164831.0,12765289565.0,7933589620.0,576939248.0,,8309346398.0,1287569967482.0,,,,,,,,,331638373756.0,96848837225.0,170255698399.0,-73406861174.0,,,,193164202785.0,193653741363.0,-489538578.0,,,,,,41625333746.0,749471560231.0,,261453501831.0,498818058400.0,-10800000000.0,,206460033495.0,204184834997.0,835847692.0,,,,2464208709935.0,,1388651100968.0,1238244894919.0,126195900645.0,7499868870.0,18554741321.0,26829448932.0,9974319640.0,,,,,,,13544860336.0,,,150406206049.0,,,,,,,66789066688.0,80143593277.0,,,,,,1046885979792.0,1046885979792.0,599991420000.0,,,225008580000.0,,,-7090000.0,,,52461168576.0,,,143727744639.0,,,,,,,,2464208709935.0
2011,,1605037461093.0,454113948194.0,82732710340.0,371381237854.0,70000000000.0,,,,70871461230.0,39634363771.0,9061955750.0,,,,22790855759.0,-615714050.0,,968915039630.0,,,41137012039.0,20780523529.0,3626013421.0,1037353890.0,,15693121199.0,1323075161632.0,,,,,,,,,419577684256.0,114426075356.0,201160654826.0,-86734579470.0,,,,279199924767.0,279869348563.0,-669423796.0,,,,,,25951684133.0,712435781858.0,,258315155708.0,475245158400.0,-21124532250.0,,191061695518.0,188628499090.0,919152184.0,,,,2928112622725.0,,1771024241138.0,973411782490.0,123648989802.0,10271763272.0,29561163550.0,46402734297.0,8431746109.0,,,,,,,,,,797612458648.0,,,,,,,62532121564.0,730658754727.0,,,,,,1130451377433.0,1130451377433.0,599991420000.0,,,225008580000.0,,,-7090000.0,,,72461168576.0,,,197131063497.0,,,,,,,,2928112622725.0
2012,,1342948159392.0,468655700806.0,34076003469.0,434579697337.0,,,,,53722534510.0,15555505035.0,10110406855.0,,,,35808841279.0,-7752218659.0,,791136127118.0,791136127118.0,,29433796958.0,9800584428.0,7697287196.0,69000000.0,,11866925334.0,1200037803867.0,,,,,,,,,431898544676.0,141328725256.0,228464773059.0,-87136047803.0,,,,279551935394.0,280112851451.0,-560916057.0,,,,,,11017884026.0,760781225093.0,,258339816693.0,513241408400.0,-10800000000.0,,7358034098.0,6681494466.0,481539632.0,,,,2542985963259.0,,1301246946986.0,1130464996486.0,52168925843.0,1737185759.0,21767812994.0,7999497651.0,3329829410.0,,,,,,,,,,170781950500.0,,,,,,,426284500.0,170355666000.0,,,,,,1241739016273.0,1241739016273.0,719978350000.0,,,105021650000.0,,,-7090000.0,,,96070897000.0,,,274298476490.0,,,,,,,,2542985963259.0
2013,,1717592172977.0,507821745184.0,53915192251.0,453906552933.0,,,,,76020840245.0,52341746512.0,8912739502.0,,,,23485827790.0,-8719473559.0,,1087344363095.0,1087344363095.0,,46405224453.0,19924285797.0,12001552590.0,1845657246.0,,12633728820.0,1239106817480.0,,,,,,,,,497858382162.0,198086650153.0,314131546728.0,-116044896575.0,,,,290655810463.0,292453176966.0,-1797366503.0,,,,,,9115921546.0,589705137986.0,,80652729586.0,523602408400.0,-14550000000.0,,14403411252.0,13701560928.0,701850324.0,,,,2956698990457.0,,1550680871025.0,1415480783876.0,111132232389.0,8483360904.0,48283681689.0,11299793720.0,3524676090.0,,,,,,,,,,135200087149.0,,,,,,,5617050500.0,129583036649.0,,,,,,1318220581226.0,1318220581226.0,755970350000.0,,,105021650000.0,,,-7090000.0,,,126070897000.0,,,273530620443.0,,,,,,,,2956698990457.0
2014,,1830870956574.0,272305336075.0,37706071196.0,234599264879.0,,,,,71324851689.0,43282823370.0,16213997161.0,,,,19615577417.0,-7787546259.0,,1437415596122.0,1437415596122.0,,49825172688.0,27279143455.0,3659558376.0,4653263806.0,,14233207051.0,997801184775.0,,,,,,,,,452468356455.0,160479587999.0,265520614214.0,-105041026215.0,,,,291249678256.0,293121956571.0,-1872278315.0,,,,,,739090200.0,531864217588.0,,81456342588.0,460716988400.0,-10309113400.0,,13468610732.0,12547147880.0,921462852.0,,,,2828672141349.0,,1532149329780.0,1394564947680.0,140059263813.0,10577252253.0,45893557644.0,27640951586.0,4188467510.0,,,,,,,7266433421.0,,,137584382100.0,,,,,,,455382100.0,137129000000.0,,,,,,1296522811569.0,1296522811569.0,755970350000.0,,,105021650000.0,,,-7090000.0,,,166070897000.0,,,202732850786.0,,,,,,,,2828672141349.0
