,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản,- Khấu hao TSCĐ,- Các khoản dự phòng,- Lợi nhuận thuần từ đầu tư vào công ty liên kết,- Xóa sổ tài sản cố định (thuần),- Lãi lỗ chênh lệch tỷ giá hối đoái chưa thực hiện,- Lãi lỗ từ thanh lý TSCĐ,- Lãi lỗ từ hoạt động đầu tư,- Lãi tiền gửi,- Thu nhập lãi,- Chi phí lãi vay,- Các khoản chi trực tiếp từ lợi nhuận,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,- Tăng giảm các khoản phải thu,- Tăng giảm hàng tồn kho,- Tăng giảm các khoản phải trả (Không kể lãi vay phải trả thuế thu nhập doanh nghiệp phải nộp),- Tăng giảm chi phí trả trước,- Tăng giảm tài sản ngắn hạn khác,- Tiền lãi vay phải trả,- Thuế thu nhập doanh nghiệp đã nộp,#NAME?,#NAME?,Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Tiền chi để mua sắm xây dựng TSCĐ và các tài sản dài hạn khác,2. Tiền thu từ thanh lý nhượng bán TSCĐ và các tài sản dài hạn khác,3. Tiền chi cho vay mua các công cụ nợ của đơn vị khác,4. Tiền thu hồi cho vay bán lại các công cụ nợ của các đơn vị khác,5. Đầu tư góp vốn vào công ty liên doanh liên kết,6. Chi đầu tư ngắn hạn,7. Tiền chi đầu tư góp vốn vào đơn vị khác,8. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,9. Lãi tiền gửi đã thu,10. Tiền thu lãi cho vay cổ tức và lợi nhuận được chia,11. Tiền chi mua lại phần vốn góp của các cổ đông thiểu số,Lưu chuyển tiền thuần từ hoạt động đầu tư,1. Tiền thu từ phát hành cổ phiếu nhận vốn góp của chủ sở hữu,2. Tiền chi trả vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,3. Tiền vay ngắn hạn dài hạn nhận được,4. Tiền chi trả nợ gốc vay,5. Tiền chi trả nợ thuê tài chính,6. Tiền chi khác từ hoạt động tài chính,7. Tiền chi trả từ cổ phần hóa,8. Cổ tức lợi nhuận đã trả cho chủ sở hữu,9. Vốn góp của các cổ đông thiểu số vào các công ty con,10. Chi tiêu quỹ phúc lợi xã hội,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
2009,2.7472E+11,24957071338,41018313453,2549400200,-11187254025,-1286857437,22808291931,-201736540,-25893396000,-33929329028,-10342193078,41421831862,0,2.99677E+11,-1.05161E+11,-61216882336,11581239860,0,0,-39890584302,-45712047230,0,-13743552956,45534476465,-1.02469E+11,751500000,0,21137863351,10342193078,0,-1.25568E+11,59393497000,0,33929329028,0,-1.02483E+11,0,-7090000,3.83645E+12,-3.61383E+12,0,0,0,-1.01004E+11,0,0,1.21606E+11,64657557390,2.10458E+11,-149736331,2.74966E+11
2010,2.63892E+11,18935996628,43922848994,57814791,-21442711729,-3229607274,0,-2544166131,-15125454250,-41503821527,0,58801093754,0,2.82828E+11,53293918839,-2.61578E+11,62077903873,0,0,-58319330507,-51918613481,0,-23312694402,3071123284,-1.12362E+11,13571368595,0,0,0,0,-2.17101E+11,61180984700,0,51388081132,0,-2.03322E+11,0,0,6.59996E+12,-6.25402E+12,0,0,0,-80716342550,-2167099298,0,2.63054E+11,62803145186,2.74966E+11,0,3.37769E+11
2011,3.18166E+11,1.75148E+11,42308214488,12113142484,-10666239207,431215096,85681898050,-427282948,-2362630287,-55925420302,0,1.03995E+11,0,4.93314E+11,-11140015759,-2.17206E+11,76167135915,0,0,-1.03862E+11,-65658313770,0,-17387942365,1.54227E+11,-1.15655E+11,959942727,-70000000000,307107617,0,0,0,34298300000,0,47201478302,0,-1.02888E+11,0,0,8.76714E+12,-8.55189E+12,-3839805702,0,0,-1.50184E+11,0,0,61228984181,1.12568E+11,3.37769E+11,3776775274,4.54114E+11
2012,3.10094E+11,39437932211,15134039127,-3188027641,0,0,31596846638,0,-1.05603E+11,0,0,1.01498E+11,0,3.49532E+11,-1.65811E+11,1.72003E+11,-1.41421E+11,1.92927E+11,0,-1.01912E+11,-53996209047,0,-56348884453,1.94973E+11,-70213384150,11728380455,0,70000000000,0,0,-38020910985,99569666282,0,53764811788,0,1.26829E+11,0,0,3.42791E+12,-3.58523E+12,0,0,0,-1.49966E+11,0,0,-3.07285E+11,14516523355,4.54114E+11,25229257,4.68656E+11
2013,2.33007E+11,94097098621,23809470760,967254900,0,0,0,0,-14205354346,0,0,83525727307,0,3.27104E+11,1257008085,-2.96208E+11,77256168164,-13198313124,0,-83525727307,-43806298357,30001580000,-24326682734,-25446115364,-56559512129,8041831601,0,0,0,0,1.53764E+11,0,0,13884155145,0,1.1913E+11,35992000000,0,4.88963E+12,-4.88655E+12,0,0,0,-93597185500,0,0,-54518022875,39166044378,4.68656E+11,0,5.07822E+11
2014,3.35034E+11,95074575997,31011683393,468396300,0,0,0,0,-16087701495,0,0,79682197799,0,4.30108E+11,-20105968511,-3.92584E+11,76335837103,-6200444610,0,-79682197799,-79187348685,0,-47174283526,-1.1849E+11,-34530888745,642272726,0,0,0,0,0,9149322084,0,21718529735,0,-3020764200,0,0,6.04296E+12,-5.91506E+12,0,0,0,-2.41908E+11,0,0,-1.14006E+11,-2.35516E+11,5.07822E+11,0,2.72305E+11
2015,1.97323E+11,4.42482E+11,30451035779,2.92519E+11,0,0,286018688,0,38178084255,0,0,81048729469,0,6.39806E+11,31791940883,-4.6321E+11,65513478444,-31247149599,0,-80553486249,-67771689466,0,-20624506660,73704663771,-70364650219,301946364,0,0,0,0,0,26152150000,0,230025045,0,-43680528810,0,0,4.74583E+12,-4.753E+12,0,0,0,-22678897800,0,0,-29845566945,178568016,37706071196,0,37884639212
2016,5.90628E+11,1.72103E+11,34398406238,81777975537,0,0,3448968082,0,-20718880379,0,0,73196281440,0,7.62731E+11,-26455422977,-7.03465E+11,1.70232E+11,-6686618355,0,-70946216904,-1.60482E+11,0,7686200383,-27386572140,-87266757467,1.64944E+11,0,0,0,0,0,64306410000,0,3951477458,0,1.45935E+11,0,0,3.25111E+12,-3.00668E+12,0,0,0,-2.45685E+11,0,0,-1260975698,1.17288E+11,37884639212,175805144,1.55348E+11
2017,9.07379E+11,79196553485,39339871537,663814156,0,0,-603950650,0,-15184214057,0,0,54981032499,0,9.86576E+11,-41626904137,-5.6327E+11,16952354627,-45325798075,0,-55960918599,-1.5362E+11,0,-34241546190,1.09484E+11,-1.15444E+11,8425973637,-1.6E+11,0,0,0,0,0,0,2932220359,0,-2.64086E+11,9.75036E+11,0,3.09194E+12,-3.70738E+12,0,0,0,-1.85194E+11,0,0,1.744E+11,19798195654,1.55348E+11,62330024,1.75209E+11
2018,1.20555E+12,95634704557,42101648087,0,0,0,-169041343,0,-7406944577,0,0,61109042390,0,1.30118E+12,-86037746014,-1.56619E+12,4.12203E+11,-44784289702,0,-60443657529,-2.31958E+11,0,-26117591079,-3.0214E+11,-3.36378E+11,1075665048,0,0,0,0,0,1.60065E+11,0,6331279529,0,-1.68906E+11,97273160000,0,4.32077E+12,-3.647E+12,0,0,0,-2.68372E+11,0,0,5.0267E+11,31623755155,1.75209E+11,-111127713,2.06721E+11
