,1. Doanh thu bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),4. Giá vốn hàng bán,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính,- Trong đó: Chi phí lãi vay,"8. Phần lãi lỗ trong công ty liên doanh, liên kết",9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác(40=31-32),15. Tổng lợi nhuận kế toán trước thuế(50=30+40),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),19. Lợi nhuận sau thuế công ty mẹ,20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,21. Lãi cơ bản trên cổ phiếu(*),22. Lãi suy giảm trên cổ phiếu (*)
2005,1254718002391.0,8267642399.0,1246450359992.0,1137160671694.0,109289688298.0,7218540159.0,13101209357.0,13101209357.0,,51673221260.0,9921072660.0,25026833747.0,19406826548.0,474685998.0,18932140586.0,43958974333.0,,,43958974333.0,43958974333.0,,80.0,
2006,1801913350652.0,13123231718.0,1788790118934.0,1618936674276.0,169853444658.0,46841386617.0,16539934743.0,16539934743.0,,73478012889.0,12728572577.0,27413066110.0,7091706676.0,332275385.0,6759431291.0,34172497401.0,4286337858.0,-262645532.0,30148805075.0,30148805075.0,,54816.0,
2007,2395503437664.0,15868261734.0,2379635175930.0,2177499663010.0,202135512920.0,54519052631.0,23670855391.0,23670855391.0,,85838569417.0,22535447136.0,122738600850.0,7959882077.0,148242244.0,7811639833.0,130550240683.0,16528148816.0,-990716764.0,115012808631.0,114381554250.0,,54650.0,
2008,4204235943563.0,25386760979.0,4178849182584.0,3828808852408.0,350040330176.0,56899530012.0,32978648561.0,32978648561.0,,140191777752.0,47245266782.0,156265224695.0,11167192255.0,922253466.0,10244938789.0,166510163484.0,35528877415.0,-882536794.0,131863822863.0,125563575821.0,,4185.0,
2009,10290503190514.0,34203428628.0,10256299761886.0,9755444424582.0,500855337304.0,74014998344.0,,,,185512985806.0,61079143055.0,252470814856.0,12101550024.0,1039248353.0,11062301671.0,274720370552.0,54552299565.0,336191501.0,219831879486.0,204491513039.0,,5112.0,
2010,13798302596222.0,45921930526.0,13752380665696.0,13210528300660.0,541852365036.0,64650321180.0,,,,243304931356.0,79166636200.0,223640817189.0,30711526150.0,11902840151.0,18808685999.0,263892214917.0,51946709715.0,604159979.0,211341345223.0,212018177014.0,,3533.0,
2011,18038055458855.0,74214987083.0,17963840471772.0,17225520872828.0,738319598944.0,64754928074.0,,,,289530963640.0,98126294532.0,289882576295.0,19224929719.0,1607851780.0,17617077939.0,318165893441.0,60742590596.0,-83304492.0,257506607337.0,257105282358.0,,4285.0,
2012,6777869795148.0,61026428725.0,6716843366423.0,6118336274620.0,598507091803.0,120569293310.0,101497808442.0,101497808442.0,,267972724506.0,89631912787.0,270066053392.0,49775091650.0,20041344299.0,29733747351.0,310093877728.0,55247602683.0,437612552.0,254408662493.0,254408662493.0,,3534.0,
2013,8973965897995.0,59783311660.0,8914182586335.0,8244494727893.0,669687858442.0,23797867875.0,83525727307.0,83525727307.0,,262496218357.0,113373916451.0,232644910693.0,3181797660.0,2239943652.0,941854008.0,233007287265.0,64190342200.0,-220310692.0,169037255757.0,163171192453.0,,2239.0,
2014,9297810872565.0,98592775013.0,9199218097552.0,8309982541638.0,889235555914.0,18739496430.0,79682197799.0,79682197799.0,,354954031945.0,129618733552.0,333147632622.0,2668838792.0,1586537533.0,1082301259.0,335033546883.0,79455050132.0,-293307944.0,255871804695.0,242495305974.0,,3208.0,
